frame,timestamp,player_id,team,x_position,y_position,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence,velocity_mean_30,velocity_max_30,dist_traveled_30,possession_pct_30,velocity_mean_90,velocity_max_90,dist_traveled_90,possession_pct_90,velocity_mean_150,velocity_max_150,dist_traveled_150,possession_pct_150,shots_90,passes_90,dribbles_90,possession_run,team_velocity_mean,opp_velocity_mean,spacing_advantage,dist_to_basket_mean_30,vel_toward_basket_mean_30,drive_rate_30,dist_to_basket_mean_90,vel_toward_basket_mean_90,drive_rate_90,dist_to_basket_mean_150,vel_toward_basket_mean_150,drive_rate_150,shot_quality_proxy,turnover_flag,pace_30,pick_roll_proxy
2,0.033,0,referee,3264,503,0.0,0.0,0.0,paint,0,,,,none,0.0,0.0,0.0,0,0,,0.0,696.0,249.0,757.0,330.0,,,0.0,352.7,0.0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,,,,352.7,0.0,0.0,352.7,0.0,0.0,352.7,0.0,0.0,0.0,0,0.0,0
3,0.05,0,referee,3267,503,3.0,3.0,0.0,paint,0,,154.0,,none,0.0,0.0,0.0,0,1,,0.0,697.0,248.0,757.0,329.0,,,0.0,352.9,-0.14,0,0,2,0,1.0,1.5,3.0,3.0,0.0,1.5,3.0,3.0,0.0,1.5,3.0,3.0,0.0,0,0,0,2,,,,352.8,-0.07,0.0,352.8,-0.07,0.0,352.8,-0.07,0.0,0.0,0,0.0,0
3,0.05,1,green,3348,634,0.0,0.0,0.0,paint,0,,,,none,0.0,3348.0,634.0,1,0,,0.0,713.0,129.0,763.0,223.0,,,0.0,241.9,0.0,0,0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0.0,,,241.9,0.0,0.0,241.9,0.0,0.0,241.9,0.0,0.0,0.0,0,0.0,0
4,0.067,0,referee,3267,503,0.0,-3.0,0.0,paint,0,,156.1,,none,0.0,0.0,0.0,0,1,,0.0,697.0,249.0,757.0,329.0,,,0.0,352.9,0.0,0,0,3,0,1.0,1.0,3.0,3.0,0.0,1.0,3.0,3.0,0.0,1.0,3.0,3.0,0.0,0,0,0,3,,,,352.8,-0.05,0.0,352.8,-0.05,0.0,352.8,-0.05,0.0,0.0,0,0.0,0
4,0.067,1,green,3347,637,3.16,3.16,108.4,paint,0,,,1258.1,none,0.0,2959.5,1132.5,1,0,,0.0,712.0,129.0,762.0,223.0,,,0.0,238.7,3.15,0,0,3,0,1.0,1.58,3.16,3.2,0.0,1.58,3.16,3.2,0.0,1.58,3.16,3.2,0.0,0,0,0,3,1.58,,,240.3,1.58,0.0,240.3,1.58,0.0,240.3,1.58,0.0,0.0,0,0.0,0
4,0.067,2,green,2572,1628,0.0,0.0,0.0,corner_3,0,,,1258.1,none,0.0,2959.5,1132.5,1,0,,0.0,549.0,180.0,613.0,299.0,,,0.0,1028.4,0.0,0,0,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1.58,,,1028.4,0.0,0.0,1028.4,0.0,0.0,1028.4,0.0,0.0,0.0,0,0.0,0
5,0.083,0,referee,3267,503,0.0,0.0,0.0,paint,0,,155.7,,none,0.0,0.0,0.0,0,1,,0.0,697.0,249.0,757.0,329.0,,,0.0,352.9,0.0,0,0,4,0,1.0,0.75,3.0,3.0,0.0,0.75,3.0,3.0,0.0,0.75,3.0,3.0,0.0,0,0,0,4,,,,352.8,-0.04,0.0,352.8,-0.04,0.0,352.8,-0.04,0.0,0.0,0,0.0,0
5,0.083,1,green,3348,636,1.41,-1.75,315.0,paint,0,,,1251.8,none,0.0,2937.5,1108.5,1,0,,0.0,713.0,129.0,763.0,222.0,,,0.0,240.1,-1.32,0,0,4,0,1.0,1.52,3.16,4.6,0.0,1.52,3.16,4.6,0.0,1.52,3.16,4.6,0.0,0,0,0,4,33.24,,,240.2,0.61,0.0,240.2,0.61,0.0,240.2,0.61,0.0,0.0,0,0.0,0
5,0.083,2,green,2527,1581,65.07,65.07,226.2,corner_3,0,,,1251.8,none,0.0,2937.5,1108.5,1,0,,0.0,549.0,180.0,613.0,299.0,,,0.0,1024.8,1.49,0,0,4,0,0.933,32.53,65.07,65.1,0.0,32.53,65.07,65.1,0.0,32.53,65.07,65.1,0.0,0,0,0,4,33.24,,,1026.6,0.74,0.0,1026.6,0.74,0.0,1026.6,0.74,0.0,0.0,0,0.0,0
6,0.1,0,referee,3267,504,1.0,1.0,90.0,paint,0,,154.9,,none,0.0,0.0,0.0,0,1,,0.0,697.0,249.0,757.0,328.0,,,0.0,351.9,1.0,0,0,5,0,1.0,0.8,3.0,4.0,0.0,0.8,3.0,4.0,0.0,0.8,3.0,4.0,0.0,0,0,0,5,,,,352.7,0.17,0.0,352.7,0.17,0.0,352.7,0.17,0.0,0.0,0,0.0,0
6,0.1,1,green,3348,636,0.0,-1.41,0.0,paint,0,,,1251.8,none,0.0,2937.5,1108.5,1,0,,0.0,713.0,129.0,763.0,222.0,,,0.0,240.1,0.0,0,0,5,0,1.0,1.14,3.16,4.6,0.0,1.14,3.16,4.6,0.0,1.14,3.16,4.6,0.0,0,0,0,5,0.0,,,240.2,0.46,0.0,240.2,0.46,0.0,240.2,0.46,0.0,0.0,0,0.0,0
6,0.1,2,green,2527,1581,0.0,-65.07,0.0,corner_3,0,,,1251.8,none,0.0,2937.5,1108.5,1,0,,0.0,549.0,180.0,613.0,299.0,,,0.0,1024.8,0.0,0,0,5,0,0.867,21.69,65.07,65.1,0.0,21.69,65.07,65.1,0.0,21.69,65.07,65.1,0.0,0,0,0,5,0.0,,,1026.0,0.5,0.0,1026.0,0.5,0.0,1026.0,0.5,0.0,0.0,0,0.0,0
7,0.117,0,referee,3267,504,0.0,-1.0,0.0,paint,0,,154.9,,none,0.0,0.0,0.0,0,1,,0.0,697.0,249.0,757.0,328.0,,,0.0,351.9,0.0,0,0,6,0,1.0,0.67,3.0,4.0,0.0,0.67,3.0,4.0,0.0,0.67,3.0,4.0,0.0,0,0,0,6,,,,352.5,0.14,0.0,352.5,0.14,0.0,352.5,0.14,0.0,0.0,0,0.0,0
7,0.117,1,green,3348,636,0.0,0.0,0.0,paint,0,,,1251.8,none,0.0,2937.5,1108.5,1,0,,0.0,713.0,129.0,763.0,222.0,,,0.0,240.1,0.0,0,0,6,0,1.0,0.91,3.16,4.6,0.0,0.91,3.16,4.6,0.0,0.91,3.16,4.6,0.0,0,0,0,6,0.0,,,240.2,0.37,0.0,240.2,0.37,0.0,240.2,0.37,0.0,0.0,0,0.0,0
