frame,timestamp,player_id,team,x_position,y_position,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence,velocity_mean_30,velocity_max_30,dist_traveled_30,possession_pct_30,velocity_mean_90,velocity_max_90,dist_traveled_90,possession_pct_90,velocity_mean_150,velocity_max_150,dist_traveled_150,possession_pct_150,shots_90,passes_90,dribbles_90,possession_run,team_velocity_mean,opp_velocity_mean,spacing_advantage,dist_to_basket_mean_30,vel_toward_basket_mean_30,drive_rate_30,dist_to_basket_mean_90,vel_toward_basket_mean_90,drive_rate_90,dist_to_basket_mean_150,vel_toward_basket_mean_150,drive_rate_150,shot_quality_proxy,turnover_flag,pace_30,pick_roll_proxy
482,8.041,4,green,562,1135,0.0,0.0,0.0,3pt_arc,0,,,314.7,none,0.0,413.5,1083.0,1,0,,0.0,296.0,191.0,391.0,339.0,,,0.0,495.2,0.0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,,,495.2,0.0,0.0,495.2,0.0,0.0,495.2,0.0,0.0,0.0,0,0.0,0
482,8.041,10,green,265,1031,0.0,0.0,0.0,paint,0,,,314.7,none,0.0,413.5,1083.0,1,0,,0.0,757.0,204.0,826.0,359.0,,,0.0,208.1,0.0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,,,208.1,0.0,0.0,208.1,0.0,0.0,208.1,0.0,0.0,0.0,0,0.0,0
483,8.058,4,green,564,1136,2.24,2.24,26.6,3pt_arc,0,,,316.9,none,0.0,414.5,1083.5,1,0,,0.0,295.0,192.0,390.0,339.0,,,0.0,497.4,-2.22,0,0,2,0,1.0,1.12,2.24,2.2,0.0,1.12,2.24,2.2,0.0,1.12,2.24,2.2,0.0,0,0,0,2,1.12,,,496.3,-1.11,0.0,496.3,-1.11,0.0,496.3,-1.11,0.0,0.0,0,0.0,0
483,8.058,10,green,265,1031,0.0,0.0,0.0,paint,0,,,316.9,none,0.0,414.5,1083.5,1,0,,0.0,758.0,204.0,826.0,360.0,,,0.0,208.1,0.0,0,0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1.12,,,208.1,0.0,0.0,208.1,0.0,0.0,208.1,0.0,0.0,0.0,0,0.0,0
484,8.075,4,green,565,1137,1.41,-0.83,45.0,3pt_arc,0,,,318.2,none,0.0,415.0,1084.0,1,0,,0.0,293.0,193.0,390.0,340.0,,,0.0,498.8,-1.39,0,0,3,0,1.0,1.22,2.24,3.6,0.0,1.22,2.24,3.6,0.0,1.22,2.24,3.6,0.0,0,0,0,3,0.7,,,497.1,-1.2,0.0,497.1,-1.2,0.0,497.1,-1.2,0.0,0.0,0,0.0,0
484,8.075,10,green,265,1031,0.0,0.0,0.0,paint,0,,,318.2,none,0.0,415.0,1084.0,1,0,,0.0,757.0,205.0,825.0,359.0,,,0.0,208.1,0.0,0,0,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0.7,,,208.1,0.0,0.0,208.1,0.0,0.0,208.1,0.0,0.0,0.0,0,0.0,0
485,8.091,4,green,563,1136,2.24,0.83,206.6,3pt_arc,0,,,316.0,none,0.0,414.0,1083.5,1,0,,0.0,293.0,193.0,392.0,341.0,,,0.0,496.6,2.22,0,0,4,0,1.0,1.47,2.24,5.9,0.0,1.47,2.24,5.9,0.0,1.47,2.24,5.9,0.0,0,0,0,4,1.12,,,497.0,-0.35,0.0,497.0,-0.35,0.0,497.0,-0.35,0.0,0.0,0,0.0,0
485,8.091,10,green,265,1031,0.0,0.0,0.0,paint,0,,,316.0,none,0.0,414.0,1083.5,1,0,,0.0,758.0,207.0,826.0,357.0,,,0.0,208.1,0.0,0,0,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,1.12,,,208.1,0.0,0.0,208.1,0.0,0.0,208.1,0.0,0.0,0.0,0,0.0,0
486,8.108,4,green,563,1136,0.0,-2.24,0.0,3pt_arc,0,,,201.5,none,6116.0,357.7,1092.0,2,0,,0.0,640.0,442.0,730.0,568.0,,,0.0,496.6,0.0,0,0,5,0,1.0,1.18,2.24,5.9,0.0,1.18,2.24,5.9,0.0,1.18,2.24,5.9,0.0,0,0,0,5,43.5,,,496.9,-0.28,0.0,496.9,-0.28,0.0,496.9,-0.28,0.0,0.0,0,0.0,0
486,8.108,7,green,371,1075,0.0,0.0,0.0,paint,0,,,201.5,none,6116.0,357.7,1092.0,2,0,,0.0,535.0,466.0,623.0,632.0,,,0.0,309.2,0.0,0,0,5,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5,43.5,,,309.2,0.0,0.0,309.2,0.0,0.0,309.2,0.0,0.0,0.0,0,0.0,0
486,8.108,10,green,139,1065,130.51,130.51,164.9,paint,0,,,232.2,none,6116.0,357.7,1092.0,2,0,,0.0,757.0,207.0,827.0,357.0,,,0.0,210.0,-42.43,0,0,5,0,1.0,26.1,130.51,130.5,0.0,26.1,130.51,130.5,0.0,26.1,130.51,130.5,0.0,0,0,0,5,43.5,,,208.5,-8.49,0.0,208.5,-8.49,0.0,208.5,-8.49,0.0,0.0,0,0.0,0
487,8.125,4,green,563,1136,0.0,0.0,0.0,3pt_arc,0,,,198.6,none,6192.0,359.0,1092.0,2,0,,0.0,639.0,442.0,729.0,568.0,,,0.0,496.6,0.0,0,0,6,0,1.0,0.98,2.24,5.9,0.0,0.98,2.24,5.9,0.0,0.98,2.24,5.9,0.0,0,0,0,6,1.33,,,496.9,-0.23,0.0,496.9,-0.23,0.0,496.9,-0.23,0.0,0.0,0,0.0,0
487,8.125,7,green,374,1075,3.0,3.0,0.0,paint,0,,,198.6,none,6192.0,359.0,1092.0,2,0,,0.0,534.0,466.0,624.0,636.0,,,0.0,311.4,-2.13,0,0,6,0,1.0,1.5,3.0,3.0,0.0,1.5,3.0,3.0,0.0,1.5,3.0,3.0,0.0,0,0,0,6,1.33,,,310.3,-1.06,0.0,310.3,-1.06,0.0,310.3,-1.06,0.0,0.0,0,0.0,0
487,8.125,10,green,140,1065,1.0,-129.51,0.0,paint,0,,,234.2,none,6192.0,359.0,1092.0,2,0,,0.0,758.0,207.0,826.0,358.0,,,0.0,209.9,0.06,0,0,6,0,1.0,21.92,130.51,131.5,0.0,21.92,130.51,131.5,0.0,21.92,130.51,131.5,0.0,0,0,0,6,1.33,,,208.7,-7.06,0.0,208.7,-7.06,0.0,208.7,-7.06,0.0,0.0,0,0.0,0
488,8.141,4,green,563,1136,0.0,0.0,0.0,3pt_arc,0,,,197.6,none,6227.5,359.3,1092.0,2,0,,0.0,639.0,442.0,729.0,573.0,,,0.0,496.6,0.0,0,0,7,0,1.0,0.84,2.24,5.9,0.0,0.84,2.24,5.9,0.0,0.84,2.24,5.9,0.0,0,0,0,7,0.33,,,496.8,-0.2,0.0,496.8,-0.2,0.0,496.8,-0.2,0.0,0.0,0,0.0,0
488,8.141,7,green,375,1075,1.0,-2.0,0.0,paint,0,,,197.6,none,6227.5,359.3,1092.0,2,0,,0.0,533.0,467.0,624.0,637.0,,,0.0,312.1,-0.71,0,0,7,0,1.0,1.33,3.0,4.0,0.0,1.33,3.0,4.0,0.0,1.33,3.0,4.0,0.0,0,0,0,7,0.33,,,310.9,-0.95,0.0,310.9,-0.95,0.0,310.9,-0.95,0.0,0.0,0,0.0,0
488,8.141,10,green,140,1065,0.0,-1.0,0.0,paint,0,,,235.2,none,6227.5,359.3,1092.0,2,0,,0.0,757.0,207.0,827.0,358.0,,,0.0,209.9,0.0,0,0,7,0,1.0,18.79,130.51,131.5,0.0,18.79,130.51,131.5,0.0,18.79,130.51,131.5,0.0,0,0,0,7,0.33,,,208.9,-6.05,0.0,208.9,-6.05,0.0,208.9,-6.05,0.0,0.0,0,0.0,0
489,8.158,4,green,563,1136,0.0,0.0,0.0,3pt_arc,0,,,197.6,none,6136.0,360.3,1092.0,2,0,,0.0,640.0,443.0,730.0,574.0,,,0.0,496.6,0.0,0,0,8,0,1.0,0.74,2.24,5.9,0.0,0.74,2.24,5.9,0.0,0.74,2.24,5.9,0.0,0,0,0,8,1.0,,,496.8,-0.17,0.0,496.8,-0.17,0.0,496.8,-0.17,0.0,0.0,0,0.0,0
489,8.158,7,green,375,1075,0.0,-1.0,0.0,paint,0,,,197.6,none,6136.0,360.3,1092.0,2,0,,0.0,533.0,468.0,623.0,638.0,,,0.0,312.1,0.0,0,0,8,0,1.0,1.0,3.0,4.0,0.0,1.0,3.0,4.0,0.0,1.0,3.0,4.0,0.0,0,0,0,8,1.0,,,311.2,-0.71,0.0,311.2,-0.71,0.0,311.2,-0.71,0.0,0.0,0,0.0,0
489,8.158,10,green,143,1065,3.0,3.0,0.0,paint,0,,,232.2,none,6136.0,360.3,1092.0,2,0,,0.0,757.0,207.0,826.0,361.0,,,0.0,209.7,0.15,0,0,8,0,1.0,16.81,130.51,134.5,0.0,16.81,130.51,134.5,0.0,16.81,130.51,134.5,0.0,0,0,0,8,1.0,,,209.0,-5.28,0.0,209.0,-5.28,0.0,209.0,-5.28,0.0,0.0,0,0.0,0
490,8.175,4,green,563,1136,0.0,0.0,0.0,3pt_arc,0,,,196.7,none,6017.0,361.3,1091.7,2,0,,0.0,640.0,442.0,730.0,576.0,,,0.0,496.6,0.0,0,0,9,0,1.0,0.65,2.24,5.9,0.0,0.65,2.24,5.9,0.0,0.65,2.24,5.9,0.0,0,0,0,9,1.08,,,496.8,-0.15,0.0,496.8,-0.15,0.0,496.8,-0.15,0.0,0.0,0,0.0,0
490,8.175,7,green,376,1075,1.0,1.0,0.0,paint,0,,,196.7,none,6017.0,361.3,1091.7,2,0,,0.0,533.0,469.0,623.0,639.0,,,0.0,312.8,-0.71,0,0,9,0,1.0,1.0,3.0,5.0,0.0,1.0,3.0,5.0,0.0,1.0,3.0,5.0,0.0,0,0,0,9,1.08,,,311.5,-0.71,0.0,311.5,-0.71,0.0,311.5,-0.71,0.0,0.0,0,0.0,0
490,8.175,10,green,145,1064,2.24,-0.76,333.4,paint,0,,,231.3,none,6017.0,361.3,1091.7,2,0,,0.0,757.0,207.0,827.0,363.0,,,0.0,208.7,1.08,0,0,9,0,1.0,15.19,130.51,136.8,0.0,15.19,130.51,136.8,0.0,15.19,130.51,136.8,0.0,0,0,0,9,1.08,,,209.0,-4.57,0.0,209.0,-4.57,0.0,209.0,-4.57,0.0,0.0,0,0.0,0
491,8.192,4,green,563,1136,0.0,0.0,0.0,3pt_arc,0,,,340.1,none,98943.0,369.8,1162.2,2,0,,0.0,640.0,444.0,730.0,573.0,,,0.0,496.6,0.0,0,0,10,0,1.0,0.59,2.24,5.9,0.0,0.59,2.24,5.9,0.0,0.59,2.24,5.9,0.0,0,0,0,10,90.23,,,496.8,-0.14,0.0,496.8,-0.14,0.0,496.8,-0.14,0.0,0.0,0,0.0,0
491,8.192,7,green,224,1109,155.76,154.76,167.4,paint,0,,,287.2,none,98943.0,369.8,1162.2,2,0,,0.0,533.0,470.0,623.0,638.0,,,0.0,263.2,8.15,0,0,10,0,1.0,26.79,155.76,160.8,0.0,26.79,155.76,160.8,0.0,26.79,155.76,160.8,0.0,0,0,0,10,90.23,,,303.5,0.77,0.0,303.5,0.77,0.0,303.5,0.77,0.0,0.0,0,0.0,0
491,8.192,8,green,649,1518,0.0,0.0,0.0,corner_3,0,,,391.6,none,98943.0,369.8,1162.2,2,0,,0.0,78.0,415.0,175.0,568.0,,,0.0,827.5,0.0,0,0,10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,10,90.23,,,827.5,0.0,0.0,827.5,0.0,0.0,827.5,0.0,0.0,0.0,0,0.0,0
491,8.192,10,green,43,886,205.15,202.91,240.2,paint,0,,,287.2,none,98943.0,369.8,1162.2,2,0,,0.0,757.0,207.0,827.0,363.0,,,0.0,114.3,-50.82,0,0,10,0,1.0,34.19,205.15,341.9,0.0,34.19,205.15,341.9,0.0,34.19,205.15,341.9,0.0,0,0,0,10,90.23,,,199.5,-9.2,0.0,199.5,-9.2,0.0,199.5,-9.2,0.0,0.0,0,0.0,0
492,8.208,4,green,563,1136,0.0,0.0,0.0,3pt_arc,0,,,340.0,none,99246.0,369.8,1162.5,2,0,,0.0,640.0,444.0,730.0,574.0,,,0.0,496.6,0.0,0,0,11,0,1.0,0.54,2.24,5.9,0.0,0.54,2.24,5.9,0.0,0.54,2.24,5.9,0.0,0,0,0,11,0.25,,,496.7,-0.13,0.0,496.7,-0.13,0.0,496.7,-0.13,0.0,0.0,0,0.0,0
492,8.208,7,green,224,1110,1.0,-154.76,90.0,paint,0,,,288.0,none,99246.0,369.8,1162.5,2,0,,0.0,532.0,470.0,623.0,639.0,,,0.0,264.2,-0.96,0,0,11,0,1.0,23.11,155.76,161.8,0.0,23.11,155.76,161.8,0.0,23.11,155.76,161.8,0.0,0,0,0,11,0.25,,,297.9,0.52,0.0,297.9,0.52,0.0,297.9,0.52,0.0,0.0,0,0.0,0
492,8.208,8,green,649,1518,0.0,0.0,0.0,corner_3,0,,,391.6,none,99246.0,369.8,1162.5,2,0,,0.0,78.0,415.0,174.0,568.0,,,0.0,827.5,0.0,0,0,11,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,11,0.25,,,827.5,0.0,0.0,827.5,0.0,0.0,827.5,0.0,0.0,0.0,0,0.0,0
492,8.208,10,green,43,886,0.0,-205.15,0.0,paint,0,,,288.0,none,99246.0,369.8,1162.5,2,0,,0.0,757.0,207.0,827.0,363.0,,,0.0,114.3,0.0,0,0,11,0,1.0,31.08,205.15,341.9,0.0,31.08,205.15,341.9,0.0,31.08,205.15,341.9,0.0,0,0,0,11,0.25,,,191.7,-8.36,0.0,191.7,-8.36,0.0,191.7,-8.36,0.0,0.0,0,0.0,0
493,8.225,4,green,563,1136,0.0,0.0,0.0,3pt_arc,0,,,340.1,none,100177.5,371.5,1163.8,2,0,,0.0,640.0,444.0,729.0,574.0,,,0.0,496.6,0.0,0,0,12,0,1.0,0.49,2.24,5.9,0.0,0.49,2.24,5.9,0.0,0.49,2.24,5.9,0.0,0,0,0,12,3.26,,,496.7,-0.12,0.0,496.7,-0.12,0.0,496.7,-0.12,0.0,0.0,0,0.0,0
493,8.225,7,green,224,1109,1.0,0.0,270.0,paint,0,,,288.6,none,100177.5,371.5,1163.8,2,0,,0.0,532.0,471.0,624.0,638.0,,,0.0,263.2,0.96,0,0,12,0,1.0,20.34,155.76,162.8,0.0,20.34,155.76,162.8,0.0,20.34,155.76,162.8,0.0,0,0,0,12,3.26,,,293.5,0.58,0.0,293.5,0.58,0.0,293.5,0.58,0.0,0.0,0,0.0,0
493,8.225,8,green,657,1525,10.63,10.63,41.2,corner_3,0,,,400.2,none,100177.5,371.5,1163.8,2,0,,0.0,78.0,416.0,173.0,567.0,,,0.0,837.9,-10.4,0,0,12,0,1.0,3.54,10.63,10.6,0.0,3.54,10.63,10.6,0.0,3.54,10.63,10.6,0.0,0,0,0,12,3.26,,,831.0,-3.47,0.0,831.0,-3.47,0.0,831.0,-3.47,0.0,0.0,0,0.0,0
493,8.225,10,green,42,885,1.41,1.41,225.0,paint,0,,,288.6,none,100177.5,371.5,1163.8,2,0,,0.0,757.0,208.0,827.0,362.0,,,0.0,115.0,-0.71,0,0,12,0,1.0,28.61,205.15,343.3,0.0,28.61,205.15,343.3,0.0,28.61,205.15,343.3,0.0,0,0,0,12,3.26,,,185.4,-7.72,0.0,185.4,-7.72,0.0,185.4,-7.72,0.0,0.0,0,0.0,0
494,8.242,4,green,563,1136,0.0,0.0,0.0,3pt_arc,0,,,340.1,none,101283.0,373.5,1166.0,2,0,,0.0,640.0,444.0,729.0,575.0,,,0.0,496.6,0.0,0,0,13,0,1.0,0.45,2.24,5.9,0.0,0.45,2.24,5.9,0.0,0.45,2.24,5.9,0.0,0,0,0,13,3.01,,,496.7,-0.11,0.0,496.7,-0.11,0.0,496.7,-0.11,0.0,0.0,0,0.0,0
494,8.242,7,green,224,1109,0.0,-1.0,0.0,paint,0,,,287.2,none,101283.0,373.5,1166.0,2,0,,0.0,532.0,471.0,624.0,637.0,,,0.0,263.2,0.0,0,0,13,0,1.0,18.08,155.76,162.8,0.0,18.08,155.76,162.8,0.0,18.08,155.76,162.8,0.0,0,0,0,13,3.01,,,290.2,0.51,0.0,290.2,0.51,0.0,290.2,0.51,0.0,0.0,0,0.0,0
494,8.242,8,green,664,1533,10.63,0.0,48.8,corner_3,0,,,409.6,none,101283.0,373.5,1166.0,2,0,,0.0,76.0,416.0,171.0,568.0,,,0.0,848.5,-10.6,0,0,13,0,1.0,5.32,10.63,21.3,0.0,5.32,10.63,21.3,0.0,5.32,10.63,21.3,0.0,0,0,0,13,3.01,,,835.4,-5.25,0.0,835.4,-5.25,0.0,835.4,-5.25,0.0,0.0,0,0.0,0
494,8.242,10,green,43,886,1.41,0.0,45.0,paint,0,,,287.2,none,101283.0,373.5,1166.0,2,0,,0.0,757.0,207.0,827.0,363.0,,,0.0,114.3,0.7,0,0,13,0,1.0,26.52,205.15,344.7,0.0,26.52,205.15,344.7,0.0,26.52,205.15,344.7,0.0,0,0,0,13,3.01,,,179.9,-7.07,0.0,179.9,-7.07,0.0,179.9,-7.07,0.0,0.0,0,0.0,0
495,8.258,4,green,563,1136,0.0,0.0,0.0,3pt_arc,0,,,339.0,none,102037.0,375.2,1167.5,2,0,,0.0,639.0,445.0,729.0,575.0,,,0.0,496.6,0.0,0,0,14,0,1.0,0.42,2.24,5.9,0.0,0.42,2.24,5.9,0.0,0.42,2.24,5.9,0.0,0,0,0,14,2.3,,,496.7,-0.1,0.0,496.7,-0.1,0.0,496.7,-0.1,0.0,0.0,0,0.0,0
495,8.258,7,green,225,1110,1.41,1.41,45.0,paint,0,,,288.6,none,102037.0,375.2,1167.5,2,0,,0.0,533.0,472.0,623.0,640.0,,,0.0,264.4,-1.23,0,0,14,0,1.0,16.42,155.76,164.2,0.0,16.42,155.76,164.2,0.0,16.42,155.76,164.2,0.0,0,0,0,14,2.3,,,287.6,0.34,0.0,287.6,0.34,0.0,287.6,0.34,0.0,0.0,0,0.0,0
495,8.258,8,green,670,1538,7.81,-2.82,39.8,corner_3,0,,,416.0,none,102037.0,375.2,1167.5,2,0,,0.0,75.0,417.0,170.0,568.0,,,0.0,856.1,-7.61,0,0,14,0,1.0,5.81,10.63,29.1,0.0,5.81,10.63,29.1,0.0,5.81,10.63,29.1,0.0,0,0,0,14,2.3,,,839.5,-5.72,0.0,839.5,-5.72,0.0,839.5,-5.72,0.0,0.0,0,0.0,0
495,8.258,10,green,43,886,0.0,-1.41,0.0,paint,0,,,288.6,none,102037.0,375.2,1167.5,2,0,,0.0,757.0,207.0,827.0,363.0,,,0.0,114.3,0.0,0,0,14,0,1.0,24.62,205.15,344.7,0.0,24.62,205.15,344.7,0.0,24.62,205.15,344.7,0.0,0,0,0,14,2.3,,,175.2,-6.57,0.0,175.2,-6.57,0.0,175.2,-6.57,0.0,0.0,0,0.0,0
496,8.275,2,green,370,1427,0.0,0.0,0.0,3pt_arc,0,,,202.1,none,330677.5,377.9,1172.0,3,0,,0.0,16.0,74.0,89.0,183.0,,,0.0,611.2,0.0,0,0,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15,0.0,,,611.2,0.0,0.0,611.2,0.0,0.0,611.2,0.0,0.0,0.0,0,0.0,0
496,8.275,4,green,563,1136,0.0,0.0,0.0,3pt_arc,0,,,339.0,none,330677.5,377.9,1172.0,3,0,,0.0,924.0,70.0,983.0,196.0,,,0.0,496.6,0.0,0,0,15,0,1.0,0.39,2.24,5.9,0.0,0.39,2.24,5.9,0.0,0.39,2.24,5.9,0.0,0,0,0,15,0.0,,,496.7,-0.09,0.0,496.7,-0.09,0.0,496.7,-0.09,0.0,0.0,0,0.0,0
496,8.275,5,green,439,1617,0.0,0.0,0.0,corner_3,0,,,202.1,none,330677.5,377.9,1172.0,3,0,,0.0,260.0,70.0,332.0,209.0,,,0.0,813.4,0.0,0,0,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15,0.0,,,813.4,0.0,0.0,813.4,0.0,0.0,813.4,0.0,0.0,0.0,0,0.0,0
496,8.275,7,green,225,1110,0.0,-1.41,0.0,paint,0,,,288.6,none,330677.5,377.9,1172.0,3,0,,0.0,835.0,69.0,899.0,191.0,,,0.0,264.4,0.0,0,0,15,0,1.0,14.92,155.76,164.2,0.0,14.92,155.76,164.2,0.0,14.92,155.76,164.2,0.0,0,0,0,15,0.0,,,285.5,0.31,0.0,285.5,0.31,0.0,285.5,0.31,0.0,0.0,0,0.0,0
496,8.275,8,green,670,1538,0.0,-7.81,0.0,corner_3,0,,,244.1,none,330677.5,377.9,1172.0,3,0,,0.0,-15.0,409.0,55.0,538.0,,,0.0,856.1,0.0,0,0,15,0,1.0,4.84,10.63,29.1,0.0,4.84,10.63,29.1,0.0,4.84,10.63,29.1,0.0,0,0,0,15,0.0,,,842.3,-4.77,0.0,842.3,-4.77,0.0,842.3,-4.77,0.0,0.0,0,0.0,0
496,8.275,9,green,335,490,0.0,0.0,0.0,paint,0,,,492.0,none,330677.5,377.9,1172.0,3,0,,0.0,893.0,58.0,955.0,198.0,,,0.0,408.2,0.0,0,0,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15,0.0,,,408.2,0.0,0.0,408.2,0.0,0.0,408.2,0.0,0.0,0.0,0,0.0,0
496,8.275,10,green,43,886,0.0,0.0,0.0,paint,0,,,288.6,none,330677.5,377.9,1172.0,3,0,,0.0,191.0,65.0,252.0,134.0,,,0.0,114.3,0.0,0,0,15,0,1.0,22.98,205.15,344.7,0.0,22.98,205.15,344.7,0.0,22.98,205.15,344.7,0.0,0,0,0,15,0.0,,,171.1,-6.13,0.0,171.1,-6.13,0.0,171.1,-6.13,0.0,0.0,0,0.0,0
497,8.292,2,green,370,1427,0.0,0.0,0.0,3pt_arc,0,,,204.3,none,329741.5,379.3,1171.7,3,0,,0.0,15.0,73.0,89.0,183.0,,,0.0,611.2,0.0,0,0,16,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,16,1.5,,,611.2,0.0,0.0,611.2,0.0,0.0,611.2,0.0,0.0,0.0,0,0.0,0
497,8.292,4,green,563,1136,0.0,0.0,0.0,3pt_arc,0,,,339.0,none,329741.5,379.3,1171.7,3,0,,0.0,983.0,31.0,1049.0,157.0,,,0.0,496.6,0.0,0,0,16,0,1.0,0.37,2.24,5.9,0.0,0.37,2.24,5.9,0.0,0.37,2.24,5.9,0.0,0,0,0,16,1.5,,,496.7,-0.09,0.0,496.7,-0.09,0.0,496.7,-0.09,0.0,0.0,0,0.0,0
