player_id,team,frames_tracked,tracking_pct,total_distance_px,avg_velocity,max_velocity,possession_frames,possession_pct,shots_attempted,drive_attempts,drive_rate,paint_frames,paint_pct,avg_dist_to_basket,avg_nearest_opponent
1,green,93,0.608,2646.9,28.46,2376.8,0,0.0,0,0,0.0,0,0.0,1004.9,0.0
2,green,133,0.869,4953.4,37.24,1625.29,0,0.0,0,0,0.0,0,0.0,971.0,0.0
3,green,89,0.582,683.7,7.68,342.04,0,0.0,0,0,0.0,0,0.0,1446.1,0.0
4,green,105,0.686,1880.2,17.91,1826.44,71,0.676,0,1,0.0095,40,0.381,806.2,0.0
5,green,73,0.477,698.5,9.57,691.16,0,0.0,0,0,0.0,0,0.0,1347.4,0.0
6,green,89,0.582,2260.0,25.39,1857.99,0,0.0,0,0,0.0,0,0.0,1379.5,0.0
7,green,104,0.68,4960.7,47.7,1626.43,0,0.0,0,0,0.0,0,0.0,1289.7,0.0
8,green,97,0.634,2441.6,25.17,1508.19,0,0.0,0,0,0.0,0,0.0,1142.0,0.0
9,green,114,0.745,1518.1,13.32,249.65,0,0.0,0,0,0.0,0,0.0,994.1,0.0
10,green,91,0.595,2730.8,30.01,1242.84,0,0.0,0,0,0.0,0,0.0,1099.6,0.0
