possession_id,team,start_frame,end_frame,duration_frames,duration_sec,avg_spacing,avg_defensive_pressure,avg_vel_toward_basket,drive_attempts,shot_attempted,shot_frame,fast_break,result,outcome_score
48,green,47,57,11,0.18,,,0.04,0,0,,0,,
50,green,59,59,1,0.02,,,,0,0,,0,,
52,green,61,61,1,0.02,,,-1.16,0,0,,0,,
96,green,105,117,13,0.22,,,0.19,1,0,,0,,
101,green,122,136,15,0.25,,,-1.2,0,0,,0,,
104,green,139,139,1,0.02,,,-1.2,0,0,,0,,
106,green,141,141,1,0.02,,,0.06,0,0,,0,,
108,green,143,167,25,0.42,,,-0.02,0,0,,0,,
120,green,179,182,4,0.07,,,-0.06,0,0,,0,,
122,green,184,187,4,0.07,,,-6.35,0,0,,0,,
142,green,207,209,3,0.05,,,4.19,1,0,,0,,
144,green,211,211,1,0.02,,,,0,0,,0,,
149,green,216,216,1,0.02,,,22.27,1,0,,0,,
151,green,218,219,2,0.03,,,3.46,1,0,,0,,
153,green,221,233,13,0.22,,,-0.01,0,0,,0,,
174,green,254,265,12,0.2,,,-2.04,0,0,,0,,
176,green,267,274,8,0.13,,,0.14,0,0,,0,,
178,green,276,276,1,0.02,,,0.99,0,0,,0,,
180,green,278,278,1,0.02,,,-7.43,0,0,,0,,
182,green,280,281,2,0.03,,,-4.13,0,0,,0,,
185,green,284,284,1,0.02,,,-3.08,0,0,,0,,
191,green,290,292,3,0.05,,,-0.12,0,0,,0,,
193,green,294,308,15,0.25,,,-1.94,0,0,,0,,
227,green,342,352,11,0.18,,,0.1,0,0,,0,,
229,green,354,498,145,2.42,,,,0,0,,0,,
