frame,timestamp,player_id,team,x_position,y_position,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence,velocity_mean_30,velocity_max_30,dist_traveled_30,possession_pct_30,velocity_mean_90,velocity_max_90,dist_traveled_90,possession_pct_90,velocity_mean_150,velocity_max_150,dist_traveled_150,possession_pct_150,shots_90,passes_90,dribbles_90,possession_run,team_velocity_mean,opp_velocity_mean,spacing_advantage,dist_to_basket_mean_30,vel_toward_basket_mean_30,drive_rate_30,dist_to_basket_mean_90,vel_toward_basket_mean_90,drive_rate_90,dist_to_basket_mean_150,vel_toward_basket_mean_150,drive_rate_150,shot_quality_proxy,turnover_flag,pace_30,pick_roll_proxy
0,0.0,1,green,667,502,0.0,0.0,0.0,3pt_arc,0,,,174.9,none,539651.0,1914.8,945.2,1,0,,0.0,510.0,297.0,565.0,381.0,,,0.0,623.7,0.0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,,,623.7,0.0,0.0,623.7,0.0,0.0,623.7,0.0,0.0,0.0,0,0.0,0
0,0.0,2,green,1924,1317,0.0,0.0,0.0,backcourt,0,,,767.7,none,539651.0,1914.8,945.2,1,0,,0.0,664.0,174.0,847.0,505.0,,,0.0,1404.8,0.0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,,,1404.8,0.0,0.0,1404.8,0.0,0.0,1404.8,0.0,0.0,0.0,0,0.0,0
0,0.0,4,green,2934,1174,0.0,0.0,0.0,paint,0,,,133.5,none,539651.0,1914.8,945.2,1,0,,0.0,632.0,299.0,683.0,380.0,,,0.0,449.2,0.0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,,,449.2,0.0,0.0,449.2,0.0,0.0,449.2,0.0,0.0,0.0,0,0.0,0
0,0.0,5,green,2658,1092,0.0,0.0,0.0,3pt_arc,0,,,154.4,none,539651.0,1914.8,945.2,1,0,,0.0,625.0,300.0,668.0,380.0,,,0.0,638.3,0.0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,,,638.3,0.0,0.0,638.3,0.0,0.0,638.3,0.0,0.0,0.0,0,0.0,0
0,0.0,6,green,500,450,0.0,0.0,0.0,3pt_arc,0,,,174.9,none,539651.0,1914.8,945.2,1,0,,0.0,498.0,298.0,548.0,380.0,,,0.0,533.6,0.0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,,,533.6,0.0,0.0,533.6,0.0,0.0,533.6,0.0,0.0,0.0,0,0.0,0
0,0.0,7,green,2806,1136,0.0,0.0,0.0,3pt_arc,0,,,133.5,none,539651.0,1914.8,945.2,1,0,,0.0,628.0,299.0,676.0,380.0,,,0.0,525.9,0.0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,,,525.9,0.0,0.0,525.9,0.0,0.0,525.9,0.0,0.0,0.0,0,0.0,0
1,0.017,1,green,667,502,0.0,0.0,0.0,3pt_arc,0,,,188.2,none,539387.0,1873.3,951.8,1,0,,0.0,510.0,298.0,565.0,381.0,,,0.0,623.7,0.0,0,1,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,39.42,,,623.7,0.0,0.0,623.7,0.0,0.0,623.7,0.0,0.0,0.0,0,0.0,0
1,0.017,2,green,2090,1359,171.23,171.23,14.2,mid_range,0,,,354.1,none,539387.0,1873.3,951.8,1,0,,0.0,665.0,174.0,849.0,501.0,,,0.0,1265.3,135.58,0,1,2,0,1.0,85.62,171.23,171.2,0.0,85.62,171.23,171.2,0.0,85.62,171.23,171.2,0.0,0,0,0,2,39.42,,,1335.0,67.79,0.0,1335.0,67.79,0.0,1335.0,67.79,0.0,0.0,0,0.0,0
1,0.017,3,green,2354,1123,0.0,0.0,0.0,mid_range,0,,,328.9,none,539387.0,1873.3,951.8,1,0,,0.0,646.0,293.0,704.0,418.0,,,0.0,935.9,0.0,0,1,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,39.42,,,935.9,0.0,0.0,935.9,0.0,0.0,935.9,0.0,0.0,0.0,0,0.0,0
1,0.017,4,green,2960,1181,26.93,26.93,15.1,paint,0,,,289.8,none,539387.0,1873.3,951.8,1,0,,0.0,634.0,299.0,682.0,380.0,,,0.0,436.5,12.1,0,1,2,0,1.0,13.46,26.93,26.9,0.0,13.46,26.93,26.9,0.0,13.46,26.93,26.9,0.0,0,0,0,2,39.42,,,442.8,6.05,0.0,442.8,6.05,0.0,442.8,6.05,0.0,0.0,0,0.0,0
