frame,timestamp,player_id,team,x_position,y_position,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence
0,0.0,1,green,840,1392,0.0,0.0,0.0,3pt_arc,0,,,,none,0.0,840.0,1392.0,0,0,,0.0,494,88,1066,474,,,0.0,871.5,0.0,0,0,1,0,1.0
1,0.017,1,green,840,1392,0.0,0.0,0.0,3pt_arc,0,,,,none,0.0,840.0,1392.0,0,0,,0.0,494,88,1066,474,,,0.0,871.5,0.0,0,0,2,0,1.0
2,0.033,1,green,840,1392,0.0,0.0,0.0,3pt_arc,0,,,,none,0.0,840.0,1392.0,0,0,,0.0,494,88,1066,474,,,0.0,871.5,0.0,0,0,3,0,1.0
3,0.05,1,green,835,1393,5.1,5.1,168.7,3pt_arc,0,,,,none,0.0,835.0,1393.0,0,0,,0.0,494,88,1065,474,,,0.0,868.2,3.31,0,0,4,0,1.0
4,0.067,1,green,840,1392,5.1,0.0,348.7,3pt_arc,0,,,,none,0.0,840.0,1392.0,0,0,,0.0,494,88,1066,474,,,0.0,871.5,-3.32,0,0,5,0,1.0
5,0.083,1,green,840,1392,0.0,-5.1,0.0,3pt_arc,0,,,,none,0.0,840.0,1392.0,0,0,,0.0,494,88,1066,474,,,0.0,871.5,0.0,0,0,6,0,1.0
6,0.1,1,green,835,1393,5.1,5.1,168.7,3pt_arc,0,,,,none,0.0,835.0,1393.0,0,0,,0.0,494,88,1065,474,,,0.0,868.2,3.31,0,0,7,0,1.0
7,0.117,1,green,840,1392,5.1,0.0,348.7,3pt_arc,0,,,,none,0.0,840.0,1392.0,0,0,,0.0,494,88,1066,474,,,0.0,871.5,-3.32,0,0,8,0,1.0
8,0.133,1,green,840,1392,0.0,-5.1,0.0,3pt_arc,0,,,,none,0.0,840.0,1392.0,0,0,,0.0,494,88,1066,474,,,0.0,871.5,0.0,0,0,9,0,1.0
9,0.15,1,green,835,1393,5.1,5.1,168.7,3pt_arc,0,,,,none,0.0,835.0,1393.0,0,0,,0.0,494,88,1065,474,,,0.0,868.2,3.31,0,0,10,0,1.0
10,0.167,1,green,835,1393,0.0,-5.1,0.0,3pt_arc,0,,,,none,0.0,835.0,1393.0,0,0,,0.0,494,88,1065,474,,,0.0,868.2,0.0,0,0,11,0,1.0
11,0.184,1,green,840,1392,5.1,5.1,348.7,3pt_arc,0,,,,none,0.0,840.0,1392.0,0,0,,0.0,494,88,1066,474,,,0.0,871.5,-3.32,0,0,12,0,1.0
12,0.2,1,green,840,1392,0.0,-5.1,0.0,3pt_arc,0,,,,none,0.0,840.0,1392.0,0,0,,0.0,494,88,1066,474,,,0.0,871.5,0.0,0,0,13,0,1.0
13,0.217,1,green,835,1393,5.1,5.1,168.7,3pt_arc,0,,,,none,0.0,835.0,1393.0,0,0,,0.0,494,88,1065,474,,,0.0,868.2,3.31,0,0,14,0,1.0
14,0.234,1,green,835,1393,0.0,-5.1,0.0,3pt_arc,0,,,,none,0.0,835.0,1393.0,0,0,,0.0,494,88,1065,474,,,0.0,868.2,0.0,0,0,15,0,1.0
15,0.25,1,green,835,1393,0.0,0.0,0.0,3pt_arc,0,,,,none,0.0,835.0,1393.0,0,0,,0.0,494,88,1065,474,,,0.0,868.2,0.0,0,0,16,0,1.0
16,0.267,1,green,835,1393,0.0,0.0,0.0,3pt_arc,0,,,,none,0.0,835.0,1393.0,0,0,,0.0,494,88,1065,474,,,0.0,868.2,0.0,0,0,17,0,1.0
17,0.284,1,green,845,1392,10.05,10.05,354.3,3pt_arc,0,,,,none,0.0,845.0,1392.0,0,0,,0.0,494,88,1069,474,,,0.0,875.5,-7.29,0,0,18,0,1.0
