frame,timestamp,player_id,team,x_position,y_position,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence,velocity_mean_30,velocity_max_30,dist_traveled_30,possession_pct_30,velocity_mean_90,velocity_max_90,dist_traveled_90,possession_pct_90,velocity_mean_150,velocity_max_150,dist_traveled_150,possession_pct_150,shots_90,passes_90,dribbles_90,possession_run,team_velocity_mean,opp_velocity_mean,spacing_advantage,dist_to_basket_mean_30,vel_toward_basket_mean_30,drive_rate_30,dist_to_basket_mean_90,vel_toward_basket_mean_90,drive_rate_90,dist_to_basket_mean_150,vel_toward_basket_mean_150,drive_rate_150,shot_quality_proxy,turnover_flag,pace_30,pick_roll_proxy
0,0.0,1,green,2792,772,0.0,0.0,0.0,3pt_arc,0,,,318.9,none,646.5,3057.3,721.7,2,0,,0.0,547.0,54.0,963.0,552.0,,,0.0,466.4,0.0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,,,466.4,0.0,0.0,466.4,0.0,0.0,466.4,0.0,0.0,0.0,0,0.0,0
0,0.0,4,green,3275,682,0.0,0.0,0.0,paint,0,,,172.5,none,646.5,3057.3,721.7,2,0,,0.0,1088.0,304.0,1178.0,444.0,,,0.0,175.2,0.0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,,,175.2,0.0,0.0,175.2,0.0,0.0,175.2,0.0,0.0,0.0,0,0.0,0
0,0.0,5,green,3105,711,0.0,0.0,0.0,paint,0,,,172.5,none,646.5,3057.3,721.7,2,0,,0.0,43.0,291.0,186.0,513.0,,,0.0,205.3,0.0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,,,205.3,0.0,0.0,205.3,0.0,0.0,205.3,0.0,0.0,0.0,0,0.0,0
1,0.017,1,green,2833,764,41.77,41.77,349.0,3pt_arc,0,,,288.7,none,1079.5,3075.7,717.7,2,0,,0.0,523.0,53.0,959.0,553.0,,,0.0,427.7,38.34,0,0,2,0,1.0,20.88,41.77,41.8,0.0,20.88,41.77,41.8,0.0,20.88,41.77,41.8,0.0,0,0,0,2,14.92,,,447.0,19.17,0.0,447.0,19.17,0.0,447.0,19.17,0.0,0.0,0,0.0,0
1,0.017,4,green,3278,682,3.0,3.0,0.0,paint,0,,,163.9,none,1079.5,3075.7,717.7,2,0,,0.0,1081.0,301.0,1171.0,444.0,,,0.0,175.6,-0.46,0,0,2,0,1.0,1.5,3.0,3.0,0.0,1.5,3.0,3.0,0.0,1.5,3.0,3.0,0.0,0,0,0,2,14.92,,,175.4,-0.23,0.0,175.4,-0.23,0.0,175.4,-0.23,0.0,0.0,0,0.0,0
1,0.017,7,green,3116,707,0.0,0.0,0.0,paint,0,,,163.9,none,1079.5,3075.7,717.7,2,0,,0.0,-15.0,319.0,65.0,417.0,,,0.0,200.6,0.0,0,0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,14.92,,,200.6,0.0,0.0,200.6,0.0,0.0,200.6,0.0,0.0,0.0,0,0.0,0
2,0.033,1,green,2843,762,10.2,-31.57,348.7,3pt_arc,0,,,394.4,none,0.0,3037.0,726.5,1,0,,0.0,522.0,53.0,953.0,553.0,,,0.0,418.4,9.3,0,0,3,0,1.0,17.32,41.77,52.0,0.0,17.32,41.77,52.0,0.0,17.32,41.77,52.0,0.0,0,0,0,3,5.1,,,437.5,15.88,0.0,437.5,15.88,0.0,437.5,15.88,0.0,0.0,0,0.0,0
2,0.033,8,green,3231,691,0.0,0.0,0.0,paint,0,,,394.4,none,0.0,3037.0,726.5,1,0,,0.0,1215.0,266.0,1295.0,388.0,,,0.0,165.7,0.0,0,0,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,5.1,,,165.7,0.0,0.0,165.7,0.0,0.0,165.7,0.0,0.0,0.0,0,0.0,0
3,0.05,1,green,2833,764,10.2,0.0,168.7,3pt_arc,0,,,254.8,none,111.0,3059.0,720.0,2,0,,0.0,524.0,53.0,958.0,553.0,,,0.0,427.7,-9.34,0,0,4,0,1.0,15.54,41.77,62.2,0.0,15.54,41.77,62.2,0.0,15.54,41.77,62.2,0.0,0,0,0,4,13.94,,,435.0,9.58,0.0,435.0,9.58,0.0,435.0,9.58,0.0,0.0,0,0.0,0
3,0.05,6,green,3083,715,0.0,0.0,0.0,paint,0,,,181.2,none,111.0,3059.0,720.0,2,0,,0.0,287.0,321.0,394.0,512.0,,,0.0,218.9,0.0,0,0,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,13.94,,,218.9,0.0,0.0,218.9,0.0,0.0,218.9,0.0,0.0,0.0,0,0.0,0
3,0.05,8,green,3261,681,31.62,31.62,341.6,paint,0,,,181.2,none,111.0,3059.0,720.0,2,0,,0.0,1199.0,261.0,1295.0,553.0,,,0.0,174.8,-11.73,0,0,4,0,1.0,15.81,31.62,31.6,0.0,15.81,31.62,31.6,0.0,15.81,31.62,31.6,0.0,0,0,0,4,13.94,,,170.2,-5.86,0.0,170.2,-5.86,0.0,170.2,-5.86,0.0,0.0,0,0.0,0
4,0.067,6,green,3066,647,70.09,70.09,256.0,paint,0,,,244.4,none,0.0,3182.0,608.5,2,0,,0.0,905.0,281.0,1074.0,553.0,,,0.0,278.6,-62.16,0,0,5,0,1.0,35.04,70.09,70.1,0.0,35.04,70.09,70.1,0.0,35.04,70.09,70.1,0.0,0,0,0,5,93.55,,,248.8,-31.08,0.0,248.8,-31.08,0.0,248.8,-31.08,0.0,0.0,0,0.0,0
4,0.067,8,green,3298,570,117.0,85.38,288.4,paint,0,,,244.4,none,0.0,3182.0,608.5,2,0,,0.0,1193.0,264.0,1295.0,554.0,,,0.0,289.4,-115.55,0,0,5,0,1.0,49.54,117.0,148.6,0.0,49.54,117.0,148.6,0.0,49.54,117.0,148.6,0.0,0,0,0,5,93.55,,,210.0,-42.43,0.0,210.0,-42.43,0.0,210.0,-42.43,0.0,0.0,0,0.0,0
5,0.083,1,green,2833,764,0.0,-10.2,0.0,3pt_arc,0,,,277.1,none,13895.5,3077.3,682.3,2,0,,0.0,899.0,280.0,1079.0,554.0,,,0.0,427.7,0.0,0,0,6,0,1.0,12.43,41.77,62.2,0.0,12.43,41.77,62.2,0.0,12.43,41.77,62.2,0.0,0,0,0,6,1.49,,,433.6,7.66,0.0,433.6,7.66,0.0,433.6,7.66,0.0,0.0,0,0.0,0
5,0.083,5,green,3105,711,0.0,0.0,0.0,paint,0,,,234.6,none,13895.5,3077.3,682.3,2,0,,0.0,908.0,279.0,1079.0,463.0,,,0.0,205.3,0.0,0,0,6,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6,1.49,,,205.3,0.0,0.0,205.3,0.0,0.0,205.3,0.0,0.0,0.0,0,0.0,0
5,0.083,8,green,3294,572,4.47,-112.53,153.4,paint,0,,,234.6,none,13895.5,3077.3,682.3,2,0,,0.0,1165.0,268.0,1295.0,554.0,,,0.0,286.8,2.58,0,0,6,0,1.0,38.27,117.0,153.1,0.0,38.27,117.0,153.1,0.0,38.27,117.0,153.1,0.0,0,0,0,6,1.49,,,229.2,-31.18,0.0,229.2,-31.18,0.0,229.2,-31.18,0.0,0.0,0,0.0,0
6,0.1,6,green,3066,647,0.0,-70.09,0.0,paint,0,,,240.0,none,0.0,3180.0,609.5,2,0,,0.0,1110.0,309.0,1218.0,519.0,,,0.0,278.6,0.0,0,0,7,0,1.0,23.36,70.09,70.1,0.0,23.36,70.09,70.1,0.0,23.36,70.09,70.1,0.0,0,0,0,7,0.0,,,258.7,-20.72,0.0,258.7,-20.72,0.0,258.7,-20.72,0.0,0.0,0,0.0,0
6,0.1,8,green,3294,572,0.0,-4.47,0.0,paint,0,,,240.0,none,0.0,3180.0,609.5,2,0,,0.0,1165.0,267.0,1295.0,554.0,,,0.0,286.8,0.0,0,0,7,0,1.0,30.62,117.0,153.1,0.0,30.62,117.0,153.1,0.0,30.62,117.0,153.1,0.0,0,0,0,7,0.0,,,240.7,-24.94,0.0,240.7,-24.94,0.0,240.7,-24.94,0.0,0.0,0,0.0,0
7,0.117,6,green,3072,646,6.08,6.08,350.5,paint,0,,,227.7,none,0.0,3180.0,610.0,2,0,,0.0,895.0,277.0,1093.0,555.0,,,0.0,275.4,3.13,0,0,8,0,1.0,19.04,70.09,76.2,0.0,19.04,70.09,76.2,0.0,19.04,70.09,76.2,0.0,0,0,0,8,6.2,,,262.9,-14.76,0.0,262.9,-14.76,0.0,262.9,-14.76,0.0,0.0,0,0.0,0
7,0.117,8,green,3288,574,6.32,6.32,161.6,paint,0,,,227.7,none,0.0,3180.0,610.0,2,0,,0.0,1138.0,266.0,1294.0,555.0,,,0.0,283.9,2.77,0,0,8,0,1.0,26.57,117.0,159.4,0.0,26.57,117.0,159.4,0.0,26.57,117.0,159.4,0.0,0,0,0,8,6.2,,,247.9,-20.32,0.0,247.9,-20.32,0.0,247.9,-20.32,0.0,0.0,0,0.0,0
8,0.133,1,green,2833,764,0.0,0.0,0.0,3pt_arc,0,,,493.1,none,0.0,3060.5,669.0,1,0,,0.0,886.0,280.0,1094.0,555.0,,,0.0,427.7,0.0,0,0,9,0,1.0,10.36,41.77,62.2,0.0,10.36,41.77,62.2,0.0,10.36,41.77,62.2,0.0,0,0,0,9,0.0,,,432.6,6.38,0.0,432.6,6.38,0.0,432.6,6.38,0.0,0.0,0,0.0,0
8,0.133,8,green,3288,574,0.0,-6.32,0.0,paint,0,,,493.1,none,0.0,3060.5,669.0,1,0,,0.0,1145.0,263.0,1295.0,556.0,,,0.0,283.9,0.0,0,0,9,0,1.0,22.77,117.0,159.4,0.0,22.77,117.0,159.4,0.0,22.77,117.0,159.4,0.0,0,0,0,9,0.0,,,253.0,-17.42,0.0,253.0,-17.42,0.0,253.0,-17.42,0.0,0.0,0,0.0,0
9,0.15,1,green,2833,764,0.0,0.0,0.0,3pt_arc,0,,,288.7,none,0.0,2974.5,735.5,1,0,,0.0,525.0,47.0,957.0,553.0,,,0.0,427.7,0.0,0,0,10,0,1.0,8.88,41.77,62.2,0.0,8.88,41.77,62.2,0.0,8.88,41.77,62.2,0.0,0,0,0,10,0.0,,,431.9,5.47,0.0,431.9,5.47,0.0,431.9,5.47,0.0,0.0,0,0.0,0
9,0.15,7,green,3116,707,0.0,0.0,0.0,paint,0,,,288.7,none,0.0,2974.5,735.5,1,0,,0.0,177.0,239.0,252.0,342.0,,,0.0,200.6,0.0,0,0,10,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,10,0.0,,,200.6,0.0,0.0,200.6,0.0,0.0,200.6,0.0,0.0,0.0,0,0.0,0
10,0.167,1,green,2833,764,0.0,0.0,0.0,3pt_arc,0,,,414.7,none,45238.5,3134.0,746.7,2,0,,0.0,518.0,46.0,1000.0,553.0,,,0.0,427.7,0.0,0,0,11,0,1.0,7.77,41.77,62.2,0.0,7.77,41.77,62.2,0.0,7.77,41.77,62.2,0.0,0,0,0,11,86.0,,,431.4,4.79,0.0,431.4,4.79,0.0,431.4,4.79,0.0,0.0,0,0.0,0
10,0.167,3,green,3229,641,0.0,0.0,0.0,paint,0,,,223.5,none,45238.5,3134.0,746.7,2,0,,0.0,285.0,273.0,606.0,551.0,,,0.0,215.6,0.0,0,0,11,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,11,86.0,,,215.6,0.0,0.0,215.6,0.0,0.0,215.6,0.0,0.0,0.0,0,0.0,0
10,0.167,7,green,3340,835,257.99,257.99,29.7,paint,0,,,223.5,none,45238.5,3134.0,746.7,2,0,,0.0,171.64870834350586,238.90792083740237,246.68295669555664,341.4147720336914,,,0.0,91.5,-189.63,0,0,11,0,0.933,86.0,257.99,258.0,0.0,86.0,257.99,258.0,0.0,86.0,257.99,258.0,0.0,0,0,0,11,86.0,,,164.2,-63.21,0.0,164.2,-63.21,0.0,164.2,-63.21,0.0,0.0,0,0.0,0
11,0.184,1,green,2833,764,0.0,0.0,0.0,3pt_arc,0,,,415.3,none,44867.5,3135.7,746.3,2,0,,0.0,512.0,43.0,1006.0,553.0,,,0.0,427.7,0.0,0,0,12,0,1.0,6.91,41.77,62.2,0.0,6.91,41.77,62.2,0.0,6.91,41.77,62.2,0.0,0,0,0,12,1.96,,,431.0,4.26,0.0,431.0,4.26,0.0,431.0,4.26,0.0,0.0,0,0.0,0
11,0.184,3,green,3230,642,1.41,1.41,45.0,paint,0,,,222.4,none,44867.5,3135.7,746.3,2,0,,0.0,279.0,277.0,610.0,550.0,,,0.0,214.5,1.09,0,0,12,0,1.0,0.7,1.41,1.4,0.0,0.7,1.41,1.4,0.0,0.7,1.41,1.4,0.0,0,0,0,12,1.96,,,215.0,0.55,0.0,215.0,0.55,0.0,215.0,0.55,0.0,0.0,0,0.0,0
11,0.184,7,green,3344,833,4.47,-253.52,333.4,paint,0,,,222.4,none,44867.5,3135.7,746.3,2,0,,0.0,165.54803085327148,238.81218719482425,240.5822792053223,341.3190383911133,,,0.0,95.9,-4.36,0,0,12,0,0.867,65.62,257.99,262.5,0.0,65.62,257.99,262.5,0.0,65.62,257.99,262.5,0.0,0,0,0,12,1.96,,,147.2,-48.5,0.0,147.2,-48.5,0.0,147.2,-48.5,0.0,0.0,0,0.0,0
12,0.2,1,green,2833,764,0.0,0.0,0.0,3pt_arc,0,,,178.9,none,64057.5,3095.2,718.0,3,0,,0.0,518.0,44.0,985.0,553.0,,,0.0,427.7,0.0,0,0,13,0,1.0,6.22,41.77,62.2,0.0,6.22,41.77,62.2,0.0,6.22,41.77,62.2,0.0,0,0,0,13,32.23,,,430.6,3.83,0.0,430.6,3.83,0.0,430.6,3.83,0.0,0.0,0,0.0,0
