possession_id,team,start_frame,end_frame,duration_frames,duration_sec,avg_spacing,avg_defensive_pressure,avg_vel_toward_basket,drive_attempts,shot_attempted,shot_frame,fast_break,result,outcome_score
276,green,290,301,12,0.2,940620.2,,15.66,4,0,,0,,
278,green,303,308,6,0.1,1230642.0,,,0,0,,0,,
292,green,322,322,1,0.02,278071.5,,,0,0,,0,,
305,green,335,338,4,0.07,233286.5,,,0,0,,0,,
331,green,364,379,16,0.27,1588018.9,,-1048.88,0,0,,0,,
333,green,381,382,2,0.03,1737470.8,,-3.18,0,0,,0,,
339,green,388,392,5,0.08,3132064.6,,-39.33,0,0,,0,,
346,green,399,399,1,0.02,2119578.5,,,0,0,,0,,
349,green,402,402,1,0.02,464785.5,,-1251.41,0,0,,0,,
360,green,415,462,48,0.8,1686210.5,,-104.53,3,0,,0,,
375,green,477,1219,743,12.4,2001469.5,,10.25,1,0,,0,,
382,green,1226,1227,2,0.03,,,24.57,1,0,,0,,
384,green,1229,1229,1,0.02,87852.0,,7.05,1,0,,0,,
388,green,1233,1233,1,0.02,163280.0,,85.97,1,0,,0,,
390,green,1235,1236,2,0.03,2260365.5,,3.33,1,0,,0,,
392,green,1238,1247,10,0.17,1129351.0,,1.89,2,0,,0,,
394,green,1249,1251,3,0.05,854286.7,,-42.96,0,0,,0,,
396,green,1253,1268,16,0.27,1014690.0,,,0,0,,0,,
