frame,timestamp,ball_x2d,ball_y2d,detected
118,1.969,,,0
119,1.985,,,0
120,2.002,,,0
121,2.019,,,0
122,2.035,,,0
123,2.052,,,0
124,2.069,,,0
125,2.085,,,0
126,2.102,,,0
127,2.119,,,0
128,2.135,,,0
129,2.152,,,0
130,2.169,,,0
131,2.186,,,0
132,2.202,,,0
133,2.219,,,0
134,2.236,,,0
135,2.252,,,0
136,2.269,,,0
137,2.286,,,0
138,2.302,,,0
139,2.319,,,0
140,2.336,,,0
141,2.352,,,0
142,2.369,,,0
143,2.386,,,0
144,2.402,,,0
145,2.419,,,0
146,2.436,,,0
147,2.452,,,0
148,2.469,,,0
149,2.486,,,0
150,2.502,,,0
151,2.519,,,0
152,2.536,,,0
153,2.553,,,0
154,2.569,,,0
155,2.586,,,0
160,2.669,,,0
161,2.686,,,0
162,2.703,,,0
163,2.719,,,0
164,2.736,,,0
165,2.753,,,0
166,2.769,,,0
167,2.786,,,0
168,2.803,,,0
169,2.819,,,0
170,2.836,,,0
171,2.853,,,0
172,2.87,,,0
173,2.886,,,0
174,2.903,,,0
175,2.92,,,0
176,2.936,,,0
177,2.953,,,0
178,2.97,,,0
179,2.986,,,0
180,3.003,,,0
181,3.02,,,0
182,3.036,,,0
183,3.053,,,0
184,3.07,,,0
185,3.086,,,0
186,3.103,,,0
187,3.12,,,0
188,3.136,,,0
189,3.153,,,0
222,3.704,,,0
223,3.72,,,0
224,3.737,,,0
225,3.754,,,0
226,3.77,,,0
227,3.787,,,0
228,3.804,,,0
229,3.82,,,0
230,3.837,,,0
231,3.854,,,0
232,3.871,,,0
233,3.887,,,0
234,3.904,,,0
235,3.921,,,0
236,3.937,,,0
237,3.954,,,0
238,3.971,,,0
239,3.987,,,0
240,4.004,,,0
241,4.021,,,0
242,4.037,,,0
243,4.054,,,0
244,4.071,,,0
245,4.087,,,0
246,4.104,,,0
247,4.121,,,0
248,4.137,,,0
249,4.154,,,0
250,4.171,,,0
251,4.188,-484,174,1
257,4.288,154,533,1
258,4.304,254,590,1
259,4.321,528,744,1
260,4.338,528,744,1
261,4.354,545,754,1
262,4.371,545,754,1
263,4.388,542,752,1
264,4.404,540,751,1
265,4.421,528,745,1
266,4.438,528,745,1
267,4.454,528,745,1
268,4.471,528,745,1
269,4.488,528,745,1
270,4.505,2891,2152,1
271,4.521,2714,2053,1
272,4.538,2548,1961,1
273,4.555,2378,1866,1
274,4.571,2213,1772,1
275,4.588,2045,1678,1
276,4.605,1950,1631,1
277,4.621,1829,1566,1
278,4.638,1684,1485,1
279,4.655,1566,1422,1
280,4.671,1566,1422,1
281,4.688,1566,1422,1
282,4.705,1566,1422,1
283,4.721,1566,1422,1
284,4.738,1566,1422,1
285,4.755,1566,1422,1
286,4.771,1566,1422,1
289,4.821,1566,1422,1
290,4.838,1566,1422,1
291,4.855,1566,1422,1
292,4.872,1566,1422,1
293,4.888,1566,1422,1
294,4.905,1566,1422,1
295,4.922,1566,1422,1
296,4.938,1566,1422,1
297,4.955,1566,1422,1
298,4.972,1566,1422,1
299,4.988,1566,1422,1
300,5.005,1566,1422,1
301,5.022,1566,1422,1
302,5.038,1566,1422,1
303,5.055,1566,1422,1
304,5.072,1566,1422,1
305,5.088,1566,1422,1
306,5.105,1566,1422,1
307,5.122,1566,1422,1
308,5.138,1566,1422,1
309,5.155,1566,1422,1
310,5.172,1566,1422,1
311,5.189,1566,1422,1
312,5.205,1566,1422,1
313,5.222,1566,1422,1
314,5.239,1566,1422,1
315,5.255,1566,1422,1
316,5.272,1566,1422,1
317,5.289,1566,1422,1
318,5.305,1566,1422,1
319,5.322,1566,1422,1
320,5.339,1566,1422,1
321,5.355,1566,1422,1
322,5.372,1566,1422,1
323,5.389,1566,1422,1
324,5.405,1566,1422,1
325,5.422,1566,1422,1
326,5.439,1566,1422,1
327,5.455,1566,1422,1
328,5.472,1566,1422,1
329,5.489,1566,1422,1
330,5.506,1566,1422,1
331,5.522,1566,1422,1
332,5.539,1566,1422,1
333,5.556,1566,1422,1
334,5.572,1566,1422,1
335,5.589,1566,1422,1
336,5.606,1566,1422,1
337,5.622,1566,1422,1
338,5.639,1566,1422,1
339,5.656,1566,1422,1
340,5.672,1566,1422,1
341,5.689,1566,1422,1
342,5.706,1566,1422,1
343,5.722,1566,1422,1
344,5.739,1566,1422,1
345,5.756,1566,1422,1
346,5.772,1566,1422,1
347,5.789,1566,1422,1
348,5.806,1566,1422,1
349,5.822,1566,1422,1
350,5.839,1566,1422,1
351,5.856,1566,1422,1
352,5.873,1566,1422,1
353,5.889,1566,1422,1
354,5.906,1566,1422,1
355,5.923,1566,1422,1
356,5.939,1566,1422,1
357,5.956,1566,1422,1
358,5.973,1566,1422,1
359,5.989,1566,1422,1
360,6.006,1566,1422,1
