frame,timestamp,player_id,team,x_position,y_position,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence
0,0.0,7,green,366,1431,0.0,0.0,0.0,3pt_arc,0,,,316.3,none,43934.0,293.0,1353.7,1,0,,0.0,291,137,363,258,,,0.0,613.6,0.0,0,0,1,0,1.0
0,0.0,9,green,59,1507,0.0,0.0,0.0,corner_3,0,,,316.3,none,43934.0,293.0,1353.7,1,0,,0.0,1165,470,1231,546,,,0.0,658.3,0.0,0,0,1,0,1.0
0,0.0,10,green,454,1123,0.0,0.0,0.0,paint,0,,,320.3,none,43934.0,293.0,1353.7,1,0,,0.0,617,584,698,674,,,0.0,402.6,0.0,0,0,1,0,1.0
1,0.017,7,green,366,1431,0.0,0.0,0.0,3pt_arc,0,,,312.4,none,43139.0,294.7,1354.7,1,0,,0.0,291,137,361,258,,,0.0,613.6,0.0,0,0,2,0,1.0
1,0.017,9,green,64,1511,6.4,6.4,38.7,corner_3,0,,,312.4,none,43139.0,294.7,1354.7,1,0,,0.0,1167,471,1233,548,,,0.0,661.5,-3.29,0,0,2,0,1.0
1,0.017,10,green,454,1122,1.0,1.0,270.0,paint,0,,,321.3,none,43139.0,294.7,1354.7,1,0,,0.0,618,584,698,674,,,0.0,401.9,0.66,0,0,2,0,1.0
2,0.033,7,green,366,1431,0.0,0.0,0.0,3pt_arc,0,,,309.8,none,42781.0,295.7,1354.7,1,0,,0.0,290,136,361,258,,,0.0,613.6,0.0,0,0,3,0,1.0
2,0.033,9,green,67,1512,3.16,-3.24,18.4,corner_3,0,,,309.8,none,42781.0,295.7,1354.7,1,0,,0.0,1167,472,1235,549,,,0.0,662.1,-0.6,0,0,3,0,1.0
2,0.033,10,green,454,1121,1.0,0.0,270.0,paint,0,,,322.2,none,42781.0,295.7,1354.7,1,0,,0.0,617,585,699,675,,,0.0,401.2,0.66,0,0,3,0,1.0
3,0.05,7,green,366,1431,0.0,0.0,0.0,3pt_arc,0,,,306.4,none,42256.0,296.7,1354.3,1,0,,0.0,289,136,360,257,,,0.0,613.6,0.0,0,0,4,0,1.0
3,0.05,9,green,70,1510,3.61,0.45,326.3,corner_3,0,,,306.4,none,42256.0,296.7,1354.3,1,0,,0.0,1167,472,1237,549,,,0.0,659.8,2.36,0,0,4,0,1.0
3,0.05,10,green,454,1122,1.0,0.0,90.0,paint,0,,,321.3,none,42256.0,296.7,1354.3,1,0,,0.0,617,585,699,674,,,0.0,401.9,-0.66,0,0,4,0,1.0
4,0.067,8,green,410,1184,0.0,0.0,0.0,paint,0,,,254.7,none,5706.5,391.0,1198.3,2,0,,0.0,259,605,343,673,,,0.0,417.0,0.0,0,0,5,0,1.0
4,0.067,9,green,291,1474,223.91,220.3,350.7,corner_3,0,,,313.5,none,5706.5,391.0,1198.3,2,0,,0.0,1171,473,1237,549,,,0.0,633.7,-12.93,0,0,5,0,1.0
4,0.067,10,green,472,937,185.87,184.87,275.6,paint,0,,,254.7,none,5706.5,391.0,1198.3,2,0,,0.0,618,586,699,674,,,0.0,329.1,28.38,0,0,5,0,1.0
5,0.083,8,green,410,1183,1.0,1.0,270.0,paint,0,,,253.7,none,5493.0,391.3,1198.0,2,0,,0.0,258,607,343,674,,,0.0,416.2,0.79,0,0,6,0,1.0
5,0.083,9,green,292,1474,1.0,-222.91,0.0,corner_3,0,,,314.0,none,5493.0,391.3,1198.0,2,0,,0.0,1173,473,1239,550,,,0.0,633.9,-0.22,0,0,6,0,1.0
5,0.083,10,green,472,937,0.0,-185.87,0.0,paint,0,,,253.7,none,5493.0,391.3,1198.0,2,0,,0.0,618,586,699,674,,,0.0,329.1,0.0,0,0,6,0,1.0
6,0.1,8,green,410,1184,1.0,0.0,90.0,paint,0,,,257.6,none,5604.0,391.7,1197.7,2,0,,0.0,257,609,342,674,,,0.0,417.0,-0.79,0,0,7,0,1.0
6,0.1,9,green,293,1475,1.41,0.41,45.0,corner_3,0,,,313.6,none,5604.0,391.7,1197.7,2,0,,0.0,1175,474,1241,552,,,0.0,635.1,-1.2,0,0,7,0,1.0
6,0.1,10,green,472,934,3.0,3.0,270.0,paint,0,,,257.6,none,5604.0,391.7,1197.7,2,0,,0.0,617,587,699,675,,,0.0,328.3,0.72,0,0,7,0,1.0
7,0.117,8,green,410,1183,1.0,0.0,270.0,paint,0,,,256.6,none,5576.5,391.7,1196.7,2,0,,0.0,258,609,341,675,,,0.0,416.2,0.79,0,0,8,0,1.0
7,0.117,9,green,293,1473,2.0,0.59,270.0,corner_3,0,,,312.7,none,5576.5,391.7,1196.7,2,0,,0.0,1175,474,1243,551,,,0.0,633.1,1.95,0,0,8,0,1.0
7,0.117,10,green,472,934,0.0,-3.0,0.0,paint,0,,,256.6,none,5576.5,391.7,1196.7,2,0,,0.0,617,589,699,675,,,0.0,328.3,0.0,0,0,8,0,1.0
8,0.133,8,green,410,1184,1.0,0.0,90.0,paint,0,,,259.8,none,5544.0,392.3,1196.0,2,0,,0.0,258,610,339,674,,,0.0,417.0,-0.79,0,0,9,0,1.0
8,0.133,9,green,294,1472,1.41,-0.59,315.0,corner_3,0,,,310.5,none,5544.0,392.3,1196.0,2,0,,0.0,1175,474,1245,551,,,0.0,632.4,0.75,0,0,9,0,1.0
8,0.133,10,green,473,932,2.24,2.24,296.6,paint,0,,,259.8,none,5544.0,392.3,1196.0,2,0,,0.0,618,589,700,675,,,0.0,328.8,-0.51,0,0,9,0,1.0
9,0.15,8,green,410,1228,44.0,43.0,90.0,paint,0,,,213.1,none,1294.0,406.3,1211.7,2,0,,0.0,257,610,337,674,,,0.0,452.5,-36.22,0,0,10,0,1.0
9,0.15,9,green,405,1441,115.25,113.84,344.4,3pt_arc,0,,,213.1,none,1294.0,406.3,1211.7,2,0,,0.0,1178,475,1246,551,,,0.0,637.4,-15.38,0,0,10,0,1.0
9,0.15,10,green,404,966,76.92,74.68,153.8,paint,0,,,262.1,none,1294.0,406.3,1211.7,2,0,,0.0,618,590,699,674,,,0.0,274.1,49.44,0,0,10,0,1.0
10,0.167,8,green,410,1228,0.0,-44.0,0.0,paint,0,,,213.0,none,1169.0,406.7,1210.7,2,0,,0.0,257,611,337,675,,,0.0,452.5,0.0,0,0,11,0,1.0
10,0.167,9,green,406,1441,1.0,-114.25,0.0,3pt_arc,0,,,213.0,none,1169.0,406.7,1210.7,2,0,,0.0,1180,476,1248,553,,,0.0,637.8,-0.4,0,0,11,0,1.0
10,0.167,10,green,404,963,3.0,-73.92,270.0,paint,0,,,265.1,none,1169.0,406.7,1210.7,2,0,,0.0,618,591,699,675,,,0.0,272.9,1.18,0,0,11,0,1.0
