frame,timestamp,player_id,team,x_position,y_position,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence
4,0.067,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,633.5,none,0.0,3042.0,352.5,1,0,,0.0,160,184,365,461,,,0.0,860.5,0.0,0,0,5,0,1.0
4,0.067,6,green,3136,655,0.0,0.0,0.0,paint,0,,,633.5,none,0.0,3042.0,352.5,1,0,,0.0,735,183,1205,463,,,0.0,231.0,0.0,0,0,5,0,1.0
5,0.083,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,633.5,none,0.0,3042.0,352.5,1,0,,0.0,160,184,365,461,,,0.0,860.5,0.0,0,0,6,0,1.0
5,0.083,6,green,3136,655,0.0,0.0,0.0,paint,0,,,633.5,none,0.0,3042.0,352.5,1,0,,0.0,735,183,1205,463,,,0.0,231.0,0.0,0,0,6,0,1.0
6,0.1,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,633.5,none,0.0,3042.0,352.5,1,0,,0.0,160,184,365,461,,,0.0,860.5,0.0,0,0,7,0,1.0
6,0.1,6,green,3136,655,0.0,0.0,0.0,paint,0,,,633.5,none,0.0,3042.0,352.5,1,0,,0.0,735,183,1205,463,,,0.0,231.0,0.0,0,0,7,0,1.0
7,0.117,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,633.5,none,0.0,3042.0,352.5,1,0,,0.0,160,184,365,461,,,0.0,860.5,0.0,0,0,8,0,1.0
7,0.117,6,green,3136,655,0.0,0.0,0.0,paint,0,,,633.5,none,0.0,3042.0,352.5,1,0,,0.0,735,183,1205,463,,,0.0,231.0,0.0,0,0,8,0,1.0
8,0.133,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,633.5,none,0.0,3042.0,352.5,1,0,,0.0,160,184,365,461,,,0.0,860.5,0.0,0,0,9,0,1.0
8,0.133,6,green,3136,655,0.0,0.0,0.0,paint,0,,,633.5,none,0.0,3042.0,352.5,1,0,,0.0,735,183,1205,463,,,0.0,231.0,0.0,0,0,9,0,1.0
9,0.15,1,green,2774,1167,0.0,0.0,0.0,3pt_arc,0,,,249.1,none,215073.0,2969.8,751.8,2,0,,0.0,369,184,576,458,,,0.0,569.6,0.0,0,0,10,0,1.0
9,0.15,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,633.5,none,215073.0,2969.8,751.8,2,0,,0.0,160,184,365,461,,,0.0,860.5,0.0,0,0,10,0,1.0
9,0.15,5,green,3021,1135,0.0,0.0,0.0,paint,0,,,249.1,none,215073.0,2969.8,751.8,2,0,,0.0,997,183,1203,460,,,0.0,361.9,0.0,0,0,10,0,1.0
9,0.15,6,green,3136,655,0.0,0.0,0.0,paint,0,,,493.6,none,215073.0,2969.8,751.8,2,0,,0.0,735,183,1205,463,,,0.0,231.0,0.0,0,0,10,0,1.0
10,0.167,1,green,2774,1167,0.0,0.0,0.0,3pt_arc,0,,,249.1,none,215073.0,2969.8,751.8,2,0,,0.0,369,184,576,458,,,0.0,569.6,0.0,0,0,11,0,1.0
10,0.167,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,633.5,none,215073.0,2969.8,751.8,2,0,,0.0,160,184,365,461,,,0.0,860.5,0.0,0,0,11,0,1.0
10,0.167,5,green,3021,1135,0.0,0.0,0.0,paint,0,,,249.1,none,215073.0,2969.8,751.8,2,0,,0.0,997,183,1203,460,,,0.0,361.9,0.0,0,0,11,0,1.0
10,0.167,6,green,3136,655,0.0,0.0,0.0,paint,0,,,493.6,none,215073.0,2969.8,751.8,2,0,,0.0,729,183,1205,463,,,0.0,231.0,0.0,0,0,11,0,1.0
11,0.184,1,green,2774,1167,0.0,0.0,0.0,3pt_arc,0,,,249.1,none,215073.0,2969.8,751.8,2,0,,0.0,369,184,576,458,,,0.0,569.6,0.0,0,0,12,0,1.0
11,0.184,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,633.5,none,215073.0,2969.8,751.8,2,0,,0.0,160,184,365,461,,,0.0,860.5,0.0,0,0,12,0,1.0
11,0.184,5,green,3021,1135,0.0,0.0,0.0,paint,0,,,249.1,none,215073.0,2969.8,751.8,2,0,,0.0,997,183,1203,460,,,0.0,361.9,0.0,0,0,12,0,1.0
11,0.184,6,green,3136,655,0.0,0.0,0.0,paint,0,,,493.6,none,215073.0,2969.8,751.8,2,0,,0.0,729,183,1205,463,,,0.0,231.0,0.0,0,0,12,0,1.0
12,0.2,1,green,2774,1167,0.0,0.0,0.0,3pt_arc,0,,,249.1,none,215073.0,2969.8,751.8,2,0,,0.0,369,184,576,458,,,0.0,569.6,0.0,0,0,13,0,1.0
12,0.2,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,633.5,none,215073.0,2969.8,751.8,2,0,,0.0,160,184,365,461,,,0.0,860.5,0.0,0,0,13,0,1.0
12,0.2,5,green,3021,1135,0.0,0.0,0.0,paint,0,,,249.1,none,215073.0,2969.8,751.8,2,0,,0.0,997,183,1203,460,,,0.0,361.9,0.0,0,0,13,0,1.0
12,0.2,6,green,3136,655,0.0,0.0,0.0,paint,0,,,493.6,none,215073.0,2969.8,751.8,2,0,,0.0,734,183,1205,463,,,0.0,231.0,0.0,0,0,13,0,1.0
13,0.217,1,green,2774,1167,0.0,0.0,0.0,3pt_arc,0,,,249.1,none,215073.0,2969.8,751.8,2,0,,0.0,369,184,576,458,,,0.0,569.6,0.0,0,0,14,0,1.0
13,0.217,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,633.5,none,215073.0,2969.8,751.8,2,0,,0.0,160,184,365,461,,,0.0,860.5,0.0,0,0,14,0,1.0
13,0.217,5,green,3021,1135,0.0,0.0,0.0,paint,0,,,249.1,none,215073.0,2969.8,751.8,2,0,,0.0,997,183,1203,460,,,0.0,361.9,0.0,0,0,14,0,1.0
13,0.217,6,green,3136,655,0.0,0.0,0.0,paint,0,,,493.6,none,215073.0,2969.8,751.8,2,0,,0.0,734,183,1205,463,,,0.0,231.0,0.0,0,0,14,0,1.0
14,0.234,1,green,2774,1167,0.0,0.0,0.0,3pt_arc,0,,,261.1,none,238747.0,2955.8,804.2,1,0,,0.0,369,184,576,458,,,0.0,569.6,0.0,0,0,15,0,1.0
14,0.234,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,633.5,none,238747.0,2955.8,804.2,1,0,,0.0,160,184,365,461,,,0.0,860.5,0.0,0,0,15,0,1.0
14,0.234,5,green,2965,1345,217.34,217.34,104.9,3pt_arc,0,,,261.1,none,238747.0,2955.8,804.2,1,0,,0.0,997,183,1203,460,,,0.0,566.8,-209.59,0,0,15,0,1.0
14,0.234,6,green,3136,655,0.0,0.0,0.0,paint,0,,,627.0,none,238747.0,2955.8,804.2,1,0,,0.0,733,183,1205,463,,,0.0,231.0,0.0,0,0,15,0,1.0
15,0.25,1,green,2774,1167,0.0,0.0,0.0,3pt_arc,0,,,261.1,none,238747.0,2955.8,804.2,1,0,,0.0,369,184,576,458,,,0.0,569.6,0.0,0,0,16,0,1.0
15,0.25,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,633.5,none,238747.0,2955.8,804.2,1,0,,0.0,160,184,365,461,,,0.0,860.5,0.0,0,0,16,0,1.0
15,0.25,5,green,2965,1345,0.0,-217.34,0.0,3pt_arc,0,,,261.1,none,238747.0,2955.8,804.2,1,0,,0.0,997,183,1203,460,,,0.0,566.8,0.0,0,0,16,0,1.0
15,0.25,6,green,3136,655,0.0,0.0,0.0,paint,0,,,627.0,none,238747.0,2955.8,804.2,1,0,,0.0,733,183,1205,463,,,0.0,231.0,0.0,0,0,16,0,1.0
16,0.267,1,green,2774,1167,0.0,0.0,0.0,3pt_arc,0,,,261.1,none,238747.0,2955.8,804.2,1,0,,0.0,369,184,576,458,,,0.0,569.6,0.0,0,0,17,0,1.0
16,0.267,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,633.5,none,238747.0,2955.8,804.2,1,0,,0.0,160,184,365,461,,,0.0,860.5,0.0,0,0,17,0,1.0
16,0.267,5,green,2965,1345,0.0,0.0,0.0,3pt_arc,0,,,261.1,none,238747.0,2955.8,804.2,1,0,,0.0,997,183,1203,460,,,0.0,566.8,0.0,0,0,17,0,1.0
16,0.267,6,green,3136,655,0.0,0.0,0.0,paint,0,,,627.0,none,238747.0,2955.8,804.2,1,0,,0.0,733,183,1205,463,,,0.0,231.0,0.0,0,0,17,0,1.0
17,0.284,1,green,2774,1167,0.0,0.0,0.0,3pt_arc,0,,,261.1,none,238747.0,2955.8,804.2,1,0,,0.0,369,184,576,458,,,0.0,569.6,0.0,0,0,18,0,1.0
17,0.284,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,633.5,none,238747.0,2955.8,804.2,1,0,,0.0,160,184,365,461,,,0.0,860.5,0.0,0,0,18,0,1.0
17,0.284,5,green,2965,1345,0.0,0.0,0.0,3pt_arc,0,,,261.1,none,238747.0,2955.8,804.2,1,0,,0.0,997,183,1203,460,,,0.0,566.8,0.0,0,0,18,0,1.0
17,0.284,6,green,3136,655,0.0,0.0,0.0,paint,0,,,627.0,none,238747.0,2955.8,804.2,1,0,,0.0,733,183,1205,463,,,0.0,231.0,0.0,0,0,18,0,1.0
18,0.3,1,green,2774,1167,0.0,0.0,0.0,3pt_arc,0,,,261.1,none,238747.0,2955.8,804.2,1,0,,0.0,369,184,576,458,,,0.0,569.6,0.0,0,0,19,0,1.0
18,0.3,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,633.5,none,238747.0,2955.8,804.2,1,0,,0.0,160,184,365,461,,,0.0,860.5,0.0,0,0,19,0,1.0
18,0.3,5,green,2965,1345,0.0,0.0,0.0,3pt_arc,0,,,261.1,none,238747.0,2955.8,804.2,1,0,,0.0,997,183,1203,460,,,0.0,566.8,0.0,0,0,19,0,1.0
18,0.3,6,green,3136,655,0.0,0.0,0.0,paint,0,,,627.0,none,238747.0,2955.8,804.2,1,0,,0.0,733,183,1205,463,,,0.0,231.0,0.0,0,0,19,0,1.0
19,0.317,1,green,2774,1167,0.0,0.0,0.0,3pt_arc,0,,,574.5,none,266860.5,3026.2,628.0,2,0,,0.0,369,184,576,458,,,0.0,569.6,0.0,0,0,20,0,1.0
19,0.317,2,green,3048,662,0.0,0.0,0.0,paint,0,,,288.5,none,266860.5,3026.2,628.0,2,0,,0.0,580,180,782,458,,,0.0,280.3,0.0,0,0,20,0,1.0
19,0.317,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,620.1,none,266860.5,3026.2,628.0,2,0,,0.0,160,184,365,461,,,0.0,860.5,0.0,0,0,20,0,1.0
19,0.317,4,green,3335,633,0.0,0.0,0.0,paint,0,,,288.5,none,266860.5,3026.2,628.0,2,0,,0.0,789,184,995,460,,,0.0,237.9,0.0,0,0,20,0,1.0
20,0.334,1,green,2774,1167,0.0,0.0,0.0,3pt_arc,0,,,574.5,none,266860.5,3026.2,628.0,2,0,,0.0,369,184,576,458,,,0.0,569.6,0.0,0,0,21,0,1.0
20,0.334,2,green,3048,662,0.0,0.0,0.0,paint,0,,,288.5,none,266860.5,3026.2,628.0,2,0,,0.0,580,180,782,458,,,0.0,280.3,0.0,0,0,21,0,1.0
20,0.334,3,green,2948,50,0.0,0.0,0.0,corner_3,0,,,620.1,none,266860.5,3026.2,628.0,2,0,,0.0,160,184,365,461,,,0.0,860.5,0.0,0,0,21,0,1.0
