captured_at,book,game_id,player_id,player_name,team,stat,line,over_price,under_price,market_status
2026-05-26T14:10:00,bov,25818313,,Alyssa Thomas,PHX,pts,12.0,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Alyssa Thomas,PHX,reb,7.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Alyssa Thomas,PHX,ast,8.0,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Alyssa Thomas,PHX,stl,1.0,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Alyssa Thomas,PHX,tov,3.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Kahleah Copper,PHX,pts,12.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Kahleah Copper,PHX,reb,2.0,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Kahleah Copper,PHX,ast,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Kahleah Copper,PHX,fg3m,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Kahleah Copper,PHX,stl,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Kahleah Copper,PHX,tov,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Satou Sabally,PHX,pts,14.0,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Satou Sabally,PHX,reb,4.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Satou Sabally,PHX,ast,2.0,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Satou Sabally,PHX,fg3m,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Satou Sabally,PHX,stl,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Satou Sabally,PHX,tov,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Sami Whitcomb,PHX,pts,8.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Sami Whitcomb,PHX,reb,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Sami Whitcomb,PHX,ast,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Sami Whitcomb,PHX,fg3m,2.0,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Sami Whitcomb,PHX,stl,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Sami Whitcomb,PHX,tov,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,DeWanna Bonner,PHX,pts,8.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,DeWanna Bonner,PHX,reb,4.0,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,DeWanna Bonner,PHX,ast,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,DeWanna Bonner,PHX,fg3m,1.0,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,DeWanna Bonner,PHX,stl,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,DeWanna Bonner,PHX,blk,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,DeWanna Bonner,PHX,tov,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Sabrina Ionescu,NYL,pts,11.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Sabrina Ionescu,NYL,reb,4.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Sabrina Ionescu,NYL,ast,8.0,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Sabrina Ionescu,NYL,fg3m,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Sabrina Ionescu,NYL,tov,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Breanna Stewart,NYL,pts,18.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Breanna Stewart,NYL,reb,6.0,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Breanna Stewart,NYL,ast,2.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Breanna Stewart,NYL,fg3m,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Breanna Stewart,NYL,stl,1.0,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Breanna Stewart,NYL,blk,1.0,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Breanna Stewart,NYL,tov,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Jonquel Jones,NYL,pts,6.0,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Jonquel Jones,NYL,reb,4.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Jonquel Jones,NYL,ast,2.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Jonquel Jones,NYL,stl,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Jonquel Jones,NYL,blk,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Jonquel Jones,NYL,tov,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Leonie Fiebich,NYL,pts,6.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Leonie Fiebich,NYL,reb,2.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Leonie Fiebich,NYL,ast,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Leonie Fiebich,NYL,fg3m,1.0,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Leonie Fiebich,NYL,stl,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Leonie Fiebich,NYL,tov,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Kennedy Burke,NYL,pts,4.0,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Kennedy Burke,NYL,reb,2.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Kennedy Burke,NYL,ast,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818313,,Kennedy Burke,NYL,tov,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Kia Nurse,TOR,pts,8.0,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Kia Nurse,TOR,reb,2.0,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Kia Nurse,TOR,fg3m,1.0,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Kia Nurse,TOR,tov,1.0,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Sika Kone,TOR,pts,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Angel Reese,CHI,pts,14.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Angel Reese,CHI,reb,13.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Angel Reese,CHI,ast,3.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Angel Reese,CHI,stl,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Angel Reese,CHI,blk,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Angel Reese,CHI,tov,3.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Kamilla Cardoso,CHI,pts,15.0,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Kamilla Cardoso,CHI,reb,9.0,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Kamilla Cardoso,CHI,ast,2.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Kamilla Cardoso,CHI,blk,2.0,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Kamilla Cardoso,CHI,tov,2.0,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Ariel Atkins,CHI,pts,12.0,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Ariel Atkins,CHI,reb,3.0,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Ariel Atkins,CHI,ast,3.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Ariel Atkins,CHI,fg3m,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Ariel Atkins,CHI,stl,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Ariel Atkins,CHI,blk,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Ariel Atkins,CHI,tov,2.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Courtney Vandersloot,CHI,pts,10.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Courtney Vandersloot,CHI,reb,2.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Courtney Vandersloot,CHI,ast,5.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Courtney Vandersloot,CHI,fg3m,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Courtney Vandersloot,CHI,stl,1.0,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Courtney Vandersloot,CHI,tov,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Rebecca Allen,CHI,pts,4.0,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Rebecca Allen,CHI,reb,2.0,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Rebecca Allen,CHI,ast,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Rebecca Allen,CHI,fg3m,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Rebecca Allen,CHI,stl,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Rebecca Allen,CHI,blk,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817925,,Rebecca Allen,CHI,tov,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Rhyne Howard,ATL,pts,22.0,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Rhyne Howard,ATL,reb,4.0,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Rhyne Howard,ATL,ast,4.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Rhyne Howard,ATL,fg3m,3.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Rhyne Howard,ATL,stl,1.0,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Rhyne Howard,ATL,tov,1.0,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Allisha Gray,ATL,pts,15.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Allisha Gray,ATL,reb,4.0,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Allisha Gray,ATL,ast,2.0,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Allisha Gray,ATL,fg3m,1.0,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Allisha Gray,ATL,tov,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Brionna Jones,ATL,pts,11.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Brionna Jones,ATL,reb,7.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Brionna Jones,ATL,ast,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Brionna Jones,ATL,stl,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Brionna Jones,ATL,blk,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Brionna Jones,ATL,tov,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Jordin Canada,ATL,pts,7.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Jordin Canada,ATL,reb,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Jordin Canada,ATL,ast,5.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Jordin Canada,ATL,stl,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Jordin Canada,ATL,blk,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Jordin Canada,ATL,tov,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Naz Hillmon,ATL,pts,11.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Naz Hillmon,ATL,reb,5.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Naz Hillmon,ATL,ast,2.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Naz Hillmon,ATL,fg3m,2.0,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Naz Hillmon,ATL,stl,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Naz Hillmon,ATL,blk,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Naz Hillmon,ATL,tov,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Napheesa Collier,MIN,pts,18.0,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Napheesa Collier,MIN,reb,5.0,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Napheesa Collier,MIN,ast,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Napheesa Collier,MIN,fg3m,2.0,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Napheesa Collier,MIN,stl,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Napheesa Collier,MIN,blk,1.0,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Napheesa Collier,MIN,tov,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Kayla McBride,MIN,pts,7.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Kayla McBride,MIN,reb,1.0,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Kayla McBride,MIN,ast,3.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Kayla McBride,MIN,fg3m,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Kayla McBride,MIN,stl,1.0,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Kayla McBride,MIN,tov,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Bridget Carleton,MIN,pts,6.0,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Bridget Carleton,MIN,reb,2.0,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Bridget Carleton,MIN,ast,1.0,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Bridget Carleton,MIN,fg3m,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Bridget Carleton,MIN,stl,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Bridget Carleton,MIN,tov,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Courtney Williams,MIN,pts,11.0,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Courtney Williams,MIN,reb,4.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Courtney Williams,MIN,ast,5.0,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Courtney Williams,MIN,stl,1.0,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Courtney Williams,MIN,tov,2.0,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Alanna Smith,MIN,pts,8.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Alanna Smith,MIN,reb,2.0,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Alanna Smith,MIN,ast,2.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Alanna Smith,MIN,fg3m,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Alanna Smith,MIN,stl,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Alanna Smith,MIN,blk,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25818314,,Alanna Smith,MIN,tov,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Brittney Sykes,WAS,pts,9.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Brittney Sykes,WAS,reb,2.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Brittney Sykes,WAS,ast,2.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Brittney Sykes,WAS,stl,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Brittney Sykes,WAS,tov,1.0,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Stefanie Dolson,WAS,pts,2.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Stefanie Dolson,WAS,reb,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Stefanie Dolson,WAS,ast,1.0,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Stefanie Dolson,WAS,fg3m,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Stefanie Dolson,WAS,blk,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Sug Sutton,WAS,pts,7.0,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Sug Sutton,WAS,reb,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Sug Sutton,WAS,ast,3.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Sug Sutton,WAS,fg3m,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Sug Sutton,WAS,tov,1.0,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Aaliyah Edwards,WAS,pts,3.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Aaliyah Edwards,WAS,reb,5.0,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Aaliyah Edwards,WAS,ast,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Aaliyah Edwards,WAS,stl,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Aaliyah Edwards,WAS,blk,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Aaliyah Edwards,WAS,tov,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Shakira Austin,WAS,pts,10.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Shakira Austin,WAS,reb,5.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Shakira Austin,WAS,ast,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Shakira Austin,WAS,blk,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Shakira Austin,WAS,tov,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Skylar Diggins,SEA,pts,15.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Skylar Diggins,SEA,reb,2.0,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Skylar Diggins,SEA,ast,5.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Skylar Diggins,SEA,fg3m,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Skylar Diggins,SEA,stl,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Skylar Diggins,SEA,blk,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Skylar Diggins,SEA,tov,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Nneka Ogwumike,SEA,pts,17.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Nneka Ogwumike,SEA,reb,6.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Nneka Ogwumike,SEA,ast,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Nneka Ogwumike,SEA,fg3m,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Nneka Ogwumike,SEA,stl,1.0,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Nneka Ogwumike,SEA,tov,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Ezi Magbegor,SEA,pts,7.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Ezi Magbegor,SEA,reb,6.0,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Ezi Magbegor,SEA,ast,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Ezi Magbegor,SEA,fg3m,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Ezi Magbegor,SEA,stl,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Ezi Magbegor,SEA,blk,2.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Ezi Magbegor,SEA,tov,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Gabby Williams,SEA,pts,8.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Gabby Williams,SEA,reb,3.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Gabby Williams,SEA,ast,3.0,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Gabby Williams,SEA,fg3m,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Gabby Williams,SEA,stl,1.0,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Gabby Williams,SEA,tov,1.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Erica Wheeler,SEA,pts,11.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Erica Wheeler,SEA,reb,2.0,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Erica Wheeler,SEA,ast,2.0,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Erica Wheeler,SEA,fg3m,2.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Erica Wheeler,SEA,stl,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25817710,,Erica Wheeler,SEA,tov,0.5,-110,-110,o
2026-05-26T14:10:00,bov,25865305,,A'ja Wilson,LVA,pts,25.5,-110,-110,o
2026-05-26T14:10:00,bov,25865305,,A'ja Wilson,LVA,reb,10.0,-110,-110,o
2026-05-26T14:10:00,bov,25865305,,A'ja Wilson,LVA,ast,2.0,-110,-110,o
