frame,timestamp,player_id,team,x_position,y_position,court_zone,handler_isolation,team_spacing,possession_run,shot_quality
102,3.403,2,green,826,1318,3pt_arc,0.0,0.9,3,0.3366
255,8.508,8,white,849,1570,corner_3,0.0,0.0,12,0.4063
1015,16.934,4,green,123,0,corner_3,9.0,0.0,2,0.4261
1092,36.436,9,white,1443,1107,backcourt,0.0,0.0,1,0.1655
1329,22.15,2,green,656,208,mid_range,0.0,253.4,1,0.2636
1455,48.549,10,white,962,1137,mid_range,0.0,0.0,1,0.2705
1600,26.693,6,white,51,301,paint,0.0,0.0,5,0.4181
1801,30.047,2,green,6,477,corner_3,0.0,0.0,5,0.4201
1929,64.364,6,white,1791,878,backcourt,0.0,0.0,2,0.1636
2145,35.75,1,green,751,333,3pt_arc,0.0,0.0,35,0.2629
2268,75.676,8,white,930,1209,3pt_arc,0.0,0.0,10,0.3145
2445,40.75,4,green,222,411,3pt_arc,0.0,0.0,4,0.3346
2745,45.75,7,white,310,185,mid_range,0.0,0.0,1,0.2705
2919,97.397,6,white,1548,1120,backcourt,0.0,0.0,8,0.1517
2980,49.716,3,green,442,395,backcourt,0.0,0.0,1,0.1635
2980,49.716,5,green,89,338,paint,0.0,0.0,1,0.4455
3171,105.806,10,white,667,1349,3pt_arc,0.0,0.0,5,0.3212
3178,53.02,3,green,45,378,3pt_arc,0.0,0.0,1,0.3405
3486,116.316,2,green,696,1498,corner_3,0.0,0.0,1,0.428
4284,71.4,6,white,1141,496,paint,0.0,0.0,1,0.4403
4716,157.357,2,green,696,1498,corner_3,0.0,0.0,4,0.42
5418,90.3,4,green,705,240,3pt_arc,0.0,0.0,3,0.3366
5553,92.55,9,white,473,435,mid_range,0.0,0.0,1,0.2705
6492,108.2,2,green,331,359,mid_range,0.0,0.0,23,0.2271
7374,122.9,3,green,671,373,backcourt,0.0,0.0,11,0.1452
7815,130.25,5,green,4,206,3pt_arc,0.0,0.0,8,0.3088
9000,150.0,6,white,695,50,corner_3,0.0,0.0,1,0.428
9642,160.7,1,green,716,351,3pt_arc,0.0,0.0,1,0.3405
10818,180.3,10,white,601,309,mid_range,0.0,0.0,9,0.2547
