game_id,possession_id,team,start_frame,end_frame,duration_frames,duration_sec,avg_spacing,avg_defensive_pressure,avg_vel_toward_basket,drive_attempts,shot_attempted,shot_frame,fast_break,play_type,result,outcome_score,pass_count,screen_count,drive_count,cut_count,lineup_id,max_paint_touches,avg_off_ball_distance,min_shot_clock_est,dominant_zone,transition_time_sec,offensive_rebound_poss,pbp_play_type,pbp_score_home,pbp_score_away,pbp_period,pbp_matched,score_diff,source
22400909.0,2.0,DEN,138,1070,933.0,31.13,30.0,785.4,-12.63,2.0,1.0,345.0,0.0,spot_up,missed_shot,0,4.0,2.0,0.0,24.0,29.0,1.0,168.3,0.0,mid_range,,0.0,missed_2,,,1,True,,
,,PHX,329,689,,12.0,,,,,,,,,turnover,0,,,,,,,,,,,,turnover,,,1,True,,pbp_fill
,,DEN,929,1619,690.0,23.0,,,,,,,,,missed_shot,0,,,,,,,,,,,,missed_2,,,1,True,,pbp_fill
,,PHX,1378,1738,,12.0,,,,,,,,,scored,2,,,,,,,,,,,,made_2,2.0,2.0,1,True,2.0,pbp_fill
,,DEN,1798,2157,,12.0,,,,,,,,,scored,3,,,,,,,,,,,,made_3,5.0,2.0,1,True,0.0,pbp_fill
,,PHX,2367,2727,,12.0,,,,,,,,,scored,2,,,,,,,,,,,,made_2,5.0,4.0,1,True,3.0,pbp_fill
,,DEN,3056,3416,,12.0,,,,,,,,,scored,2,,,,,,,,,,,,made_2,7.0,4.0,1,True,1.0,pbp_fill
,,PHX,3596,4195,599.0,19.966666666666665,,,,,,,,,missed_shot,0,,,,,,,,,,,,missed_3,,,1,True,3.0,pbp_fill
,,DEN,4495,4855,,12.0,,,,,,,,,missed_shot,0,,,,,,,,,,,,missed_3,,,1,True,1.0,pbp_fill
,,PHX,4885,5244,,12.0,,,,,,,,,scored,2,,,,,,,,,,,,made_2,7.0,8.0,1,True,1.0,pbp_fill
,,DEN,5274,5634,,12.0,,,,,,,,,scored,3,,,,,,,,,,,,made_3,10.0,8.0,1,True,-1.0,pbp_fill
