frame,timestamp,player_id,team,x_position,y_position,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,velocity_mean_30,velocity_max_30,dist_traveled_30,possession_pct_30,velocity_mean_90,velocity_max_90,dist_traveled_90,possession_pct_90,velocity_mean_150,velocity_max_150,dist_traveled_150,possession_pct_150,shots_90,passes_90,dribbles_90,possession_run,team_velocity_mean,opp_velocity_mean,spacing_advantage,dist_to_basket_mean_30,vel_toward_basket_mean_30,drive_rate_30,dist_to_basket_mean_90,vel_toward_basket_mean_90,drive_rate_90,dist_to_basket_mean_150,vel_toward_basket_mean_150,drive_rate_150,shot_quality_proxy,turnover_flag,pace_30,pick_roll_proxy,possessions_est,shots_per100,passes_per100,dribbles_per100,dist_per100_30,dist_per100_90,dist_per100_150,contest_arm_mean_30,jump_shot_flag,shot_quality_pose
810,13.514,1,green,1383,1573,0.0,0.0,0.0,mid_range,0,,,,none,0.0,1383.0,1573.0,0,0,,,400.0,181.0,868.0,668.0,,,0.0,1423.8,0.0,0,0,1,0,1.0,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.0,half_court,,,0.1407249508234646,0,unknown,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,1423.8,0.0,0.0,1423.8,0.0,0.0,1423.8,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0,0.0
810,13.514,1,green,1383,1573,0.0,0.0,0.0,mid_range,0,,,,none,0.0,1383.0,1573.0,0,0,,,400.0,181.0,868.0,668.0,,,0.0,1423.8,0.0,0,0,1,0,1.0,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.0,half_court,,,0.1407249508234646,0,unknown,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,1423.8,0.0,0.0,1423.8,0.0,0.0,1423.8,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0,0.0
810,13.514,1,green,1383,1573,0.0,0.0,0.0,mid_range,0,,,,none,0.0,1383.0,1573.0,0,0,,,400.0,181.0,868.0,668.0,,,0.0,1423.8,0.0,0,0,1,0,1.0,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.0,half_court,,,0.1407249508234646,0,unknown,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,1423.8,0.0,0.0,1423.8,0.0,0.0,1423.8,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0,0.0
813,13.564,1,green,1270,1554,38.2,38.2,189.5,mid_range,0,,,,none,0.0,1270.0,1554.0,0,0,,,435.0,174.0,900.0,669.0,,,0.0,1317.3,35.29,0,0,2,0,1.0,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.05,half_court,,,0.1407249508234646,0,unknown,,,0.0,9.55,38.2,38.2,0.0,9.55,38.2,38.2,0.0,9.55,38.2,38.2,0.0,0,0,0,0,38.2,,,1397.2,8.82,0.0,1397.2,8.82,0.0,1397.2,8.82,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,3820.0,3820.0,3820.0,0.141,0,0.0
813,13.564,1,green,1270,1554,38.2,38.2,189.5,mid_range,0,,,,none,0.0,1270.0,1554.0,0,0,,,435.0,174.0,900.0,669.0,,,0.0,1317.3,35.29,0,0,2,0,1.0,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.05,half_court,,,0.1407249508234646,0,unknown,,,0.0,15.28,38.2,76.4,0.0,15.28,38.2,76.4,0.0,15.28,38.2,76.4,0.0,0,0,0,0,38.2,,,1381.2,14.12,0.0,1381.2,14.12,0.0,1381.2,14.12,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,7640.0,7640.0,7640.0,0.141,0,0.0
813,13.564,1,green,1270,1554,38.2,38.2,189.5,mid_range,0,,,,none,0.0,1270.0,1554.0,0,0,,,435.0,174.0,900.0,669.0,,,0.0,1317.3,35.29,0,0,2,0,1.0,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.05,half_court,,,0.1407249508234646,0,unknown,,,0.0,19.1,38.2,114.6,0.0,19.1,38.2,114.6,0.0,19.1,38.2,114.6,0.0,0,0,0,0,38.2,,,1370.6,17.64,0.0,1370.6,17.64,0.0,1370.6,17.64,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,11460.0,11460.0,11460.0,0.141,0,0.0
816,13.614,1,green,1324,1563,18.25,-19.95,9.5,mid_range,0,,,319.4,none,0.0,1478.5,1522.5,0,0,,,420.0,181.0,884.0,669.0,,,0.0,1368.0,-16.96,0,0,3,0,1.0,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.1,half_court,,,0.1407249508234646,0,unknown,,,0.0,18.98,38.2,132.9,0.0,18.98,38.2,132.9,0.0,18.98,38.2,132.9,0.0,0,0,0,0,9.12,,,1370.2,12.7,0.0,1370.2,12.7,0.0,1370.2,12.7,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,13290.0,13290.0,13290.0,0.141,0,0.0
816,13.614,1,green,1324,1563,18.25,-19.95,9.5,mid_range,0,,,319.4,none,0.0,1478.5,1522.5,0,0,,,420.0,181.0,884.0,669.0,,,0.0,1368.0,-16.96,0,0,3,0,1.0,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.1,half_court,,,0.1407249508234646,0,unknown,,,0.0,18.89,38.2,151.1,0.0,18.89,38.2,151.1,0.0,18.89,38.2,151.1,0.0,0,0,0,0,9.12,,,1369.9,8.99,0.0,1369.9,8.99,0.0,1369.9,8.99,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,15110.0,15110.0,15110.0,0.141,0,0.0
816,13.614,1,green,1324,1563,18.25,-19.95,9.5,mid_range,0,,,319.4,none,0.0,1478.5,1522.5,0,0,,,420.0,181.0,884.0,669.0,,,0.0,1368.0,-16.96,0,0,3,0,1.0,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.1,half_court,,,0.1407249508234646,0,unknown,,,0.0,18.82,38.2,169.4,0.0,18.82,38.2,169.4,0.0,18.82,38.2,169.4,0.0,0,0,0,0,9.12,,,1369.7,6.11,0.0,1369.7,6.11,0.0,1369.7,6.11,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,16940.0,16940.0,16940.0,0.141,0,0.0
816,13.614,2,green,1633,1482,0.0,0.0,0.0,backcourt,0,,,319.4,none,0.0,1478.5,1522.5,0,0,,,176.0,-12.0,542.0,554.0,,,0.0,1607.0,0.0,0,0,3,0,1.0,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.1,half_court,,,0.0,0,unknown,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9.12,,,1607.0,0.0,0.0,1607.0,0.0,0.0,1607.0,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
816,13.614,2,green,1633,1482,0.0,0.0,0.0,backcourt,0,,,319.4,none,0.0,1478.5,1522.5,0,0,,,176.0,-12.0,542.0,554.0,,,0.0,1607.0,0.0,0,0,3,0,1.0,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.1,half_court,,,0.0,0,unknown,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9.12,,,1607.0,0.0,0.0,1607.0,0.0,0.0,1607.0,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
816,13.614,2,green,1633,1482,0.0,0.0,0.0,backcourt,0,,,319.4,none,0.0,1478.5,1522.5,0,0,,,176.0,-12.0,542.0,554.0,,,0.0,1607.0,0.0,0,0,3,0,1.0,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.1,half_court,,,0.0,0,unknown,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9.12,,,1607.0,0.0,0.0,1607.0,0.0,0.0,1607.0,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
819,13.664,1,green,1464,1591,47.59,29.34,11.3,backcourt,0,,,201.1,none,0.0,1548.5,1536.5,0,0,,,396.0,201.0,850.0,673.0,,,0.0,1503.1,-45.26,0,0,4,0,1.0,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.15,half_court,,,0.1407249508234646,0,unknown,,,0.0,21.69,47.59,216.9,0.0,21.69,47.59,216.9,0.0,21.69,47.59,216.9,0.0,0,0,0,0,23.8,,,1383.0,0.97,0.0,1383.0,0.97,0.0,1383.0,0.97,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,21690.0,21690.0,21690.0,0.141,0,0.0
819,13.664,1,green,1464,1591,47.59,29.34,11.3,backcourt,0,,,201.1,none,0.0,1548.5,1536.5,0,0,,,396.0,201.0,850.0,673.0,,,0.0,1503.1,-45.26,0,0,4,0,1.0,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.15,half_court,,,0.1407249508234646,0,unknown,,,0.0,24.05,47.59,264.5,0.0,24.05,47.59,264.5,0.0,24.05,47.59,264.5,0.0,0,0,0,0,23.8,,,1394.0,-3.23,0.0,1394.0,-3.23,0.0,1394.0,-3.23,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,26450.0,26450.0,26450.0,0.141,0,0.0
819,13.664,1,green,1464,1591,47.59,29.34,11.3,backcourt,0,,,201.1,none,0.0,1548.5,1536.5,0,0,,,396.0,201.0,850.0,673.0,,,0.0,1503.1,-45.26,0,0,4,0,1.0,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.15,half_court,,,0.1407249508234646,0,unknown,,,0.0,26.01,47.59,312.1,0.0,26.01,47.59,312.1,0.0,26.01,47.59,312.1,0.0,0,0,0,0,23.8,,,1403.0,-6.73,0.0,1403.0,-6.73,0.0,1403.0,-6.73,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,31210.0,31210.0,31210.0,0.141,0,0.0
819,13.664,2,green,1633,1482,0.0,0.0,0.0,backcourt,0,,,201.1,none,0.0,1548.5,1536.5,0,0,,,257.0,-12.0,623.0,547.0,,,0.0,1607.0,0.0,0,0,4,0,1.0,unclassified,0,0.0,11.0,-1.0,-1.0,1,0,0.15,half_court,,,0.0,0,unknown,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,23.8,,,1607.0,0.0,0.0,1607.0,0.0,0.0,1607.0,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
