frame_approx,video_sec,game_clock_sec,period,score_home,score_away,score_margin,shot_clock_est
0,0,1224,2,41,56,-15,15.0
29,1,1225,2,41,56,-15,14.0
59,2,1226,2,41,56,-15,13.0
89,3,1227,2,41,56,-15,12.0
119,4,1228,2,41,56,-15,11.0
149,5,1229,2,41,56,-15,10.0
179,6,1230,2,41,58,-17,24.0
209,7,1231,2,41,58,-17,23.0
239,8,1232,2,41,58,-17,22.0
269,9,1233,2,41,58,-17,21.0
299,10,1234,2,41,58,-17,20.0
329,11,1235,2,41,58,-17,19.0
359,12,1236,2,41,58,-17,18.0
389,13,1237,2,41,58,-17,17.0
419,14,1238,2,41,58,-17,16.0
449,15,1239,2,41,58,-17,15.0
479,16,1240,2,41,58,-17,14.0
509,17,1241,2,41,58,-17,13.0
539,18,1242,2,41,58,-17,12.0
569,19,1243,2,41,58,-17,11.0
599,20,1244,2,41,58,-17,10.0
629,21,1245,2,41,58,-17,9.0
659,22,1246,2,41,58,-17,8.0
689,23,1247,2,43,58,-15,24.0
719,24,1248,2,43,58,-15,23.0
749,25,1249,2,43,58,-15,22.0
779,26,1250,2,43,58,-15,21.0
809,27,1251,2,43,58,-15,20.0
839,28,1252,2,43,58,-15,19.0
869,29,1253,2,43,58,-15,18.0
899,30,1254,2,43,58,-15,17.0
929,31,1255,2,43,58,-15,16.0
959,32,1256,2,43,58,-15,15.0
989,33,1257,2,43,58,-15,14.0
1018,34,1258,2,43,58,-15,13.0
1048,35,1259,2,43,58,-15,12.0
1078,36,1260,2,43,58,-15,11.0
1108,37,1261,2,43,60,-17,24.0
1138,38,1262,2,43,60,-17,23.0
1168,39,1263,2,43,60,-17,22.0
1198,40,1264,2,43,60,-17,21.0
1228,41,1265,2,43,60,-17,20.0
1258,42,1266,2,43,60,-17,19.0
1288,43,1267,2,43,60,-17,18.0
1318,44,1268,2,43,60,-17,17.0
1348,45,1269,2,43,60,-17,16.0
1378,46,1270,2,43,60,-17,15.0
1408,47,1271,2,43,60,-17,14.0
1438,48,1272,2,43,60,-17,13.0
1468,49,1273,2,43,60,-17,12.0
1498,50,1274,2,43,60,-17,11.0
1528,51,1275,2,43,60,-17,10.0
1558,52,1276,2,43,60,-17,9.0
1588,53,1277,2,43,60,-17,8.0
1618,54,1278,2,43,60,-17,7.0
1648,55,1279,2,43,60,-17,6.0
1678,56,1280,2,43,60,-17,5.0
1708,57,1281,2,43,60,-17,4.0
1738,58,1282,2,43,60,-17,3.0
1768,59,1283,2,43,60,-17,14.0
1798,60,1284,2,43,60,-17,13.0
1828,61,1285,2,43,60,-17,12.0
1858,62,1286,2,43,60,-17,11.0
1888,63,1287,2,43,60,-17,10.0
1918,64,1288,2,43,60,-17,9.0
1948,65,1289,2,43,60,-17,8.0
1978,66,1290,2,43,60,-17,7.0
2007,67,1291,2,43,60,-17,24.0
