game_id,possession_id,team,start_frame,end_frame,duration_frames,duration_sec,avg_spacing,avg_defensive_pressure,avg_vel_toward_basket,drive_attempts,shot_attempted,shot_frame,fast_break,play_type,result,outcome_score,pass_count,screen_count,drive_count,cut_count,lineup_id,max_paint_touches,avg_off_ball_distance,min_shot_clock_est,dominant_zone,transition_time_sec,offensive_rebound_poss
0022500035,7,MIL,11988,12047,60,2.0,,,-3.18,3,1,12003,0,fast_break,,,1,0,0,0,3,1,186.6,22.1,backcourt,,0
0022500035,8,CHI,12048,12710,663,22.12,,,14.47,3,1,12690,0,fast_break,,,4,1,0,2,18,1,580.2,2.0,mid_range,,0
0022500035,9,MIL,12711,12797,87,2.9,,,24.01,5,0,,0,transition,,,2,0,0,5,21,1,452.1,21.2,3pt_arc,,0
0022500035,10,CHI,12798,14051,1253,41.77,,,86.38,2,0,,0,hand_off,,,2,1,0,1,3,2,321.6,13.2,mid_range,,0
0022500035,17,MIL,14052,14210,159,5.31,,,,0,0,,0,fast_break,,,12,0,0,0,113,0,,18.8,3pt_arc,,0
0022500035,18,CHI,14211,14297,87,2.9,,,,0,0,,0,transition,,,6,0,0,0,140,0,,21.2,mid_range,,0
0022500035,19,MIL,14298,14861,564,18.82,,,,0,0,,0,hand_off,,,0,0,0,0,83,0,,5.3,mid_range,,0
0022500035,20,CHI,14862,15203,342,11.41,211.1,791.9,-0.58,3,0,,0,fast_break,,,4,4,0,4,158,0,471.6,12.7,mid_range,,0
0022500035,21,MIL,15204,15317,114,3.8,,,39.52,1,0,,0,transition,,,2,0,0,3,168,0,,20.3,mid_range,,0
0022500035,22,CHI,15318,15779,462,15.42,,,7.06,2,0,,0,fast_break,,,10,0,0,0,161,1,,8.7,mid_range,,0
0022500035,23,MIL,15780,16004,225,7.51,,,,0,0,,0,transition,,,6,1,0,0,206,0,102.5,16.6,3pt_arc,,0
0022500035,24,CHI,16005,16277,273,9.11,220.7,410.0,,0,0,,0,transition,,,3,8,0,50,226,1,800.2,15.0,mid_range,,0
0022500035,25,MIL,16278,16403,126,4.2,,,,0,0,,0,pick_and_roll,,,1,0,0,0,5,0,330.0,19.9,mid_range,,0
0022500035,28,CHI,16470,16556,87,2.9,203.7,531.8,,0,0,,0,transition,,,6,0,0,1,264,2,10.3,21.2,3pt_arc,,0
0022500035,29,MIL,16557,16727,171,5.71,,,,0,0,,0,transition,,,7,0,0,1,271,1,,18.4,backcourt,,0
0022500035,30,CHI,16728,17111,384,12.81,,500.3,,0,0,,0,transition,,,5,0,0,2,3,2,,11.3,backcourt,,0
0022500035,31,MIL,17112,17180,69,2.3,,,,0,0,,0,transition,,,4,0,0,0,228,2,,21.8,3pt_arc,,0
0022500035,32,CHI,17181,17705,525,17.52,,,,0,0,,0,cut,,,4,0,0,1,3,1,,6.6,backcourt,,0
0022500035,33,MIL,17706,18035,330,11.01,178.2,,,0,0,,0,fast_break,,,4,0,0,0,7,2,,13.1,backcourt,,0
0022500035,34,CHI,18036,18722,687,22.92,279.7,246.8,,0,0,,0,fast_break,,,10,0,0,3,3,2,317.8,1.2,backcourt,0.6,0
0022500035,35,MIL,18723,19358,636,21.22,,,,0,0,,0,transition,,,26,0,0,3,113,2,230.2,2.9,mid_range,,0
0022500035,36,CHI,19359,19985,627,20.92,,,,0,1,19521,0,fast_break,,,19,0,0,0,336,1,215.7,3.2,backcourt,,0
0022500035,37,MIL,19986,20675,690,23.02,631.5,628.1,,0,0,,0,fast_break,,,6,2,0,15,424,2,1672.2,1.1,backcourt,,0
0022500035,38,CHI,20676,21794,1119,37.34,67.1,566.4,,0,0,,0,off_screen,,,11,0,0,3,3,2,225.9,0.0,backcourt,,0
0022500035,39,MIL,21795,22031,237,7.91,704.2,547.5,,0,0,,0,transition,,,2,0,0,9,498,0,248.9,16.2,backcourt,,0
0022500035,42,CHI,22104,22196,93,3.1,75.3,610.8,,0,0,,0,transition,,,0,0,0,0,475,0,412.7,21.0,3pt_arc,,0
0022500035,45,MIL,22266,22442,177,5.91,717.0,706.2,-7.63,0,0,,0,transition,,,2,0,0,1,488,3,335.9,18.2,mid_range,,0
0022500035,46,CHI,22443,23345,902,30.07,119.4,311.2,,2,0,,0,cut,,,4,2,0,10,472,1,,8.3,mid_range,,0
0022500035,49,MIL,23346,23405,60,2.0,,,,0,0,,0,transition,,,0,0,0,0,562,1,,22.1,3pt_arc,,0
0022500035,50,CHI,23406,23768,362,12.07,81.1,967.6,,0,0,,0,transition,,,1,0,0,5,563,0,,19.9,3pt_arc,,0
0022500035,53,MIL,23769,23891,123,4.1,590.8,753.3,-88.45,0,0,,0,off_screen,,,0,0,0,8,61,0,,20.0,mid_range,,0
0022500035,54,CHI,23892,24191,299,9.97,115.4,338.5,11.73,7,0,,0,transition,,,2,0,0,8,559,0,535.3,21.3,mid_range,,0
0022500035,57,MIL,24192,24353,162,5.41,384.1,816.1,,0,0,,0,transition,,,2,0,0,21,596,1,69.2,18.7,mid_range,,0
0022500035,58,CHI,24354,24422,69,2.3,28.1,,-1.99,0,0,,0,off_screen,,,2,0,0,0,147,1,,21.8,mid_range,,0
0022500035,59,MIL,24423,24548,126,4.2,,,,0,0,,0,transition,,,4,1,0,9,474,2,440.4,19.9,mid_range,,0
0022500035,60,CHI,24549,24719,171,5.71,440.6,570.2,-6.75,3,0,,0,transition,,,5,0,0,13,472,3,957.9,18.4,mid_range,,0
0022500035,61,MIL,24720,25379,660,22.02,1041.2,644.7,1.68,1,0,,0,transition,,,8,1,0,11,24,1,253.9,2.1,backcourt,,0
