shot_id,frame,timestamp,player_id,player_name,team,team_abbrev,x_norm,y_norm,ft_x,ft_y,dist_to_basket_ft,nearest_opponent
1,3042,101.4,7,white#?,white,MIA,0.0731,0.4553,6.88,22.76,2.76,552.5
2,4956,165.2,6,white#?,white,MIA,0.0238,0.519,2.24,25.95,3.16,166.9
3,5205,173.5,6,white#?,white,MIA,0.0006,0.4144,0.06,20.72,6.73,199.5
4,5826,194.2,6,white#?,white,MIA,0.0006,0.4144,0.06,20.72,6.73,367.7
5,6165,205.5,10,white#?,white,MIA,0.1833,0.1444,17.23,7.22,21.44,78.6
6,9615,320.5,1,green#?,green,ORL,0.176,0.2899,16.54,14.49,15.42,
7,10080,336.0,4,green#?,green,ORL,0.3505,0.1204,32.94,6.02,33.57,
8,10644,354.8,4,green#?,green,ORL,0.3505,0.1204,32.94,6.02,33.57,322.5
9,11367,378.9,10,white#?,white,MIA,0.2518,0.1935,23.67,9.67,23.96,275.8
10,11895,396.5,3,green#?,green,ORL,0.0505,0.6049,4.75,30.25,5.27,
11,12141,404.7,4,green#?,green,ORL,0.3111,0.3115,29.24,15.58,25.78,314.4
12,13917,463.9,6,white#?,white,MIA,0.292,0.1753,27.45,8.77,27.5,
13,18948,631.6,3,green#?,green,ORL,0.0505,0.6049,4.75,30.25,5.27,130.6
14,19227,640.9,1,green#?,green,ORL,0.1672,0.3729,15.71,18.64,12.24,353.0
15,20934,697.8,4,green#?,green,ORL,0.2738,0.2542,25.74,12.71,23.89,918.6
16,22593,753.1,6,white#?,white,MIA,0.1354,0.1753,12.73,8.77,17.87,417.5
17,23145,771.5,3,green#?,green,ORL,0.171,0.4974,16.07,24.87,10.82,183.4
18,23793,793.1,7,white#?,white,MIA,0.1225,0.7364,11.52,36.82,13.38,861.4
19,24849,828.3,2,green#?,green,ORL,0.2847,0.609,26.76,30.45,22.19,593.5
20,25128,837.6,6,white#?,white,MIA,0.0914,0.1672,8.59,8.36,16.97,182.2
21,25560,852.0,9,white#?,white,MIA,0.0617,0.678,5.8,33.9,8.92,938.8
22,26295,876.5,5,green#?,green,ORL,0.3631,0.2215,34.13,11.08,32.06,682.1
23,26541,884.7,9,white#?,white,MIA,0.0617,0.678,5.8,33.9,8.92,768.1
24,42873,1429.1,10,white#?,white,MIA,0.0062,0.1052,0.58,5.26,20.28,102.9
25,43740,1458.0,4,green#?,green,ORL,0.2162,0.2262,20.32,11.31,20.36,842.6
