player_id,team,frames_tracked,tracking_pct,total_distance_px,avg_velocity,max_velocity,possession_frames,possession_pct,shots_attempted,drive_attempts,drive_rate,paint_frames,paint_pct,avg_dist_to_basket,avg_nearest_opponent
1,green,19,0.0,156.5,8.23,48.99,0,0.0,0,0,0.0,0,0.0,555.7,352.1
2,green,23,0.001,127.8,5.56,54.89,0,0.0,0,0,0.0,0,0.0,704.5,408.6
3,green,20,0.0,78.7,3.93,46.26,0,0.0,0,0,0.0,0,0.0,835.4,505.1
4,green,13,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,752.1,730.4
5,green,21,0.001,317.2,15.1,47.86,3,0.143,0,2,0.0952,6,0.286,493.1,345.1
6,white,13,0.0,82.8,6.37,54.7,3,0.231,0,1,0.0769,0,0.0,648.9,121.5
7,white,14,0.0,43.9,3.14,43.92,0,0.0,0,0,0.0,0,0.0,281.4,414.1
8,white,14,0.0,0.0,0.0,0.0,4,0.286,0,0,0.0,0,0.0,380.7,268.4
9,white,21,0.001,50.5,2.4,19.67,5,0.238,0,0,0.0,8,0.381,160.0,563.0
10,white,17,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,17,1.0,92.5,350.8
