frame,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,ft_x,ft_y,dist_to_basket_ft,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,team_abbrev,dribble_count,lineup_id,homography_valid,acceleration_mean_30,velocity_std_30,acceleration_mean_90,velocity_std_90,acceleration_mean_150,velocity_std_150,acceleration_std_90,defender_dist_mean_30,defender_dist_mean_90,defender_dist_mean_150,defender_dist_min_90,contested_fraction_90,off_ball_dist_mean_90,off_ball_dist_mean_150,off_ball_dist_std_90,paint_pressure_90,paint_pressure_opp_90,shot_selection_shift,velocity_ewma,velocity_mean_30,velocity_max_30,dist_traveled_30,possession_pct_30,velocity_mean_90,velocity_max_90,dist_traveled_90,possession_pct_90,velocity_mean_150,velocity_max_150,dist_traveled_150,possession_pct_150,shots_90,passes_90,dribbles_90,possession_run,team_velocity_mean,opp_velocity_mean,spacing_advantage,dist_to_basket_mean_30,vel_toward_basket_mean_30,drive_rate_30,dist_to_basket_mean_90,vel_toward_basket_mean_90,drive_rate_90,dist_to_basket_mean_150,vel_toward_basket_mean_150,drive_rate_150,shot_quality_proxy,turnover_flag,pace_30,pick_roll_proxy,possessions_est,shots_per100,passes_per100,dribbles_per100,dist_per100_30,dist_per100_90,dist_per100_150,contest_arm_mean_30,jump_shot_flag,shot_quality_pose,bbref_bpm,bbref_vorp,bbref_ws,bbref_ws_per_48,hustle_deflections_pg,hustle_charges_pg,hustle_contested_shots,on_off_diff,on_court_net_rtg,synergy_iso_ppp,synergy_pnr_ppp,synergy_spotup_ppp,injury_status_multiplier,contract_year_flag,cap_hit_pct,contested_shot_pct,catch_and_shoot_pct,pull_up_pct,avg_defender_dist,elo_home,elo_away,elo_diff,opp_def_rtg_trend,home_away_pts_delta,home_away_reb_delta,home_away_ast_delta,drive_finish_rate,drive_foul_rate,drive_kickout_rate,drive_tov_rate
918,15.315,2,green,774,111,0.5505,0.1954,0.0,0.0,0.0,backcourt,0,,,,none,,0.0,877.0,108.5,0,0,,,635.0,-13.0,1111.0,380.0,,,0.0,594.5,0.0,0,51.75,9.77,40.01,0,1,0,1.0,unclassified,0,0.0,24.0,6.4,69.0,0,0,0.0,0.0,half_court,,,0.0,0,unknown,,,0.0,,,,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,594.5,0.0,0.0,594.5,0.0,0.0,594.5,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
918,15.315,3,green,980,106,0.697,0.1866,0.0,0.0,0.0,mid_range,0,,,,none,,0.0,877.0,108.5,0,0,,,617.0,-15.0,1110.0,662.0,,,0.0,404.1,0.0,0,65.52,9.33,28.02,0,1,0,1.0,unclassified,0,0.0,24.0,6.4,69.0,0,0,0.0,0.0,half_court,,,0.0,0,unknown,,,0.0,,,,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,404.1,0.0,0.0,404.1,0.0,0.0,404.1,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
924,15.415,1,green,1046,105,0.744,0.1849,0.0,0.0,0.0,3pt_arc,0,,,,none,,0.0,894.0,108.5,0,0,,,407.0,-11.0,1160.0,665.0,,,0.0,346.5,0.0,0,69.93,9.24,24.54,0,2,0,1.0,unclassified,0,0.0,24.0,10.0,639.0,0,0,0.0,0.1,half_court,,,0.0,0,unknown,,,0.0,,,,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.67,,,346.5,0.0,0.0,346.5,0.0,0.0,346.5,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
924,15.415,2,green,742,112,0.5277,0.1972,5.34,5.34,178.2,backcourt,0,,,,none,,0.0,894.0,108.5,0,0,,,635.0,-13.0,1111.0,380.0,,,0.0,624.9,-5.08,0,49.61,9.86,41.97,0,2,0,0.933,unclassified,0,0.0,24.0,6.4,69.0,0,0,0.0,0.1,half_court,,,0.0,0,unknown,,,0.0,,,,0,2,1,2.67,3.776,2.67,3.776,2.67,3.776,3.776,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.672,2.67,5.34,5.3,0.0,2.67,5.34,5.3,0.0,2.67,5.34,5.3,0.0,0,0,0,0,2.67,,,609.7,-2.54,0.0,609.7,-2.54,0.0,609.7,-2.54,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,530.0,530.0,530.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
930,15.515,2,green,742,112,0.5277,0.1972,0.0,-5.34,0.0,backcourt,0,,,,none,,0.0,865.0,109.0,0,0,,,635.0,-13.0,1111.0,380.0,,,0.0,624.9,0.0,0,49.61,9.86,41.97,0,3,0,0.867,unclassified,0,0.0,24.0,6.4,69.0,0,0,0.0,0.2,half_court,,,0.0,0,unknown,,,0.0,,,,0,1,1,0.0,3.083,0.0,3.083,0.0,3.083,5.34,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,1.78,5.34,5.3,0.0,1.78,5.34,5.3,0.0,1.78,5.34,5.3,0.0,0,0,0,0,0.66,,,614.8,-1.69,0.0,614.8,-1.69,0.0,614.8,-1.69,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,530.0,530.0,530.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
930,15.515,3,green,988,106,0.7027,0.1866,1.33,1.33,0.0,mid_range,0,,,,none,,0.0,865.0,109.0,0,0,,,546.0,-14.0,1163.0,661.0,,,0.0,396.9,1.19,0,66.05,9.33,27.58,0,3,0,1.0,unclassified,0,0.0,24.0,6.4,69.0,0,0,0.0,0.2,half_court,,,0.0,0,unknown,,,0.0,,,,0,1,1,0.665,0.94,0.665,0.94,0.665,0.94,0.94,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666,0.66,1.33,1.3,0.0,0.66,1.33,1.3,0.0,0.66,1.33,1.3,0.0,0,0,0,0,0.66,,,400.5,0.6,0.0,400.5,0.6,0.0,400.5,0.6,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,130.0,130.0,130.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
936,15.616,2,green,742,112,0.5277,0.1972,0.0,0.0,0.0,backcourt,0,,,,none,,0.0,860.0,109.0,0,0,,,635.0,-13.0,1111.0,380.0,,,0.0,624.9,0.0,0,49.61,9.86,41.97,0,4,0,0.8,unclassified,0,0.0,24.0,6.4,69.0,0,0,0.0,0.3,half_court,,,0.0,0,unknown,,,0.0,,,,0,1,1,0.0,2.67,0.0,2.67,0.0,2.67,4.36,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.334,1.34,5.34,5.3,0.0,1.34,5.34,5.3,0.0,1.34,5.34,5.3,0.0,0,0,0,0,0.84,,,617.3,-1.27,0.0,617.3,-1.27,0.0,617.3,-1.27,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,530.0,530.0,530.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
936,15.616,3,green,978,106,0.6956,0.1866,1.67,0.34,180.0,mid_range,0,,,,none,,0.0,860.0,109.0,0,0,,,555.0,-14.0,1175.0,661.0,,,0.0,405.8,-1.5,0,65.39,9.33,28.13,0,4,0,1.0,unclassified,0,0.0,24.0,6.4,69.0,0,0,0.0,0.3,half_court,,,0.0,0,unknown,,,0.0,,,,0,1,1,0.557,0.883,0.557,0.883,0.557,0.883,0.691,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.001,1.0,1.67,3.0,0.0,1.0,1.67,3.0,0.0,1.0,1.67,3.0,0.0,0,0,0,0,0.84,,,402.3,-0.1,0.0,402.3,-0.1,0.0,402.3,-0.1,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,300.0,300.0,300.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
942,15.716,1,green,1122,103,0.798,0.1813,12.67,12.67,358.5,3pt_arc,0,,,173.0,none,0.3,0.3,1033.5,105.0,0,0,,,332.0,80.0,1014.0,666.0,,,0.0,285.5,9.58,0,75.01,9.07,21.04,0,5,0,1.0,unclassified,0,0.0,24.0,10.0,639.0,0,0,0.0,0.4,half_court,,,0.0,0,unknown,,,0.0,,,,0,3,1,6.335,8.959,6.335,8.959,6.335,8.959,8.959,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34,6.34,12.67,12.7,0.0,6.34,12.67,12.7,0.0,6.34,12.67,12.7,0.0,0,0,0,0,4.38,,,316.0,4.79,0.0,316.0,4.79,0.0,316.0,4.79,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,1270.0,1270.0,1270.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
942,15.716,2,green,742,112,0.5277,0.1972,0.0,0.0,0.0,backcourt,0,,,,none,0.3,0.3,1033.5,105.0,0,0,,,635.0,-13.0,1111.0,380.0,,,0.0,624.9,0.0,0,49.61,9.86,41.97,0,5,0,0.733,unclassified,0,0.0,24.0,6.4,69.0,0,0,0.0,0.4,half_court,,,0.0,0,unknown,,,0.0,,,,0,3,1,0.0,2.388,0.0,2.388,0.0,2.388,3.776,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.066,1.07,5.34,5.3,0.0,1.07,5.34,5.3,0.0,1.07,5.34,5.3,0.0,0,0,0,0,4.38,,,618.8,-1.02,0.0,618.8,-1.02,0.0,618.8,-1.02,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,530.0,530.0,530.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.28,0.12
