possession_id,team,team_abbrev,start_time,end_time,duration_s,n_frames
245,0,,44.244,53.954,9.7,98
423,0,,71.772,75.776,4.0,41
424,0,,75.876,79.88,4.0,41
428,0,,82.783,93.193,10.4,89
481,0,,98.498,110.01,11.5,116
634,0,,128.328,137.237,8.9,82
635,0,,137.337,146.346,9.0,85
640,0,,147.347,150.45,3.1,31
642,0,,151.351,162.963,11.6,92
643,0,,163.063,170.671,7.6,76
644,0,,170.771,172.372,1.6,17
645,0,,172.472,187.888,15.4,154
781,0,,201.501,211.812,10.3,100
828,0,,216.516,223.623,7.1,70
831,0,,225.225,233.033,7.8,79
832,0,,233.133,236.036,2.9,29
833,0,,236.136,245.445,9.3,86
834,0,,245.545,250.15,4.6,47
835,0,,250.25,252.352,2.1,22
838,0,,254.855,269.269,14.4,145
1009,0,,286.386,295.896,9.5,96
1057,0,,300.7,310.41,9.7,95
1174,0,,322.122,331.932,9.8,93
1176,0,,332.132,344.044,11.9,119
1177,0,,344.144,353.453,9.3,94
1178,0,,353.553,365.966,12.4,125
1179,0,,366.066,375.075,9.0,91
1180,0,,375.175,382.282,7.1,69
1181,0,,382.382,392.392,10.0,101
1334,0,,407.707,413.613,5.9,60
1335,0,,413.713,415.415,1.7,18
1336,0,,415.515,436.536,21.0,199
1337,0,,436.636,438.238,1.6,17
1338,0,,438.338,450.05,11.7,114
1475,0,,463.763,466.466,2.7,28
1476,0,,466.566,469.569,3.0,28
1477,0,,469.669,475.775,6.1,61
1478,0,,475.875,495.695,19.8,196
1479,0,,495.795,509.309,13.5,136
1480,0,,509.409,515.215,5.8,59
1481,0,,515.315,540.34,25.0,249
1482,0,,540.44,542.542,2.1,22
1486,0,,544.944,561.961,17.0,167
1487,0,,562.062,563.763,1.7,18
1488,0,,563.863,572.772,8.9,90
1489,0,,572.872,576.076,3.2,33
1490,0,,576.176,600.6,24.4,240
