game_id,shot_id,frame,timestamp,player_id,player_name,team,x_position,y_position,x_norm,y_norm,court_zone,defender_distance,defender_dist_norm,team_spacing,possession_id,possession_duration,made
,1,864,14.414,3,,green,768,1639,0.2996,0.9095,corner_3,,0.1774,110202.5,47,0,
,3,1800,30.03,3,,green,164,1077,0.064,0.5977,paint,,0.6071,0.0,59,31,
,5,2289,38.188,2,,green,675,1351,0.2634,0.7497,3pt_arc,11.7,0.009,62760.0,60,27,
,8,2991,49.9,5,,green,891,1474,0.3476,0.818,corner_3,,0.0457,27486.0,60,261,
,11,3486,58.158,3,,green,164,1077,0.064,0.5977,paint,,0.4571,88536.0,62,13,
,14,3987,66.516,1,,green,2,1183,0.0008,0.6565,paint,,0.5447,112037.0,66,59,
,17,4653,77.628,5,,green,891,1474,0.3476,0.818,corner_3,,0.0457,39514.5,66,251,
,20,5268,87.888,3,,green,164,1077,0.064,0.5977,paint,,0.2308,0.0,68,166,
,22,5943,99.149,3,,green,164,1077,0.064,0.5977,paint,,0.3323,1834.5,68,301,
,24,6492,108.308,4,,green,207,1339,0.0808,0.7431,3pt_arc,,0.2549,0.0,68,424,
,26,7110,118.618,7,,white,743,1359,0.2899,0.7542,3pt_arc,,0.1448,0.0,68,600,
,28,7890,131.631,1,,green,2,1183,0.0008,0.6565,paint,,0.4203,110202.5,70,26,
,30,8517,142.092,5,,green,891,1474,0.3476,0.818,corner_3,,0.0906,88536.0,70,235,
,31,9024,150.55,2,,green,675,1351,0.2634,0.7497,3pt_arc,11.7,0.0046,88536.0,70,404,
,32,9534,159.059,5,,green,891,1474,0.3476,0.818,corner_3,,0.3083,0.0,70,574,
,33,10326,172.272,3,,green,164,1077,0.064,0.5977,paint,,0.6071,62760.0,72,102,
,35,11046,184.284,5,,green,891,1474,0.3476,0.818,corner_3,,0.0924,39514.5,75,14,
,38,11757,196.146,4,,green,207,1339,0.0808,0.7431,3pt_arc,,0.1287,39514.5,124,1,
,40,12261,204.554,3,,green,130,882,0.0507,0.4895,paint,,0.3581,377402.0,126,120,
,42,12744,212.612,9,,white,534,1296,0.2083,0.7192,3pt_arc,,0.1287,2641.0,126,281,
,44,14394,240.14,1,,green,2,1183,0.0008,0.6565,paint,,0.1991,96753.0,331,18,
,46,15003,250.3,9,,white,534,1296,0.2083,0.7192,3pt_arc,,0.2549,2641.0,331,221,
,48,15561,259.609,4,,green,207,1339,0.0808,0.7431,3pt_arc,,0.1383,0.0,332,19,
,50,16215,270.52,6,,white,364,1253,0.142,0.6953,3pt_arc,,0.0698,48765.0,333,93,
,52,16830,280.781,5,,green,891,1474,0.3476,0.818,corner_3,,0.0478,381213.0,335,120,
,54,17361,289.639,2,,green,1097,400,0.428,0.222,mid_range,,0.6813,846817.5,335,297,
,57,18021,300.65,3,,green,437,388,0.1705,0.2153,3pt_arc,,0.9961,445839.5,335,517,
,60,18777,313.263,5,,green,891,1474,0.3476,0.818,corner_3,,0.1448,748868.5,335,769,
,61,19275,321.571,3,,green,1361,32,0.531,0.0178,mid_range,,0.6745,1003283.0,335,935,
,64,21981,366.716,4,,green,207,1339,0.0808,0.7431,3pt_arc,,0.5342,426468.0,945,7,
,67,22806,380.48,1,,green,2,1183,0.0008,0.6565,paint,,0.1991,645121.5,946,268,
,70,23487,391.841,3,,green,937,76,0.3656,0.0422,corner_3,,0.5013,607954.0,949,17,
,72,25371,423.273,1,,green,168,977,0.0655,0.5422,paint,,0.2508,0.0,984,49,
,75,26064,434.834,3,,green,797,147,0.311,0.0816,corner_3,,0.6167,577523.0,986,159,
,77,26709,445.595,4,,green,207,1339,0.0808,0.7431,3pt_arc,,0.2246,121171.5,1023,0,
,79,27237,454.404,1,,green,168,977,0.0655,0.5422,paint,,0.0419,332543.5,1061,139,
,81,32427,540.99,6,,white,246,1051,0.096,0.5832,paint,,0.0831,0.0,2643,0,
,84,32994,550.45,2,,green,353,280,0.1377,0.1554,3pt_arc,,0.5573,419109.5,2654,17,
,86,33717,562.512,10,,white,982,1556,0.3831,0.8635,mid_range,,0.0478,143763.0,2654,198,
,88,34227,571.02,4,,green,207,1339,0.0808,0.7431,3pt_arc,,0.1134,358866.0,2654,368,
,90,34752,579.779,6,,white,246,1051,0.096,0.5832,paint,,0.0419,121991.5,2654,543,
,93,35256,588.188,2,,green,8,363,0.0031,0.2014,3pt_arc,,0.5626,699358.0,2656,115,
,96,36000,600.6,4,,green,207,1339,0.0808,0.7431,3pt_arc,,0.2246,520222.5,2656,333,
,98,36840,614.614,9,,white,477,878,0.1861,0.4872,paint,,0.2508,53050.0,2656,613,
,102,37872,631.831,7,,white,743,1359,0.2899,0.7542,3pt_arc,,0.0731,15506.5,2659,77,
,104,43209,720.87,4,,green,207,1339,0.0808,0.7431,3pt_arc,,0.2246,831225.5,4197,3,
,106,43773,730.28,8,,white,898,1357,0.3504,0.7531,3pt_arc,,0.0906,15506.5,4197,131,
,108,44514,742.642,8,,white,898,1357,0.3504,0.7531,3pt_arc,,0.0457,52022.0,4197,378,
,111,45321,756.105,9,,white,477,878,0.1861,0.4872,paint,,0.2084,143763.0,4223,1,
,113,45909,765.915,9,,white,477,878,0.1861,0.4872,paint,,0.4129,143763.0,4225,26,
,114,46572,776.976,1,,green,1498,326,0.5845,0.1809,backcourt,,0.9888,747031.5,4239,36,
,116,47265,788.538,9,,white,477,878,0.1861,0.4872,paint,,0.4129,37543.5,4242,8,
,117,47805,797.547,5,,green,891,1474,0.3476,0.818,corner_3,,0.0457,416659.5,4243,65,
,120,48465,808.558,3,,green,2069,44,0.8073,0.0244,mid_range,,1.4391,0.0,4243,255,
