game_id,possession_id,team,start_frame,end_frame,duration_frames,duration_sec,avg_spacing,avg_defensive_pressure,avg_vel_toward_basket,drive_attempts,shot_attempted,shot_frame,fast_break,result,outcome_score
,84,green,768,851,83,2.7666666666666666,,313.2,54.75,1,1,774.0,0,,
,191,green,1332,1439,108,3.6,,200.0,,0,1,1338.0,0,,
,423,white,3318,3788,470,15.666666666666666,,929.0,,0,1,3690.0,0,,
,476,green,4248,4508,260,8.666666666666666,,200.0,,0,1,4254.0,0,,
,660,white,5613,5735,122,4.066666666666666,323207.3,273.3,2.52,1,0,,0,,
,671,green,5736,5837,101,3.3666666666666667,,860.5,,0,1,5748.0,0,,
,830,white,6432,6596,164,5.466666666666667,,200.0,,0,1,6438.0,0,,
,989,white,7443,7589,146,4.866666666666666,,177.9,1.08,3,1,7467.0,0,,
,1046,green,7659,7763,104,3.466666666666667,,200.0,,0,0,,0,,
,1212,green,9663,9770,107,3.566666666666667,,200.0,,0,0,,0,,
,1390,white,10512,10904,392,13.066666666666666,,385.3,,0,1,10518.0,0,,
,1517,white,11070,11153,83,2.7666666666666666,,251.2,-6.3,0,1,11076.0,0,,
