frame,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,ft_x,ft_y,dist_to_basket_ft,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,team_abbrev,dribble_count,lineup_id,homography_valid
3420,57.057,2,green,3107,1653,0.9127,0.9661,0.0,0.0,0.0,corner_3,1,155.1,,,none,0.0,0.0,3107.0,1653.0,0,0,right,,33,-11,1248,557,3064,1802,0.0,810.4,0.0,0,85.8,48.31,23.49,0,1,1,1.0,unclassified,0,0.0,24.0,,,,,0.0,0.0,half_court,,,0.0,0,unknown,,,0.0,,,,0,1,1
3426,57.157,2,green,3090,1699,0.9078,0.993,8.17,8.17,110.3,corner_3,1,106.2,,,none,0.0,0.0,3090.0,1699.0,0,0,right,,33.0,-11.0,1248.0,557.0,3064,1802,0.0,858.7,-8.06,0,85.33,49.65,24.89,0,1,2,0.933,unclassified,0,0.0,23.8999,,,,,0.0,0.1,drive,,,0.0,0,unknown,,,0.0,,,,0,1,1
3432,57.257,2,green,3090,1699,0.9078,0.993,0.0,-8.17,0.0,corner_3,1,106.2,,,none,0.0,0.0,3090.0,1699.0,0,0,right,,33.0,-11.0,1248.0,557.0,3064,1802,0.0,858.7,0.0,0,85.33,49.65,24.89,0,1,3,0.867,unclassified,0,0.0,23.7998,,,,,0.0,0.2,half_court,,,0.0,0,unknown,,,0.0,,,,0,1,1
3438,57.357,2,green,3090,1699,0.9078,0.993,0.0,0.0,0.0,corner_3,1,106.2,,,none,0.0,0.0,3090.0,1699.0,0,0,right,,33.0,-11.0,1248.0,557.0,3064,1802,0.0,858.7,0.0,0,85.33,49.65,24.89,0,1,4,0.8,unclassified,0,0.0,23.6997,,,,,0.0,0.3,half_court,,,0.0,0,unknown,,,0.0,,,,0,1,1
3444,57.457,2,green,3090,1699,0.9078,0.993,0.0,0.0,0.0,corner_3,1,109.4,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,33.0,-11.0,1248.0,557.0,3063,1805,3.16,858.7,0.0,0,85.33,49.65,24.89,0,1,5,0.733,unclassified,0,0.0,23.5996,,,,,0.0,0.4,half_court,,,0.0,0,unknown,,,0.16666666666666666,,,,0,1,0
3450,57.558,2,green,3090,1699,0.9078,0.993,0.0,0.0,0.0,corner_3,1,108.4,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,33.0,-11.0,1248.0,557.0,3063,1804,1.0,858.7,0.0,0,85.33,49.65,24.89,0,1,6,0.667,unclassified,0,0.0,23.4995,,,,,0.0,0.5,half_court,,,0.0,0,unknown,,,0.16666666666666666,,,,0,1,0
3456,57.658,3,green,3064,1648,0.9001,0.9632,0.0,0.0,0.0,corner_3,1,157.0,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,267,97,1263,593,3063,1805,1.0,814.2,0.0,0,84.61,48.16,23.53,0,1,7,1.0,unclassified,0,0.0,23.3994,,,,,0.0,0.6,half_court,,,0.0,0,unknown,,,0.16666666666666666,,,,0,2,0
3462,57.758,3,green,3066,1642,0.9007,0.9597,1.05,1.05,288.4,corner_3,1,162.0,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,267.0,97.0,1263.0,593.0,3063,1804,1.0,807.9,1.05,0,84.67,47.98,23.34,0,1,8,0.933,unclassified,0,0.0,23.2993,,,,,0.0,0.7,half_court,,,0.0,0,unknown,-10.78429786755972,,0.16666666666666666,,,,0,2,0
3468,57.858,4,green,3101,1618,0.911,0.9456,0.0,0.0,0.0,corner_3,1,187.7,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,270,120,1163,571,3064,1802,2.24,777.1,0.0,0,85.63,47.28,22.5,0,1,9,1.0,unclassified,0,0.0,23.1992,,,,,0.0,0.8,half_court,,,0.0,0,unknown,-23.219541798121668,580.7794041922984,0.23570226039551587,,,,0,3,0
3474,57.958,4,green,3076,1681,0.9036,0.9825,11.3,11.3,111.6,corner_3,1,121.6,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,270.0,120.0,1163.0,571.0,3064,1802,0.0,843.8,-11.14,0,84.94,49.12,24.42,0,1,10,0.933,hand_off,0,0.0,23.0991,,,,,0.0,0.9,drive,,,0.0,0,unknown,-24.587683914425565,580.7879292929294,0.0,,,,0,3,0
