bucket,n_ticks,n_games,n_eff,brier_incumbent,brier_recal,brier_market,ece_incumbent,ece_recal,ece_market,delta,ci95,p_raw,label
early|blowout_gt12,7664,316,350.1547502749999,0.110116514842119,0.1113185266319439,0.110116514842119,0.02324902139874745,0.01934295587897862,0.02324902139874745,0.00011258048813251353,"[-0.0020062622385392903, 0.002334131580490198]",0.2828083547126814,NO_CHANGE
early|close_le5,21587,618,653.0498690740727,0.22273345630472044,0.22174523221216966,0.22273345630472044,0.05461196553481263,0.03786461686495574,0.05461196553481263,-0.00014183934265511576,"[-0.0022066589209620738, 0.001997364647868353]",0.4295706480759054,NO_CHANGE
early|mid_06_12,15115,613,681.3824217309284,0.19567732808468408,0.19606581869089618,0.19567732808468408,0.035625736023817405,0.038374604538071906,0.035625736023817405,-0.00045049000765273067,"[-0.002419042907409996, 0.0015471005559278452]",0.7240992144036138,NO_CHANGE
late|blowout_gt12,46325,407,1894.4247185303213,0.003346682671343767,0.0030774743386666288,0.003346682671343767,0.0020701025364275637,0.0017444707200676701,0.0020701025364275637,-0.000938308590740588,"[-0.0018947801123077469, -9.034283517074667e-05]",0.2215411887820744,WORSE
late|close_le5,29657,341,1049.2118056166632,0.0503857994655562,0.050398360395393034,0.0503857994655562,0.006172927133560336,0.004410754009317918,0.006172927133560336,0.001036522543103833,"[-0.0003926085566100315, 0.002505675578167916]",0.9655948471116612,NO_CHANGE
late|mid_06_12,36601,470,1000.1070885736784,0.016592055626895436,0.01678106086394438,0.016592055626895436,0.0036358842654572675,0.00492695978610401,0.0036358842654572675,-0.0010017939484132504,"[-0.002461866693209528, 0.0003753721451158385]",0.12560818094549564,NO_CHANGE
mid|blowout_gt12,6912,364,427.7149095101476,0.06321645692274307,0.06298184003673528,0.06321645692274307,0.02004781539351852,0.020298702353037913,0.02004781539351852,-0.0006464965370122872,"[-0.0022116445071717543, 0.0009190715886478877]",0.8058660072573474,NO_CHANGE
mid|close_le5,6720,399,425.96460468352745,0.23005182265625,0.22981873997845723,0.23005182265625,0.05313251488095239,0.03767044402879237,0.05313251488095239,-0.0007146828516239036,"[-0.0029889607451740606, 0.0014836967644228105]",0.8807835463246485,NO_CHANGE
mid|mid_06_12,6894,503,563.4108613441922,0.16764498041775455,0.16843393489022726,0.16764498041775455,0.03532738613286917,0.02827403331043532,0.03532738613286917,-0.0004603436502394191,"[-0.0022355958542560205, 0.001330409214201139]",0.46275864023260505,NO_CHANGE
POOLED,177475,618,2058.9270797644795,0.07891252489646429,0.07886080915719242,0.07891252489646429,0.012896407944781049,0.007394600969575003,0.012896407944781049,0.0001191749010496135,"[-0.0006122091116746314, 0.0008657388974247114]",0.8861505715269085,NO_CHANGE
