sport,cluster_id,captured_at,source_ts,lag_seconds,source_file
mlb,822708,2026-07-12T17:35:09Z,20260712_173446,23.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:35:23Z,20260712_173446,37.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:35:49Z,20260712_173446,63.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:36:05Z,20260712_173446,79.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:36:18Z,20260712_173446,92.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:36:43Z,20260712_173446,117.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:37:00Z,20260712_173446,134.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:37:13Z,20260712_173633,40.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:37:38Z,20260712_173708,30.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:37:55Z,20260712_173726,29.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:38:10Z,20260712_173747,23.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:38:34Z,20260712_173747,47.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:38:51Z,20260712_173835,16.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:39:06Z,20260712_173835,31.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:39:31Z,20260712_173835,56.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:39:50Z,20260712_173910,40.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:40:06Z,20260712_173932,34.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:40:30Z,20260712_174012,18.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:40:51Z,20260712_174012,39.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:41:08Z,20260712_174034,34.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:41:35Z,20260712_174110,25.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:41:56Z,20260712_174110,46.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:42:15Z,20260712_174110,65.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:42:43Z,20260712_174110,93.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:43:06Z,20260712_174110,116.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:43:44Z,20260712_174256,48.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:44:07Z,20260712_174337,30.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:44:45Z,20260712_174407,38.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:45:08Z,20260712_174440,28.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:45:45Z,20260712_174509,36.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:46:08Z,20260712_174530,38.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:46:45Z,20260712_174602,43.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:47:09Z,20260712_174620,49.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:47:47Z,20260712_174713,34.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:48:09Z,20260712_174750,19.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:48:46Z,20260712_174812,34.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:49:09Z,20260712_174844,25.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:49:45Z,20260712_174918,27.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:50:08Z,20260712_174949,19.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:50:43Z,20260712_175024,19.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:51:06Z,20260712_175047,19.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:51:40Z,20260712_175103,37.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:52:04Z,20260712_175103,61.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:52:38Z,20260712_175103,95.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:53:01Z,20260712_175103,118.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:53:36Z,20260712_175309,27.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:53:58Z,20260712_175329,29.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:54:32Z,20260712_175407,25.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:55:01Z,20260712_175430,31.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:55:35Z,20260712_175457,38.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:55:58Z,20260712_175546,12.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:56:30Z,20260712_175621,9.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:56:53Z,20260712_175621,32.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:57:24Z,20260712_175621,63.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:57:50Z,20260712_175707,43.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:58:20Z,20260712_175731,49.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:58:44Z,20260712_175815,29.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:59:16Z,20260712_175846,30.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T17:59:39Z,20260712_175914,25.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:00:11Z,20260712_175940,31.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:00:34Z,20260712_175957,37.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:01:05Z,20260712_180030,35.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:01:28Z,20260712_180030,58.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:02:01Z,20260712_180030,91.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:02:24Z,20260712_180151,33.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:03:01Z,20260712_180151,70.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:03:26Z,20260712_180151,95.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:04:02Z,20260712_180317,45.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:04:26Z,20260712_180406,20.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:05:02Z,20260712_180438,24.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:05:25Z,20260712_180501,24.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:06:03Z,20260712_180513,50.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:06:27Z,20260712_180608,19.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:07:08Z,20260712_180647,21.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:07:31Z,20260712_180712,19.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:08:12Z,20260712_180751,21.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:08:36Z,20260712_180801,35.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:09:16Z,20260712_180801,75.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:09:39Z,20260712_180801,98.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:10:22Z,20260712_180938,44.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:10:45Z,20260712_180957,48.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:11:27Z,20260712_180957,90.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:11:52Z,20260712_180957,115.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:12:35Z,20260712_180957,158.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:12:59Z,20260712_180957,182.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:13:41Z,20260712_181255,46.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:14:06Z,20260712_181331,35.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:14:49Z,20260712_181404,45.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:15:14Z,20260712_181445,29.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:15:56Z,20260712_181526,30.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
mlb,822708,2026-07-12T18:16:22Z,20260712_181555,27.0,C:\Users\neelj\nba-ai-system\data\domains\mlb\gumbo_live\_archive\822708.jsonl
