checkpoint_game_id,bridge_game_id,status,exclusion_reason
401703370,0022400001,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703371,0022400002,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703372,0022400003,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703373,0022400004,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703374,0022400005,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703375,0022400006,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703376,0022400007,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703377,0022400008,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703378,0022400009,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703379,0022400010,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703380,0022400011,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703381,0022400012,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703382,0022400013,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703383,0022400014,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703384,0022400015,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703385,0022400016,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703386,0022400017,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703387,0022400018,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703388,0022400019,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703389,0022400020,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703390,0022400021,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703391,0022400022,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703392,0022400023,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703393,0022400024,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703394,0022400025,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703395,0022400026,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703396,0022400027,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703397,0022400028,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703398,0022400029,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703399,0022400030,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703400,0022400031,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703401,0022400032,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703402,0022400033,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703403,0022400034,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703419,0022400050,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703420,0022400051,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703421,0022400052,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703422,0022400053,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703423,0022400054,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703424,0022400055,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703425,0022400056,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703426,0022400057,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703427,0022400058,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703428,0022400059,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401703429,0022400060,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704627,0022400061,JOINED,
401704628,0022400062,JOINED,
401704629,0022400063,JOINED,
401704630,0022400064,JOINED,
401704631,0022400065,JOINED,
401704632,0022400066,JOINED,
401704633,0022400067,JOINED,
401704634,0022400068,JOINED,
401704637,0022400071,JOINED,
401704641,0022400075,JOINED,
401704642,0022400076,JOINED,
401704643,0022400077,JOINED,
401704644,0022400078,JOINED,
401704645,0022400079,JOINED,
401704646,0022400080,JOINED,
401704647,0022400081,JOINED,
401704648,0022400082,JOINED,
401704649,0022400083,JOINED,
