ordering,event_key,kalshi_date,kalshi_away,kalshi_home,checkpoint_game_ids_at_zero_offset
away_home,KXNBAGAME-26APR26BOSPHI,2026-04-26,BOS,PHI,401869406
away_home,KXNBAGAME-26APR26LALHOU,2026-04-26,LAL,HOU,401869405
away_home,KXNBAGAME-26APR27DETORL,2026-04-27,DET,ORL,401869415
away_home,KXNBAGAME-26APR27MINDEN,2026-04-27,MIN,DEN,401869401
away_home,KXNBAGAME-26APR27OKCPHX,2026-04-27,OKC,PHX,401869373
away_home,KXNBAGAME-26APR28ATLNYK,2026-04-28,ATL,NYK,401869392
away_home,KXNBAGAME-26APR28PHIBOS,2026-04-28,PHI,BOS,401869408
away_home,KXNBAGAME-26APR28PORSAS,2026-04-28,POR,SAS,401869386
away_home,KXNBAGAME-26APR29HOULAL,2026-04-29,HOU,LAL,401869407
away_home,KXNBAGAME-26APR29ORLDET,2026-04-29,ORL,DET,401869416
away_home,KXNBAGAME-26APR29TORCLE,2026-04-29,TOR,CLE,401869380
away_home,KXNBAGAME-26APR30BOSPHI,2026-04-30,BOS,PHI,401869410
away_home,KXNBAGAME-26APR30DENMIN,2026-04-30,DEN,MIN,401869402
away_home,KXNBAGAME-26APR30NYKATL,2026-04-30,NYK,ATL,401869393
away_home,KXNBAGAME-26JUN03NYKSAS,2026-06-03,NYK,SAS,401859963
away_home,KXNBAGAME-26JUN05NYKSAS,2026-06-05,NYK,SAS,401859964
away_home,KXNBAGAME-26JUN08SASNYK,2026-06-08,SAS,NYK,401859965
away_home,KXNBAGAME-26JUN10SASNYK,2026-06-10,SAS,NYK,401859966
away_home,KXNBAGAME-26JUN13NYKSAS,2026-06-13,NYK,SAS,401859967
away_home,KXNBAGAME-26MAY01CLETOR,2026-05-01,CLE,TOR,401869381
away_home,KXNBAGAME-26MAY01DETORL,2026-05-01,DET,ORL,401869417
away_home,KXNBAGAME-26MAY01LALHOU,2026-05-01,LAL,HOU,401869409
away_home,KXNBAGAME-26MAY04MINSAS,2026-05-04,MIN,SAS,401871152
away_home,KXNBAGAME-26MAY04PHINYK,2026-05-04,PHI,NYK,
away_home,KXNBAGAME-26MAY05CLEDET,2026-05-05,CLE,DET,
away_home,KXNBAGAME-26MAY05LALOKC,2026-05-05,LAL,OKC,401871326
away_home,KXNBAGAME-26MAY06MINSAS,2026-05-06,MIN,SAS,401871153
away_home,KXNBAGAME-26MAY06PHINYK,2026-05-06,PHI,NYK,
away_home,KXNBAGAME-26MAY07CLEDET,2026-05-07,CLE,DET,
away_home,KXNBAGAME-26MAY07LALOKC,2026-05-07,LAL,OKC,401871327
away_home,KXNBAGAME-26MAY08NYKPHI,2026-05-08,NYK,PHI,401871161
away_home,KXNBAGAME-26MAY08SASMIN,2026-05-08,SAS,MIN,401871154
away_home,KXNBAGAME-26MAY09DETCLE,2026-05-09,DET,CLE,
away_home,KXNBAGAME-26MAY09OKCLAL,2026-05-09,OKC,LAL,401871328
away_home,KXNBAGAME-26MAY10NYKPHI,2026-05-10,NYK,PHI,
away_home,KXNBAGAME-26MAY10SASMIN,2026-05-10,SAS,MIN,
away_home,KXNBAGAME-26MAY11DETCLE,2026-05-11,DET,CLE,
away_home,KXNBAGAME-26MAY11OKCLAL,2026-05-11,OKC,LAL,
away_home,KXNBAGAME-26MAY12MINSAS,2026-05-12,MIN,SAS,
away_home,KXNBAGAME-26MAY13CLEDET,2026-05-13,CLE,DET,
away_home,KXNBAGAME-26MAY15DETCLE,2026-05-15,DET,CLE,
away_home,KXNBAGAME-26MAY15SASMIN,2026-05-15,SAS,MIN,
away_home,KXNBAGAME-26MAY18SASOKC,2026-05-18,SAS,OKC,401873197
away_home,KXNBAGAME-26MAY19CLENYK,2026-05-19,CLE,NYK,401873341
away_home,KXNBAGAME-26MAY20SASOKC,2026-05-20,SAS,OKC,401873198
away_home,KXNBAGAME-26MAY21CLENYK,2026-05-21,CLE,NYK,401873342
away_home,KXNBAGAME-26MAY22OKCSAS,2026-05-22,OKC,SAS,401873199
away_home,KXNBAGAME-26MAY23NYKCLE,2026-05-23,NYK,CLE,401873343
away_home,KXNBAGAME-26MAY24OKCSAS,2026-05-24,OKC,SAS,401873200
away_home,KXNBAGAME-26MAY25NYKCLE,2026-05-25,NYK,CLE,401873344
away_home,KXNBAGAME-26MAY26SASOKC,2026-05-26,SAS,OKC,401873201
away_home,KXNBAGAME-26MAY28OKCSAS,2026-05-28,OKC,SAS,401873202
away_home,KXNBAGAME-26MAY30SASOKC,2026-05-30,SAS,OKC,401873203
home_away,KXNBAGAME-26APR26BOSPHI,2026-04-26,BOS,PHI,
