stable_key,game_id,player_id,date,split_id,fold_status,baseline_minutes_crps,baseline_dnp_brier,baseline_dnp_logloss,baseline_pinball_q10,baseline_pinball_q50,baseline_pinball_q90,baseline_inside80,candidate_minutes_crps,candidate_dnp_brier,candidate_dnp_logloss,candidate_pinball_q10,candidate_pinball_q50,candidate_pinball_q90,candidate_inside80
0022300061|-3058254,0022300061,-3058254,2023-10-24,0,SCORED,15.0,1.0,27.631021115928547,1.5,7.5,13.5,0.0,15.0,1.0,27.631021115928547,1.5,7.5,13.5,0.0
0022300061|2544,0022300061,2544,2023-10-24,0,SCORED,29.0,1.0,27.631021115928547,2.9000000000000004,14.5,26.1,0.0,29.0,1.0,27.631021115928547,2.9000000000000004,14.5,26.1,0.0
0022300061|202704,0022300061,202704,2023-10-24,0,SCORED,24.0,1.0,27.631021115928547,2.4000000000000004,12.0,21.6,0.0,24.0,1.0,27.631021115928547,2.4000000000000004,12.0,21.6,0.0
0022300061|203076,0022300061,203076,2023-10-24,0,SCORED,34.0,1.0,27.631021115928547,3.4000000000000004,17.0,30.6,0.0,34.0,1.0,27.631021115928547,3.4000000000000004,17.0,30.6,0.0
0022300061|203484,0022300061,203484,2023-10-24,0,SCORED,36.0,1.0,27.631021115928547,3.6,18.0,32.4,0.0,36.0,1.0,27.631021115928547,3.6,18.0,32.4,0.0
0022300061|203932,0022300061,203932,2023-10-24,0,SCORED,35.0,1.0,27.631021115928547,3.5,17.5,31.5,0.0,35.0,1.0,27.631021115928547,3.5,17.5,31.5,0.0
0022300061|203999,0022300061,203999,2023-10-24,0,SCORED,36.0,1.0,27.631021115928547,3.6,18.0,32.4,0.0,36.0,1.0,27.631021115928547,3.6,18.0,32.4,0.0
0022300061|1626156,0022300061,1626156,2023-10-24,0,SCORED,36.0,1.0,27.631021115928547,3.6,18.0,32.4,0.0,36.0,1.0,27.631021115928547,3.6,18.0,32.4,0.0
0022300061|1627750,0022300061,1627750,2023-10-24,0,SCORED,34.0,1.0,27.631021115928547,3.4000000000000004,17.0,30.6,0.0,34.0,1.0,27.631021115928547,3.4000000000000004,17.0,30.6,0.0
0022300061|1627752,0022300061,1627752,2023-10-24,0,SCORED,30.0,1.0,27.631021115928547,3.0,15.0,27.0,0.0,30.0,1.0,27.631021115928547,3.0,15.0,27.0,0.0
0022300061|1629008,0022300061,1629008,2023-10-24,0,SCORED,30.0,1.0,27.631021115928547,3.0,15.0,27.0,0.0,30.0,1.0,27.631021115928547,3.0,15.0,27.0,0.0
0022300061|1629060,0022300061,1629060,2023-10-24,0,SCORED,15.0,1.0,27.631021115928547,1.5,7.5,13.5,0.0,15.0,1.0,27.631021115928547,1.5,7.5,13.5,0.0
0022300061|1629216,0022300061,1629216,2023-10-24,0,SCORED,22.0,1.0,27.631021115928547,2.2,11.0,19.8,0.0,22.0,1.0,27.631021115928547,2.2,11.0,19.8,0.0
0022300061|1629618,0022300061,1629618,2023-10-24,0,SCORED,1.0,1.0,27.631021115928547,0.1,0.5,0.9,0.0,1.0,1.0,27.631021115928547,0.1,0.5,0.9,0.0
0022300061|1629629,0022300061,1629629,2023-10-24,0,SCORED,18.0,1.0,27.631021115928547,1.8,9.0,16.2,0.0,18.0,1.0,27.631021115928547,1.8,9.0,16.2,0.0
0022300061|1629637,0022300061,1629637,2023-10-24,0,SCORED,7.0,1.0,27.631021115928547,0.7000000000000001,3.5,6.3,0.0,7.0,1.0,27.631021115928547,0.7000000000000001,3.5,6.3,0.0
0022300061|1630192,0022300061,1630192,2023-10-24,0,SCORED,12.0,1.0,27.631021115928547,1.2000000000000002,6.0,10.8,0.0,12.0,1.0,27.631021115928547,1.2000000000000002,6.0,10.8,0.0
0022300061|1630296,0022300061,1630296,2023-10-24,0,SCORED,1.0,1.0,27.631021115928547,0.1,0.5,0.9,0.0,1.0,1.0,27.631021115928547,0.1,0.5,0.9,0.0
