state_key,game_id,elapsed_s,home_polarity,score_semantics,clock,overtime,conservation,status,error_field
401810008:120,401810008,000143,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401811000:2520,401811000,002531,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810008:600,401810008,000598,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810032:2520,401810032,002522,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810048:1560,401810048,001562,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810076:1080,401810076,001058,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810128:600,401810128,000586,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401809806:1080,401809806,001091,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810160:120,401810160,000117,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810181:2520,401810181,002527,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401836802:600,401836802,000618,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810245:120,401810245,000099,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810265:2040,401810265,002009,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810335:2520,401810335,002511,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810363:2040,401810363,002024,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810390:2040,401810390,002058,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810419:120,401810419,000136,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810491:120,401810491,000144,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810521:1080,401810521,001061,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810545:1560,401810545,001554,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810626:1560,401810626,001572,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810655:120,401810655,000133,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810679:1560,401810679,001586,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810708:2520,401810708,002498,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810779:120,401810779,000142,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810805:600,401810805,000614,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810829:1560,401810829,001551,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810902:2520,401810902,002534,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401810945:1560,401810945,001551,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
401811000:2040,401811000,002034,PASS,FAIL,FAIL,FAIL,PASS,FAIL,score_semantics;clock;overtime
