path,n_rows,date_min,date_max,sports,prestart_quote,event_key_format,join_fields,status,reason
data/cache/inplay_odds/nba_checkpoints_full.parquet,465249,2024-10-22,2026-06-13,nba,NO,401704627|401704628|401704629,"game_id,game_date,ts,period,game_clock_s,score_home...",TARGET,state archive (join target); no start_ts field
data/cache/inplay_odds/wnba_checkpoints_full.parquet,18650,2026-05-31,2026-07-03,wnba,NO,401856952|401856953|401856954,"game_id,game_date,ts,period,game_clock_s,score_home...",TARGET,state archive (join target); no start_ts field
data/cache/ingame/mlb_pitch_states__2022.parquet,66266,2022-04-07,2022-04-22,mlb,NO,2022-04-07-ari-sdg-7|2022-04-07-atl-cin-5|2022-04-07-cub-mil-1,"sport,game_id,asof_idx,state_diff,frac_elapsed,p0...",TARGET,state archive (join target); no start_ts field
data/cache/ingame/mlb_pitch_states__2023.parquet,69823,2023-03-30,2023-04-14,mlb,NO,2023-03-30-bos-bal-3|2023-03-30-cin-pit-7|2023-03-30-cub-mil-4,"sport,game_id,asof_idx,state_diff,frac_elapsed,p0...",TARGET,state archive (join target); no start_ts field
data/cache/ingame/mlb_pitch_states__2024.parquet,70326,2024-03-20,2024-09-30,mlb,NO,2024-03-20-sdg-lad-1|2024-03-28-oak-cle-11|2024-03-29-oak-cle-7,"sport,game_id,asof_idx,state_diff,frac_elapsed,p0...",TARGET,state archive (join target); no start_ts field
data/cache/ingame/mlb_pitch_states__2025.parquet,65983,2025-03-18,2025-09-28,mlb,NO,2025-03-18-cub-lad-1|2025-03-27-sdg-atl-8|2025-03-28-sdg-atl-8,"sport,game_id,asof_idx,state_diff,frac_elapsed,p0...",TARGET,state archive (join target); no start_ts field
data/cache/ingame/mlb_pitch_states__2026.parquet,29319,2026-03-25,2026-06-16,mlb,NO,2026-03-25-sfo-nyy-1|2026-03-26-sea-cle-11|2026-03-28-atl-kan-11,"sport,game_id,asof_idx,state_diff,frac_elapsed,p0...",TARGET,state archive (join target); no start_ts field
data/cache/ingame/soccer_states__combo_eng_ger.parquet,25726,2023-08-11,2025-05-25,soccer,NO,704279|704280|704281,"sport,game_id,asof_idx,state_diff,frac_elapsed,p0...",TARGET,state archive (join target); no start_ts field
data/cache/ingame/soccer_states__combo_esp_ita.parquet,40318,2023-08-11,2025-05-25,soccer,NO,704660|704665|704661,"sport,game_id,asof_idx,state_diff,frac_elapsed,p0...",TARGET,state archive (join target); no start_ts field
data/cache/ingame/soccer_states__eng1.parquet,7220,2024-08-16,2025-05-25,soccer,NO,704279|704280|704281,"sport,game_id,asof_idx,state_diff,frac_elapsed,p0...",TARGET,state archive (join target); no start_ts field
data/cache/ingame/soccer_states__esp1.parquet,7220,2024-08-15,2025-05-25,soccer,NO,704660|704665|704661,"sport,game_id,asof_idx,state_diff,frac_elapsed,p0...",TARGET,state archive (join target); no start_ts field
