sport,season,n_events,doubleheader_keys,doubleheader_events,rematch_pairs,rematch_events,date_team_collision_keys,date_team_collision_events,multi_candidate_events,resolved_kept_first_bypair,resolved_kept_first_bydateteam,resolved_kept_all
nba,nba_full,001593,000000,000000,000194,000309,000002,000004,000004,000000,000002,000000
wnba,wnba_full,000085,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
mlb,2022,000199,000003,000006,000129,000189,000006,000006,000006,000003,000006,000000
mlb,2023,000200,000000,000000,000133,000190,000000,000000,000000,000000,000000,000000
mlb,2024,000243,000000,000000,000038,000074,000000,000000,000000,000000,000000,000000
mlb,2025,000231,000000,000000,000029,000058,000000,000000,000000,000000,000000,000000
mlb,2026,000100,000000,000000,000012,000024,000000,000000,000000,000000,000000,000000
soccer,combo_eng_ger,001354,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
soccer,combo_esp_ita,002122,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
soccer,eng1,000014,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
soccer,esp1,000007,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
soccer,ger1,000002,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
soccer,ita1,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
soccer,wc_2026,000096,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
tennis,atp,029572,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
tennis,wta,011016,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
