sport,season,n_events,real_pre_start,real_at_tip,real_first_inplay,real_none,control_pre_start,control_at_tip,control_first_inplay,control_none,residual_event_keys
nba,nba_full,001593,000000,000000,000000,001593,000000,000000,000000,001593,
wnba,wnba_full,000085,000000,000000,000000,000085,000000,000000,000000,000085,
mlb,2022,000199,000000,000000,000000,000199,000000,000000,000000,000199,
mlb,2023,000200,000000,000000,000000,000200,000000,000000,000000,000200,
mlb,2024,000243,000000,000000,000000,000243,000001,000000,000000,000242,2024-04-10-sfo-was-5
mlb,2025,000231,000000,000000,000000,000231,000000,000000,000000,000231,
mlb,2026,000100,000056,000000,000000,000044,000000,000000,000000,000100,
soccer,combo_eng_ger,001354,000000,000000,000000,001354,000000,000000,000000,001354,
soccer,combo_esp_ita,002122,000000,000000,000000,002122,000000,000000,000000,002122,
soccer,eng1,000014,000000,000000,000000,000014,000000,000000,000000,000014,
soccer,esp1,000007,000000,000000,000000,000007,000000,000000,000000,000007,
soccer,ger1,000002,000000,000000,000000,000002,000000,000000,000000,000002,
soccer,ita1,000000,000000,000000,000000,000000,000000,000000,000000,000000,
soccer,wc_2026,000096,000000,000000,000000,000096,000000,000000,000000,000096,
tennis,atp,029572,000000,000000,000000,029572,000000,000000,000000,029572,
tennis,wta,011016,000000,000000,000000,011016,000000,000000,000000,011016,
