clip,source_frame,g85_clip,g102_normalized_label,g85_blind_label,agreement
tennis__tennis_09.mp4,6962,tennis_09,uncertain,ball_visible,false
tennis__tennis_09.mp4,7022,tennis_09,ball_visible,ball_visible,true
tennis__tennis_09.mp4,7040,tennis_09,ball_visible,ball_visible,true
tennis__tennis_09.mp4,7082,tennis_09,ball_visible,ball_visible,true
tennis__tennis_09.mp4,7100,tennis_09,uncertain,ball_visible,false
tennis__tennis_09.mp4,7148,tennis_09,ball_visible,ball_visible,true
tennis__tennis_09.mp4,7166,tennis_09,ball_visible,ball_visible,true
tennis__tennis_09.mp4,7184,tennis_09,ball_visible,ball_visible,true
tennis__tennis_09.mp4,7196,tennis_09,ball_visible,uncertain,false
tennis__tennis_09.mp4,7208,tennis_09,ball_visible,ball_visible,true
tennis__tennis_09.mp4,7226,tennis_09,ball_visible,uncertain,false
tennis__tennis_09.mp4,7232,tennis_09,ball_visible,ball_visible,true
tennis__tennis_nyYk2nPZAwY_720p.mp4,33977,nyYk_720p,ball_visible,ball_visible,true
tennis__tennis_nyYk2nPZAwY_720p.mp4,33983,nyYk_720p,ball_visible,uncertain,false
tennis__tennis_nyYk2nPZAwY_720p.mp4,33995,nyYk_720p,ball_visible,ball_visible,true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34013,nyYk_720p,ball_visible,ball_visible,true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34025,nyYk_720p,ball_visible,ball_visible,true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34037,nyYk_720p,ball_visible,ball_visible,true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34043,nyYk_720p,ball_visible,ball_visible,true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34049,nyYk_720p,ball_visible,ball_visible,true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34061,nyYk_720p,ball_visible,ball_visible,true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34073,nyYk_720p,ball_visible,ball_visible,true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34085,nyYk_720p,ball_visible,ball_visible,true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34103,nyYk_720p,ball_visible,ball_visible,true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34109,nyYk_720p,ball_visible,ball_visible,true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34121,nyYk_720p,ball_visible,ball_visible,true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34127,nyYk_720p,ball_visible,ball_visible,true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34133,nyYk_720p,ball_visible,ball_visible,true
tennis__tennis_nyYk2nPZAwY_720p.mp4,34151,nyYk_720p,ball_visible,ball_visible,true
