ledger_ordinal,sport,game_id,rows,elapsed_seconds,strict_timeout_lower_bound_seconds
143,ncaa_basketball,ncaa_basketball_IB-_u4gW3ds,0,2707,2708
144,ncaa_basketball,ncaa_basketball_WFl3V7ZY4ss,0,2708,2709
145,ncaa_basketball,ncaa_basketball_sRtHQbywiTE,0,2708,2709
146,ncaa_basketball,ncaa_basketball_tiUvyvWOCxo,0,2709,2710
147,ncaa_basketball,ncaa_basketball_zqBCKovJCQU,0,2709,2710
156,wnba,wnba_01,0,2712,2713
157,wnba,wnba_02,0,2712,2713
158,wnba,wnba_05,0,2712,2713
159,wnba,wnba_06,0,2712,2713
183,wnba,wnba_01,0,2712,2713
187,wnba,wnba_02,0,2715,2716
188,ncaa_basketball,ncaa_basketball_IB-_u4gW3ds,0,2701,2702
191,wnba,wnba_04,0,2702,2703
193,ncaa_basketball,ncaa_basketball_tiUvyvWOCxo,0,2704,2705
201,wnba,wnba_05,0,2706,2707
202,ncaa_basketball,ncaa_basketball_sRtHQbywiTE,0,2707,2708
208,ncaa_basketball,ncaa_basketball_zqBCKovJCQU,0,2708,2709
244,ncaa_basketball,ncaa_basketball_IB-_u4gW3ds,0,3608,3609
245,ncaa_basketball,ncaa_basketball_sRtHQbywiTE,0,3609,3610
246,ncaa_basketball,ncaa_basketball_tiUvyvWOCxo,0,3609,3610
247,ncaa_basketball,ncaa_basketball_zqBCKovJCQU,0,3609,3610
344,ncaa_basketball,ncaa_basketball_WFl3V7ZY4ss,0,5416,5417
345,ncaa_basketball,ncaa_basketball_sRtHQbywiTE,0,5416,5417
346,ncaa_basketball,ncaa_basketball_tiUvyvWOCxo,4,5401,5402
347,ncaa_basketball,ncaa_basketball_zqBCKovJCQU,4,5401,5402
