clip_ordinal,clip_id,frame,source_render,named_line_families,line_family_count,independent_direction_count,yard_sideline_intersection_points,identifiable_hash_points_min,goal_end_corner_points,pylon_points,identifiable_point_lower_bound,legible_yard_number,absolute_yard_anchor
1,football__football_20pezoC5jRQ.mp4,5168,../g95_football_survey/renders/clip_01_group_1.jpg,,0,0,0,0,0,0,0,,0
1,football__football_20pezoC5jRQ.mp4,6378,../g95_football_survey/renders/clip_01_group_1.jpg,,0,0,0,0,0,0,0,,0
1,football__football_20pezoC5jRQ.mp4,6399,../g95_football_survey/renders/clip_01_group_1.jpg,,0,0,0,0,0,0,0,,0
1,football__football_20pezoC5jRQ.mp4,6738,../g95_football_survey/renders/clip_01_group_1.jpg,,0,0,0,0,0,0,0,,0
1,football__football_20pezoC5jRQ.mp4,7485,../g95_football_survey/renders/clip_01_group_2.jpg,,0,0,0,0,0,0,0,,0
1,football__football_20pezoC5jRQ.mp4,7560,../g95_football_survey/renders/clip_01_group_2.jpg,,0,0,0,0,0,0,0,,0
1,football__football_20pezoC5jRQ.mp4,8069,../g95_football_survey/renders/clip_01_group_2.jpg,yard_stripe|hash_mark|sideline,3,2,4,1,0,0,5,40|50,0
1,football__football_20pezoC5jRQ.mp4,12756,../g95_football_survey/renders/clip_01_group_2.jpg,,0,0,0,0,0,0,0,,0
1,football__football_20pezoC5jRQ.mp4,15778,../g95_football_survey/renders/clip_01_group_3.jpg,yard_stripe|hash_mark|sideline,3,2,3,1,0,0,4,20|30,0
1,football__football_20pezoC5jRQ.mp4,16875,../g95_football_survey/renders/clip_01_group_3.jpg,yard_stripe|hash_mark|sideline,3,2,4,1,0,0,5,20|30|40,0
1,football__football_20pezoC5jRQ.mp4,25330,../g95_football_survey/renders/clip_01_group_3.jpg,,0,0,0,0,0,0,0,,0
1,football__football_20pezoC5jRQ.mp4,25438,../g95_football_survey/renders/clip_01_group_3.jpg,,0,0,0,0,0,0,0,,0
3,football__football_5x9vPq9HsTI.mp4,4880,../g95_football_survey/renders/clip_03_group_1.jpg,yard_stripe|hash_mark,2,1,0,1,0,0,1,,0
3,football__football_5x9vPq9HsTI.mp4,10256,../g95_football_survey/renders/clip_03_group_1.jpg,yard_stripe|hash_mark|sideline,3,2,4,1,0,0,5,40,0
3,football__football_5x9vPq9HsTI.mp4,10715,../g95_football_survey/renders/clip_03_group_1.jpg,,0,0,0,0,0,0,0,,0
3,football__football_5x9vPq9HsTI.mp4,15298,../g95_football_survey/renders/clip_03_group_1.jpg,yard_stripe|hash_mark|sideline,3,2,5,1,0,0,6,20|30|40,0
3,football__football_5x9vPq9HsTI.mp4,18313,../g95_football_survey/renders/clip_03_group_2.jpg,yard_stripe|hash_mark,2,1,0,1,0,0,1,,0
3,football__football_5x9vPq9HsTI.mp4,18461,../g95_football_survey/renders/clip_03_group_2.jpg,yard_stripe|hash_mark,2,1,0,1,0,0,1,30|40,0
