sport,first_blocker,tables
UNKNOWN,unknown_sport_routing,1
baseball,coordinate_contract_image_px,25
baseball,empty_or_header_only,1
baseball,missing_required_coordinate_or_schema,10
basketball,coordinate_contract_image_px,4
basketball,missing_required_coordinate_or_schema,2
football,coordinate_contract_image_px,31
football,empty_or_header_only,4
football,missing_required_coordinate_or_schema,8
kbo,coordinate_contract_image_px,28
kbo,missing_required_coordinate_or_schema,9
npb,coordinate_contract_image_px,20
npb,missing_required_coordinate_or_schema,5
soccer,coordinate_contract_image_px,16
soccer,missing_required_coordinate_or_schema,9
tennis,INSUFFICIENT_DATA,2
tennis,eligible,7
tennis,empty_or_header_only,2
tennis,missing_required_coordinate_or_schema,5
wnba,coordinate_contract_image_px,7
