file_name,source_frame,content_label,frame_origin
kbo__kbo_2WqtNa-uUZU.mp4,7256,studio_or_desk,g113
kbo__kbo_2WqtNa-uUZU.mp4,11520,studio_or_desk,g117_added
kbo__kbo_2WqtNa-uUZU.mp4,24479,studio_or_desk,g113
kbo__kbo_2WqtNa-uUZU.mp4,38450,studio_or_desk,g113
kbo__kbo_2WqtNa-uUZU.mp4,46080,studio_or_desk,g117_added
kbo__kbo_8yxSFxuR2Lk.mp4,4624,graphic_or_scoreboard,g113
kbo__kbo_8yxSFxuR2Lk.mp4,5778,graphic_or_scoreboard,g117_added
kbo__kbo_8yxSFxuR2Lk.mp4,13485,graphic_or_scoreboard,g113
kbo__kbo_8yxSFxuR2Lk.mp4,23112,studio_or_desk,g117_added
kbo__kbo_8yxSFxuR2Lk.mp4,25061,studio_or_desk,g113
kbo__kbo_9Hv-cd-BmSY.mp4,3523,graphic_or_scoreboard,g113
kbo__kbo_9Hv-cd-BmSY.mp4,5776,studio_or_desk,g117_added
kbo__kbo_9Hv-cd-BmSY.mp4,13611,studio_or_desk,g113
kbo__kbo_9Hv-cd-BmSY.mp4,20182,studio_or_desk,g113
kbo__kbo_9Hv-cd-BmSY.mp4,23104,graphic_or_scoreboard,g117_added
kbo__kbo_ahHGpSJWcIU.mp4,4866,graphic_or_scoreboard,g113
kbo__kbo_ahHGpSJWcIU.mp4,5756,graphic_or_scoreboard,g117_added
kbo__kbo_ahHGpSJWcIU.mp4,17863,studio_or_desk,g113
kbo__kbo_ahHGpSJWcIU.mp4,19286,graphic_or_scoreboard,g113
kbo__kbo_ahHGpSJWcIU.mp4,23024,studio_or_desk,g117_added
kbo__kbo_bGQwZl43E9Y.mp4,3972,graphic_or_scoreboard,g113
kbo__kbo_bGQwZl43E9Y.mp4,5776,graphic_or_scoreboard,g117_added
kbo__kbo_bGQwZl43E9Y.mp4,11503,graphic_or_scoreboard,g113
kbo__kbo_bGQwZl43E9Y.mp4,20679,graphic_or_scoreboard,g113
kbo__kbo_bGQwZl43E9Y.mp4,23104,studio_or_desk,g117_added
kbo__kbo_FDSWjM_OaTs.mp4,5771,studio_or_desk,g117_added
kbo__kbo_FDSWjM_OaTs.mp4,6676,studio_or_desk,g113
kbo__kbo_FDSWjM_OaTs.mp4,13637,graphic_or_scoreboard,g113
kbo__kbo_FDSWjM_OaTs.mp4,23084,studio_or_desk,g117_added
kbo__kbo_FDSWjM_OaTs.mp4,23317,studio_or_desk,g113
kbo__kbo_Lh8n_DUXyGE.mp4,5776,studio_or_desk,g117_added
kbo__kbo_Lh8n_DUXyGE.mp4,7834,studio_or_desk,g113
kbo__kbo_Lh8n_DUXyGE.mp4,11060,graphic_or_scoreboard,g113
kbo__kbo_Lh8n_DUXyGE.mp4,22495,studio_or_desk,g113
kbo__kbo_Lh8n_DUXyGE.mp4,23104,studio_or_desk,g117_added
kbo__kbo_lIxmDQyQDtc.mp4,5778,studio_or_desk,g117_added
kbo__kbo_lIxmDQyQDtc.mp4,8636,graphic_or_scoreboard,g113
kbo__kbo_lIxmDQyQDtc.mp4,17090,studio_or_desk,g113
kbo__kbo_lIxmDQyQDtc.mp4,23112,graphic_or_scoreboard,g117_added
kbo__kbo_lIxmDQyQDtc.mp4,23692,studio_or_desk,g113
kbo__kbo_lrK_Hv6BEE0.mp4,8467,graphic_or_scoreboard,g113
kbo__kbo_lrK_Hv6BEE0.mp4,11556,studio_or_desk,g117_added
kbo__kbo_lrK_Hv6BEE0.mp4,27603,graphic_or_scoreboard,g113
kbo__kbo_lrK_Hv6BEE0.mp4,46224,studio_or_desk,g117_added
kbo__kbo_lrK_Hv6BEE0.mp4,48175,graphic_or_scoreboard,g113
kbo__kbo_qLQbGFQ0-EQ.mp4,5760,studio_or_desk,g117_added
kbo__kbo_qLQbGFQ0-EQ.mp4,6729,studio_or_desk,g113
kbo__kbo_qLQbGFQ0-EQ.mp4,14659,graphic_or_scoreboard,g113
kbo__kbo_qLQbGFQ0-EQ.mp4,23043,graphic_or_scoreboard,g117_added
kbo__kbo_qLQbGFQ0-EQ.mp4,24892,graphic_or_scoreboard,g113
kbo__kbo_tzC71aneg9c.mp4,5623,studio_or_desk,g113
kbo__kbo_tzC71aneg9c.mp4,5768,studio_or_desk,g117_added
kbo__kbo_tzC71aneg9c.mp4,18464,studio_or_desk,g113
kbo__kbo_tzC71aneg9c.mp4,23074,studio_or_desk,g117_added
kbo__kbo_tzC71aneg9c.mp4,25596,graphic_or_scoreboard,g113
kbo__kbo_W-tKSex-WPU.mp4,5770,studio_or_desk,g117_added
kbo__kbo_W-tKSex-WPU.mp4,7951,graphic_or_scoreboard,g113
kbo__kbo_W-tKSex-WPU.mp4,11704,studio_or_desk,g113
kbo__kbo_W-tKSex-WPU.mp4,23083,studio_or_desk,g117_added
kbo__kbo_W-tKSex-WPU.mp4,24152,studio_or_desk,g113
