audit_id,source_visible_paint_corners,source_judgement
G126_01,0,coach_closeup_no_paint
G126_02,0,basket_closeup_no_paint_rectangle
G126_03,0,midcourt_no_paint_rectangle
G126_04,0,cropped_floor_markings_not_a_discernible_paint_rectangle
G126_05,0,low_angle_occlusion_no_discernible_paint_corners
G126_06,0,player_closeup_no_paint_rectangle
G126_07,4,wide_halfcourt_paint_rectangle_discernible
G126_08,0,player_closeup_no_paint_rectangle
G126_09,0,player_closeup_no_paint_rectangle
G126_10,0,midcourt_no_paint_rectangle
G126_11,4,wide_paint_rectangle_discernible
G126_12,2,partial_paint_with_two_discernible_corners
G126_13,0,basket_view_without_discernible_paint_corners
G126_14,0,baseline_closeup_without_discernible_paint_corners
G126_15,0,player_closeup_no_paint_rectangle
G126_16,0,baseline_closeup_without_discernible_paint_corners
G126_17,0,coach_closeup_no_paint_rectangle
G126_18,0,cropped_paint_without_discernible_corner_intersections
G126_19,0,player_closeup_no_paint_rectangle
G126_20,0,player_closeup_no_paint_rectangle
G126_21,0,player_closeup_no_paint_rectangle
G126_22,0,player_closeup_no_paint_rectangle
G126_23,0,player_closeup_no_paint_rectangle
G126_24,2,partial_paint_with_two_discernible_corners
G126_25,4,wide_halfcourt_paint_rectangle_discernible
G126_26,0,player_closeup_no_paint_rectangle
G126_27,4,wide_paint_rectangle_discernible
G126_28,0,player_closeup_no_paint_rectangle
G126_29,4,wide_paint_rectangle_discernible
G126_30,4,wide_paint_rectangle_discernible
G126_31,2,partial_paint_with_two_discernible_corners
G126_32,0,midcourt_no_paint_rectangle
G126_33,0,basket_closeup_without_discernible_paint_corners
G126_34,4,wide_paint_rectangle_discernible
G126_35,4,wide_paint_rectangle_discernible
G126_36,0,player_closeup_no_paint_rectangle
G126_37,0,player_closeup_no_paint_rectangle
G126_38,4,wide_paint_rectangle_discernible
G126_39,0,midcourt_no_paint_rectangle
G126_40,0,basket_closeup_no_paint_rectangle
G126_41,4,wide_paint_rectangle_discernible
G126_42,0,player_closeup_no_paint_rectangle
G126_43,0,basket_view_without_discernible_paint_corners
G126_44,0,midcourt_no_paint_rectangle
G126_45,0,wide_view_without_discernible_paint_corners
