audit_id,clip,source_file,slot,source_frame,visible_paint_corners,reachable_four_corners
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s00__f001819,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,0,1819,4,1
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s01__f002206,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,1,2206,0,0
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s02__f004996,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,2,4996,0,0
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s03__f007587,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,3,7587,4,1
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s04__f009312,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,4,9312,0,0
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s05__f011205,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,5,11205,4,1
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s06__f012333,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,6,12333,4,1
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s07__f013534,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,7,13534,4,1
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s08__f017086,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,8,17086,0,0
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s09__f018914,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,9,18914,0,0
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s10__f019529,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,10,19529,4,1
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s11__f022318,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,11,22318,4,1
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s12__f023580,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,12,23580,0,0
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s13__f025545,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,13,25545,4,1
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,14,28171,4,1
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s00__f001004,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,0,1004,0,0
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s01__f001863,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,1,1863,4,1
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s02__f003055,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,2,3055,4,1
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,3,3973,4,1
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s04__f006006,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,4,6006,4,1
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s05__f006645,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,5,6645,4,1
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s06__f007251,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,6,7251,0,0
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s07__f009617,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,7,9617,0,0
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s08__f010427,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,8,10427,0,0
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s09__f011513,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,9,11513,4,1
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s10__f012791,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,10,12791,0,0
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s11__f014132,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,11,14132,4,1
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s12__f014619,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,12,14619,0,0
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,13,15785,4,1
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s14__f017188,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,14,17188,0,0
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__s00__f000414,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,0,414,0,0
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__s01__f002297,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,1,2297,0,0
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__s02__f003376,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,2,3376,0,0
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__s03__f006535,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,3,6535,0,0
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__s04__f007978,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,4,7978,0,0
