clip,frame_index,role,visible,baseline_detected,union_detected,baseline_matching_group_indices,union_matching_group_indices,additive_survived,endpoints
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,lane_left,true,true,true,21,24,true,"[[0,188],[215,199]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,lane_right,true,true,true,16;17;41,19;20;39;49,true,"[[0,287],[215,272]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,free_throw,true,true,true,25,7,true,"[[215,199],[215,272]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,lane_left,true,true,true,18;37,25;44,true,"[[0,188],[215,199]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,lane_right,true,true,true,0;31,38;39,true,"[[0,287],[215,272]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,lane_left,true,true,true,30,38,true,"[[0,198],[240,207]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,lane_right,true,true,true,12;16;20;45,17;21;56,true,"[[0,303],[240,278]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,lane_right,true,true,true,8,29,true,"[[0,284],[243,272]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,baseline,true,true,true,19,20,true,"[[565,137],[565,238]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,lane_left,true,true,true,11,11,true,"[[565,137],[390,177]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,lane_right,true,true,false,4;24,,false,"[[565,238],[390,226]]"
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,lane_right,true,true,true,4;50,4;38;52,true,"[[638,293],[355,277]]"
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,lane_right,true,true,true,10;37,14;52,true,"[[620,290],[360,272]]"
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,lane_left,true,true,true,42,55,true,"[[3,134],[266,166]]"
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,lane_right,true,true,true,11;12;27;33,18;34,true,"[[3,249],[266,235]]"
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,lane_right,true,true,true,47,63,true,"[[600,278],[420,251]]"
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,lane_right,true,true,true,19;43,20;52,true,"[[600,278],[408,250]]"
wnba__wnba_01,8448,lane_right,true,true,true,5;23;28,5;26;32;43,true,"[[639,237],[382,238]]"
wnba__wnba_01,11904,lane_left,true,true,true,5,7,true,"[[0,167],[267,187]]"
wnba__wnba_01,13632,lane_right,true,true,true,2;3,2;3,true,"[[639,211],[359,222]]"
wnba__wnba_01_1080p,360,lane_left,true,true,true,7;25;43,10;28,true,"[[639,130],[417,170]]"
wnba__wnba_01_1080p,360,lane_right,true,true,true,14;20;48;56,17;22;54;65,true,"[[639,213],[417,223]]"
wnba__wnba_01_1080p,12720,free_throw,true,true,true,2,3,true,"[[407,180],[407,244]]"
wnba__wnba_01_1080p,12720,lane_left,true,true,true,2;43,3;50,true,"[[600,142],[407,180]]"
wnba__wnba_05,6912,lane_right,true,true,true,55,72,true,"[[630,264],[415,250]]"
