clip,frame_count,height,source_clip,width,seed,stratum,frame_index,tile_filename
ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,28904,1080,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg.mp4,1920,137092026,0,1251,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg__s00__f1251.jpg
ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,28904,1080,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg.mp4,1920,137092026,1,3185,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg__s01__f3185.jpg
ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,28904,1080,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg.mp4,1920,137092026,2,5755,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg__s02__f5755.jpg
ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,28904,1080,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg.mp4,1920,137092026,3,8945,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg__s03__f8945.jpg
ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,28904,1080,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg.mp4,1920,137092026,4,10536,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg__s04__f10536.jpg
ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,28904,1080,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg.mp4,1920,137092026,5,13116,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg__s05__f13116.jpg
ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,28904,1080,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg.mp4,1920,137092026,6,15446,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg__s06__f15446.jpg
ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,28904,1080,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg.mp4,1920,137092026,7,18219,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg__s07__f18219.jpg
ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,28904,1080,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg.mp4,1920,137092026,8,21176,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg__s08__f21176.jpg
ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,28904,1080,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg.mp4,1920,137092026,9,21710,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg__s09__f21710.jpg
