clip,scored_frames
ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,12
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,11
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,12
ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,12
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,12
ncaa_basketball__ncaa_basketball_mRkuGgeECak,12
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,12
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,12
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,12
wnba__wnba_01,12
wnba__wnba_01_1080p,12
wnba__wnba_02,12
wnba__wnba_04,12
wnba__wnba_05,12
wnba__wnba_06,12
wnba__wnba_07,12
wnba__wnba_08,12
wnba__wnba_09,12
