selection_rank,clip,frame_index,stratum,role,claimed_group_index,claimed_correct,available_from_stable_groups,available_stable_group_index,unavailable_reason,render_path
1,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,11663,4,baseline,68,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_zqBCKovJCQU__f11663.jpg
1,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,11663,4,free_throw,3,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_zqBCKovJCQU__f11663.jpg
1,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,11663,4,lane_left,46,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_zqBCKovJCQU__f11663.jpg
1,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,11663,4,lane_right,5,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_zqBCKovJCQU__f11663.jpg
2,ncaa_basketball__ncaa_basketball_mRkuGgeECak,23649,9,baseline,14,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_mRkuGgeECak__f23649.jpg
2,ncaa_basketball__ncaa_basketball_mRkuGgeECak,23649,9,free_throw,78,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_mRkuGgeECak__f23649.jpg
2,ncaa_basketball__ncaa_basketball_mRkuGgeECak,23649,9,lane_left,5,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_mRkuGgeECak__f23649.jpg
2,ncaa_basketball__ncaa_basketball_mRkuGgeECak,23649,9,lane_right,16,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_mRkuGgeECak__f23649.jpg
3,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,16176,6,baseline,50,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_sRtHQbywiTE__f16176.jpg
3,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,16176,6,free_throw,70,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_sRtHQbywiTE__f16176.jpg
3,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,16176,6,lane_left,1,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_sRtHQbywiTE__f16176.jpg
3,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,16176,6,lane_right,48,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_sRtHQbywiTE__f16176.jpg
4,wnba__wnba_01_1080p,17917,11,baseline,6,false,false,,not_visibly_discernible,renders/wnba__wnba_01_1080p__f17917.jpg
4,wnba__wnba_01_1080p,17917,11,free_throw,7,false,false,,not_visibly_discernible,renders/wnba__wnba_01_1080p__f17917.jpg
4,wnba__wnba_01_1080p,17917,11,lane_left,55,false,false,,not_visibly_discernible,renders/wnba__wnba_01_1080p__f17917.jpg
4,wnba__wnba_01_1080p,17917,11,lane_right,59,false,false,,not_visibly_discernible,renders/wnba__wnba_01_1080p__f17917.jpg
5,wnba__wnba_08,27096,11,baseline,64,false,false,,not_in_view,renders/wnba__wnba_08__f27096.jpg
5,wnba__wnba_08,27096,11,free_throw,3,false,false,,not_in_view,renders/wnba__wnba_08__f27096.jpg
5,wnba__wnba_08,27096,11,lane_left,2,false,false,,not_in_view,renders/wnba__wnba_08__f27096.jpg
5,wnba__wnba_08,27096,11,lane_right,4,false,false,,not_in_view,renders/wnba__wnba_08__f27096.jpg
6,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5701,2,baseline,87,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__f5701.jpg
6,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5701,2,free_throw,145,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__f5701.jpg
6,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5701,2,lane_left,8,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__f5701.jpg
6,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5701,2,lane_right,92,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__f5701.jpg
7,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,26448,10,baseline,22,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_sRtHQbywiTE__f26448.jpg
7,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,26448,10,free_throw,91,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_sRtHQbywiTE__f26448.jpg
7,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,26448,10,lane_left,13,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_sRtHQbywiTE__f26448.jpg
7,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,26448,10,lane_right,3,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_sRtHQbywiTE__f26448.jpg
8,wnba__wnba_01,24705,10,baseline,68,false,false,,not_in_view,renders/wnba__wnba_01__f24705.jpg
8,wnba__wnba_01,24705,10,free_throw,8,false,false,,not_in_view,renders/wnba__wnba_01__f24705.jpg
8,wnba__wnba_01,24705,10,lane_left,69,false,false,,not_in_view,renders/wnba__wnba_01__f24705.jpg
8,wnba__wnba_01,24705,10,lane_right,33,false,false,,not_in_view,renders/wnba__wnba_01__f24705.jpg
9,wnba__wnba_04,25738,10,baseline,0,false,false,,not_in_view,renders/wnba__wnba_04__f25738.jpg
9,wnba__wnba_04,25738,10,free_throw,26,false,false,,not_in_view,renders/wnba__wnba_04__f25738.jpg
9,wnba__wnba_04,25738,10,lane_left,45,false,false,,not_in_view,renders/wnba__wnba_04__f25738.jpg
9,wnba__wnba_04,25738,10,lane_right,31,false,false,,not_in_view,renders/wnba__wnba_04__f25738.jpg
10,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,3185,1,baseline,2,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_4Drw9t7xqgg__f3185.jpg
10,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,3185,1,free_throw,49,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_4Drw9t7xqgg__f3185.jpg
10,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,3185,1,lane_left,3,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_4Drw9t7xqgg__f3185.jpg
10,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,3185,1,lane_right,6,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_4Drw9t7xqgg__f3185.jpg
11,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,14543,6,baseline,2,false,false,,not_visibly_discernible,renders/ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__f14543.jpg
11,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,14543,6,free_throw,4,false,true,0,,renders/ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__f14543.jpg
11,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,14543,6,lane_left,0,false,false,,not_visibly_discernible,renders/ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__f14543.jpg
11,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,14543,6,lane_right,18,false,false,,not_visibly_discernible,renders/ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__f14543.jpg
12,wnba__wnba_05,18068,7,baseline,0,false,false,,not_in_view,renders/wnba__wnba_05__f18068.jpg
12,wnba__wnba_05,18068,7,free_throw,91,false,false,,not_in_view,renders/wnba__wnba_05__f18068.jpg
