audit_id,rank,x_px,y_px,nearest_target_distance_px,on_any_target
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,1,392,322,125.542821,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,2,227,322,60.959003,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,3,443,332,177.200451,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,4,227,333,68.680419,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,5,217,322,68.818602,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,6,381,323,115.520561,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,7,132,319,97.718985,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,8,412,326,145.797805,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,9,118,325,86.815897,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,10,485,328,216.933169,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,11,456,331,189.446562,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,12,521,333,253.189652,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,13,557,334,288.721319,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,14,56,328,42.544095,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,15,148,319,113.053085,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,16,422,328,155.939091,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,17,227,303,50.566788,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,18,526,324,256.462473,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,19,571,331,302.001656,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,20,534,333,265.936083,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,21,392,334,129.865315,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,22,546,324,276.211875,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,23,261,307,27.730849,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,24,244,303,35.805028,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,25,263,354,72.691127,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,26,554,137,293.204707,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,27,80,329,57.280014,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,28,215,308,63.560994,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,29,87,306,50.921508,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,30,109,302,71.19691,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,31,119,303,81.215762,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,32,58,178,49.244289,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,33,545,334,276.925983,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,34,106,324,75.591005,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,35,90,329,64.815122,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,36,558,322,287.793329,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,37,538,136,278.280434,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,38,300,358,80.65358,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,39,579,343,312.020833,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,40,50,165,59.228372,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,41,428,343,166.571306,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,42,46,331,42.579338,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,43,69,166,64.884513,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,44,210,340,85.632938,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,45,351,130,121.511316,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,46,373,330,110.923397,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,47,401,146,149.040263,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,48,32,93,130.138388,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,49,302,137,91.394748,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,50,390,179,124.422667,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,51,88,195,57.306195,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,52,435,357,178.518907,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,53,70,182,52.009614,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,54,219,145,96.260064,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,55,400,156,143.178211,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,56,48,177,47.074409,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,57,575,137,313.320922,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,58,129,335,101.07423,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,59,49,207,19.416488,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,60,17,342,57.384667,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,61,364,130,130.138388,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,62,540,310,268.46415,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,63,239,107,122.122889,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,64,518,137,259.046328,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,65,588,310,316.241996,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,66,91,167,77.103826,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,67,603,311,331.271792,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,68,589,26,372.060479,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,69,231,101,130.299655,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,70,37,342,53.037722,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,71,324,186,62.801274,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,72,42,81,142.056327,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,73,552,30,338.998525,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,74,422,270,149.48244,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,75,609,137,346.112698,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,76,403,133,157.867033,False
