audit_id,clip,source_frame,role,target_x_px,target_y_px,proposal_count,nearest_proposal_distance_px,nearest_proposal_rank,available
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,28171,paint_near_baseline_left_corner,38,223,100,19.416488,59,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,28171,paint_near_baseline_right_corner,39,289,100,42.544095,14,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,28171,paint_near_free_throw_left_corner,274,224,100,62.801274,71,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,28171,paint_near_free_throw_right_corner,273,282,100,27.730849,23,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,3973,paint_near_baseline_left_corner,780,734,100,251.509443,21,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,3973,paint_near_baseline_right_corner,1420,780,100,197.230829,95,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,3973,paint_near_free_throw_left_corner,804,930,100,132.185476,21,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,3973,paint_near_free_throw_right_corner,1470,884,100,100.463924,97,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,15785,paint_near_baseline_left_corner,1376,679,100,298.484505,71,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,15785,paint_near_baseline_right_corner,1681,714,100,249.162598,55,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,15785,paint_near_free_throw_left_corner,1353,831,100,146.123236,71,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,15785,paint_near_free_throw_right_corner,1720,846,100,117.345643,64,False
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,ncaa_basketball__ncaa_basketball_mRkuGgeECak,16871,paint_near_baseline_left_corner,530,420,100,277.953233,65,False
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,ncaa_basketball__ncaa_basketball_mRkuGgeECak,16871,paint_near_baseline_right_corner,1100,435,100,293.109195,65,False
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,ncaa_basketball__ncaa_basketball_mRkuGgeECak,16871,paint_near_free_throw_left_corner,550,680,100,291.940062,77,False
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,ncaa_basketball__ncaa_basketball_mRkuGgeECak,16871,paint_near_free_throw_right_corner,1110,690,100,282.200283,72,False
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,6925,paint_near_baseline_left_corner,123,396,100,40.311289,83,False
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,6925,paint_near_baseline_right_corner,135,558,100,96.166522,73,False
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,6925,paint_near_free_throw_left_corner,596,443,100,193.258894,64,False
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,6925,paint_near_free_throw_right_corner,596,513,100,123.405835,64,False
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,2920,paint_near_baseline_left_corner,1015,338,100,315.006349,35,False
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,2920,paint_near_baseline_right_corner,1006,620,100,34.785054,35,False
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,2920,paint_near_free_throw_left_corner,580,423,100,214.394496,91,False
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,2920,paint_near_free_throw_right_corner,580,520,100,117.720007,91,False
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,5760,paint_near_baseline_left_corner,250,360,100,159.815519,40,False
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,5760,paint_near_baseline_right_corner,286,645,100,285.748141,42,False
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,5760,paint_near_free_throw_left_corner,720,535,100,329.388828,43,False
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,5760,paint_near_free_throw_right_corner,725,700,100,164.368488,43,False
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,20340,paint_near_baseline_left_corner,1600,380,100,251.199124,55,False
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,20340,paint_near_baseline_right_corner,1620,640,100,511.097838,55,False
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,20340,paint_near_free_throw_left_corner,865,475,100,389.062977,73,False
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,20340,paint_near_free_throw_right_corner,900,620,100,245.601303,73,False
wnba__wnba_01_1080p__s01__f001600,wnba__wnba_01_1080p,1600,paint_near_baseline_left_corner,350,400,100,256.082018,50,False
wnba__wnba_01_1080p__s01__f001600,wnba__wnba_01_1080p,1600,paint_near_baseline_right_corner,835,420,100,149.402142,80,False
wnba__wnba_01_1080p__s01__f001600,wnba__wnba_01_1080p,1600,paint_near_free_throw_left_corner,390,696,100,306.218876,66,False
wnba__wnba_01_1080p__s01__f001600,wnba__wnba_01_1080p,1600,paint_near_free_throw_right_corner,990,730,100,83.862983,93,False
wnba__wnba_01_1080p__s03__f004062,wnba__wnba_01_1080p,4062,paint_near_baseline_left_corner,1700,430,100,287.868025,82,False
wnba__wnba_01_1080p__s03__f004062,wnba__wnba_01_1080p,4062,paint_near_baseline_right_corner,1700,595,100,219.209945,82,False
wnba__wnba_01_1080p__s03__f004062,wnba__wnba_01_1080p,4062,paint_near_free_throw_left_corner,950,483,100,411.963591,38,False
wnba__wnba_01_1080p__s03__f004062,wnba__wnba_01_1080p,4062,paint_near_free_throw_right_corner,1010,610,100,321.174407,38,False
wnba__wnba_01_1080p__s06__f007539,wnba__wnba_01_1080p,7539,paint_near_baseline_left_corner,90,330,100,238.438671,64,False
wnba__wnba_01_1080p__s06__f007539,wnba__wnba_01_1080p,7539,paint_near_baseline_right_corner,75,579,100,76.896034,64,False
wnba__wnba_01_1080p__s06__f007539,wnba__wnba_01_1080p,7539,paint_near_free_throw_left_corner,795,426,100,200.369658,89,False
wnba__wnba_01_1080p__s06__f007539,wnba__wnba_01_1080p,7539,paint_near_free_throw_right_corner,795,580,100,152.266214,97,False
wnba__wnba_02__s11__f021983,wnba__wnba_02,21983,paint_near_baseline_left_corner,300,255,100,158.151826,69,False
wnba__wnba_02__s11__f021983,wnba__wnba_02,21983,paint_near_baseline_right_corner,960,265,100,144.678955,96,False
wnba__wnba_02__s11__f021983,wnba__wnba_02,21983,paint_near_free_throw_left_corner,330,620,100,72.422372,37,False
wnba__wnba_02__s11__f021983,wnba__wnba_02,21983,paint_near_free_throw_right_corner,1020,650,100,111.40018,57,False
wnba__wnba_04__s06__f012223,wnba__wnba_04,12223,paint_near_baseline_left_corner,100,280,100,109.603832,69,False
wnba__wnba_04__s06__f012223,wnba__wnba_04,12223,paint_near_baseline_right_corner,670,300,100,210.097596,96,False
wnba__wnba_04__s06__f012223,wnba__wnba_04,12223,paint_near_free_throw_left_corner,140,600,100,175.413796,76,False
wnba__wnba_04__s06__f012223,wnba__wnba_04,12223,paint_near_free_throw_right_corner,690,620,100,42.638011,52,False
wnba__wnba_06__s03__f007237,wnba__wnba_06,7237,paint_near_baseline_left_corner,1740,420,100,58.694122,83,False
wnba__wnba_06__s03__f007237,wnba__wnba_06,7237,paint_near_baseline_right_corner,1740,710,100,116.846053,34,False
wnba__wnba_06__s03__f007237,wnba__wnba_06,7237,paint_near_free_throw_left_corner,995,520,100,95.900991,66,False
wnba__wnba_06__s03__f007237,wnba__wnba_06,7237,paint_near_free_throw_right_corner,1010,680,100,60.827625,88,False
wnba__wnba_06__s07__f014099,wnba__wnba_06,14099,paint_near_baseline_left_corner,300,450,100,77.155687,48,False
wnba__wnba_06__s07__f014099,wnba__wnba_06,14099,paint_near_baseline_right_corner,300,730,100,102.956301,34,False
wnba__wnba_06__s07__f014099,wnba__wnba_06,14099,paint_near_free_throw_left_corner,1070,500,100,108.747414,78,False
wnba__wnba_06__s07__f014099,wnba__wnba_06,14099,paint_near_free_throw_right_corner,1080,705,100,62.361847,11,False
wnba__wnba_06__s09__f018997,wnba__wnba_06,18997,paint_near_baseline_left_corner,1800,400,100,55.443665,7,False
wnba__wnba_06__s09__f018997,wnba__wnba_06,18997,paint_near_baseline_right_corner,1800,720,100,215.671046,20,False
wnba__wnba_06__s09__f018997,wnba__wnba_06,18997,paint_near_free_throw_left_corner,740,510,100,52.430907,86,False
wnba__wnba_06__s09__f018997,wnba__wnba_06,18997,paint_near_free_throw_right_corner,740,700,100,121.696343,57,False
wnba__wnba_07__s08__f016801,wnba__wnba_07,16801,paint_near_baseline_left_corner,200,440,100,510.153898,57,False
wnba__wnba_07__s08__f016801,wnba__wnba_07,16801,paint_near_baseline_right_corner,200,750,100,239.635139,74,False
wnba__wnba_07__s08__f016801,wnba__wnba_07,16801,paint_near_free_throw_left_corner,1100,480,100,113.863954,42,False
wnba__wnba_07__s08__f016801,wnba__wnba_07,16801,paint_near_free_throw_right_corner,1100,740,100,65.215029,91,False
