directory_name,table_path,rows,acquisition_sport,harness_sport,status,evaluated_frames,coverage_on_evaluated_frames_pct,ball_valid_on_evaluated_frames_pct,verdict,passed,first_failure_category,first_failure_head,reason
football_Z8Ezd95NnjM,/workspace/nba-ai-system/data/tracking/football_Z8Ezd95NnjM/tracking_data.csv,136911,football,football,SCORED,30000,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport football; a preserved detection corpus is never a scorable game,
football_wHZt1eY3A9s,/workspace/nba-ai-system/data/tracking/football_wHZt1eY3A9s/tracking_data.csv,258248,football,football,SCORED,30000,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport football; a preserved detection corpus is never a scorable game,
football_yahhMkUWd7c,/workspace/nba-ai-system/data/tracking/football_yahhMkUWd7c/tracking_data.csv,147019,football,football,SCORED,30000,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport football; a preserved detection corpus is never a scorable game,
g172_cv2_environment_gap_20260903_a5,/workspace/nba-ai-system/data/tracking/g172_cv2_environment_gap_20260903_a5/tracking_data.csv,6511,,,UNSCORABLE,,,,,,,durable harness_verdict.json with csv_fsynced=true absent
kbo_01,/workspace/nba-ai-system/data/tracking/kbo_01/tracking_data.csv,63497,kbo,baseball,SCORED,11529,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
kbo_02,/workspace/nba-ai-system/data/tracking/kbo_02/tracking_data.csv,39744,kbo,baseball,SCORED,8085,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
kbo_03,/workspace/nba-ai-system/data/tracking/kbo_03/tracking_data.csv,39254,kbo,baseball,SCORED,7830,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
kbo_04,/workspace/nba-ai-system/data/tracking/kbo_04/tracking_data.csv,54914,kbo,baseball,SCORED,11952,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
kbo_05,/workspace/nba-ai-system/data/tracking/kbo_05/tracking_data.csv,53295,kbo,baseball,SCORED,8781,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
kbo_06,/workspace/nba-ai-system/data/tracking/kbo_06/tracking_data.csv,47317,kbo,baseball,SCORED,8866,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
kbo_07,/workspace/nba-ai-system/data/tracking/kbo_07/tracking_data.csv,49366,kbo,baseball,SCORED,9030,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
kbo_08,/workspace/nba-ai-system/data/tracking/kbo_08/tracking_data.csv,76995,kbo,baseball,SCORED,11923,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
mlb_2026-08-30_03d78bee,/workspace/nba-ai-system/data/tracking/mlb_2026-08-30_03d78bee/tracking_data.csv,39998,mlb,baseball,SCORED,6311,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
mlb_2026-08-30_08b16ce9,/workspace/nba-ai-system/data/tracking/mlb_2026-08-30_08b16ce9/tracking_data.csv,49132,mlb,baseball,SCORED,8225,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
mlb_2026-08-30_0f36e8cc,/workspace/nba-ai-system/data/tracking/mlb_2026-08-30_0f36e8cc/tracking_data.csv,54537,mlb,baseball,SCORED,8180,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
mlb_2026-08-30_10893dca,/workspace/nba-ai-system/data/tracking/mlb_2026-08-30_10893dca/tracking_data.csv,32380,mlb,baseball,SCORED,6506,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
mlb_2026-08-30_1c6706c6,/workspace/nba-ai-system/data/tracking/mlb_2026-08-30_1c6706c6/tracking_data.csv,42691,mlb,baseball,SCORED,6703,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
mlb_2026-08-30_2143de43,/workspace/nba-ai-system/data/tracking/mlb_2026-08-30_2143de43/tracking_data.csv,46570,mlb,baseball,SCORED,7261,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
mlb_2026-08-30_2b814fad,/workspace/nba-ai-system/data/tracking/mlb_2026-08-30_2b814fad/tracking_data.csv,46490,mlb,baseball,SCORED,6697,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
mlb_2026-08-30_3a02d9b3,/workspace/nba-ai-system/data/tracking/mlb_2026-08-30_3a02d9b3/tracking_data.csv,35882,mlb,baseball,SCORED,6155,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
mlb_2026-08-30_7e8080e5,/workspace/nba-ai-system/data/tracking/mlb_2026-08-30_7e8080e5/tracking_data.csv,48816,mlb,baseball,SCORED,6839,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
mlb_2026-08-30_f8812b72,/workspace/nba-ai-system/data/tracking/mlb_2026-08-30_f8812b72/tracking_data.csv,60952,mlb,baseball,SCORED,9959,,,FAIL,false,coordinate_contract,coordinate_contract: rows declare coordinate_space image_px not accepted for sport baseball; a preserved detection corpus is never a scorable game,
