candidate,audit_id,image_width,image_height,proposals,matched_roles,all_four_within_12px
mlsd_512_tiny_fp32_segment_intersections,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,1920,1080,12,0,False
mlsd_512_tiny_fp32_segment_intersections,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,1920,1080,27,0,False
mlsd_512_tiny_fp32_segment_intersections,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,640,360,14,0,False
mlsd_512_tiny_fp32_segment_intersections,ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,1920,1080,11,0,False
mlsd_512_tiny_fp32_segment_intersections,ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925,1280,720,9,0,False
mlsd_512_tiny_fp32_segment_intersections,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920,1280,720,27,0,False
mlsd_512_tiny_fp32_segment_intersections,ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760,1920,1080,23,0,False
mlsd_512_tiny_fp32_segment_intersections,ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340,1920,1080,22,0,False
mlsd_512_tiny_fp32_segment_intersections,wnba__wnba_01_1080p__s01__f001600,1920,1080,13,1,False
mlsd_512_tiny_fp32_segment_intersections,wnba__wnba_01_1080p__s03__f004062,1920,1080,25,1,False
mlsd_512_tiny_fp32_segment_intersections,wnba__wnba_01_1080p__s06__f007539,1920,1080,13,0,False
mlsd_512_tiny_fp32_segment_intersections,wnba__wnba_02__s11__f021983,1280,720,12,0,False
mlsd_512_tiny_fp32_segment_intersections,wnba__wnba_04__s06__f012223,1280,720,3,0,False
mlsd_512_tiny_fp32_segment_intersections,wnba__wnba_06__s03__f007237,1920,1080,5,0,False
mlsd_512_tiny_fp32_segment_intersections,wnba__wnba_06__s07__f014099,1920,1080,10,0,False
mlsd_512_tiny_fp32_segment_intersections,wnba__wnba_06__s09__f018997,1920,1080,18,0,False
mlsd_512_tiny_fp32_segment_intersections,wnba__wnba_07__s08__f016801,1920,1080,21,0,False
