frame,track_id,cls,x,y,calibration_provenance,projection_status,projection_rejection_reason,raw_projected_x_ft,raw_projected_y_ft,coordinate_space,observation,calibration,source_fps,source_height,source_duration
372,1,player,-0.9546734094619751,21.423254013061523,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
372,2,player,81.08777618408203,5.466190338134766,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1254,3,player,3.3221590518951416,13.164312362670898,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1254,4,player,66.64590454101562,29.527206420898438,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1338,5,player,3.7089059352874756,13.339372634887695,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1338,6,player,67.248046875,29.894811630249023,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1362,7,player,5.331492900848389,14.071486473083496,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1362,8,player,68.97660827636719,29.292396545410156,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1365,7,player,5.168421268463135,14.007466316223145,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1365,8,player,69.08324432373047,29.129356384277344,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1368,7,player,5.034689903259277,13.917943954467773,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1368,8,player,68.98895263671875,29.00762939453125,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1371,7,player,4.732720851898193,13.868644714355469,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1371,8,player,65.15257263183594,27.643362045288086,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1380,7,player,3.8213586807250977,14.89077091217041,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1380,8,player,63.11066818237305,25.767040252685547,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1389,7,player,1.876375675201416,16.60976219177246,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1389,8,player,64.07603454589844,23.17892837524414,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
