source_frame,frame_file,located_players,g284_sealed_visible_players,g270_on_court_footpoints,matched_players_at_25px,unmatched_footpoints_at_25px,matched_players_at_50px,unmatched_footpoints_at_50px,matched_players_at_100px,unmatched_footpoints_at_100px
19630,part_a_000.jpg,10,10,7,0,7,0,7,0,7
19879,part_a_004.jpg,10,10,6,0,6,0,6,3,3
20190,part_a_009.jpg,10,10,2,1,1,1,1,1,1
20440,part_a_013.jpg,8,10,9,0,9,0,9,1,8
20689,part_a_017.jpg,10,10,10,0,10,1,9,3,7
20938,part_a_021.jpg,10,10,5,0,5,0,5,0,5
21187,part_a_025.jpg,9,10,4,0,4,1,3,1,3
21499,part_a_030.jpg,8,10,9,0,9,0,9,1,8
21686,part_a_033.jpg,10,10,10,1,9,1,9,3,7
21935,part_a_037.jpg,10,10,5,0,5,0,5,0,5
22247,part_a_042.jpg,10,10,3,0,3,1,2,2,1
22496,part_a_046.jpg,9,10,5,1,4,2,3,2,3
22683,part_a_049.jpg,10,10,6,0,6,0,6,0,6
22994,part_a_054.jpg,10,10,3,0,3,0,3,0,3
23368,part_a_060.jpg,9,10,4,0,4,0,4,0,4
