source_frame,person_index,role,feet_visible,foot_x_px,foot_y_px,confidence,note
0,1,player_on_court,false,,,approximate,Rear dark-uniform player at center-left; feet blocked by nearer people
0,2,player_on_court,true,900,443,approximate,Rear white-uniform player at center; visible white shoe contact beside jump circle
0,3,player_on_court,true,852,482,approximate,Near dark-uniform center-circle player with blue lower legs; two-foot contact midpoint
0,4,player_on_court,true,920,482,approximate,Near white-uniform center-circle player; visible shoe-contact midpoint
0,5,player_on_court,true,1020,422,approximate,Rear white-uniform player bending at right of center; feet overlap nearer player
0,6,player_on_court,true,1049,432,approximate,Dark-uniform player bending at right of center; visible dark shoe contacts
0,7,player_on_court,true,1087,459,approximate,Rightmost white-uniform player in green shoes
0,8,official,true,883,450,approximate,Gray-backed official between the two center-circle foreground players
0,9,official,false,,,confident,Near-right official with number on gray back; feet behind foreground crowd
0,10,official,true,586,343,approximate,Far sideline gray-shirted official left of center
0,11,other,false,,,approximate,Near sideline light-blue long-sleeved staff figure; lower body blocked by crowd
7584,1,player_on_court,true,94,689,confident,Far-left white number 21; visible floor contacts
7584,2,player_on_court,true,378,774,approximate,Left dark-uniform player with blue sleeve and blue leg covering; spread contact midpoint
7584,3,player_on_court,true,616,775,confident,White number 22; right green shoe grounded and left foot raised
7584,4,player_on_court,true,716,803,confident,Central dark-uniform player in mint shoes; contact midpoint
7584,5,player_on_court,true,947,726,approximate,Dark number 15 behind central players; purple shoes in motion
7584,6,player_on_court,true,1185,817,confident,Foreground right white-uniform player; contact midpoint between white shoes
7584,7,player_on_court,true,1190,739,approximate,Almost entirely occluded player behind foreground white player; visible yellow-green shoe and lower leg
7584,8,official,true,1866,750,confident,Gray-shirted official at right image edge
7584,9,spectator_or_media,true,1622,710,confident,Seated courtside woman in pink outer layer
7584,10,spectator_or_media,true,1742,720,confident,Seated courtside woman in black with light outer layer
7584,11,bench_or_coach,true,30,650,approximate,Far-left seated bench staff in light shirt; shoe partly behind on-court player
7584,12,bench_or_coach,true,184,646,approximate,Seated dark warmup bench member left side with pink shoes
7584,13,bench_or_coach,true,254,649,approximate,Adjacent seated dark warmup bench member with bright shoes
15168,1,player_on_court,true,366,435,approximate,Left dark number 15 in purple shoes
15168,2,player_on_court,true,531,523,approximate,White player behind left dark player; yellow shoe contacts
