source_frame,detection_index,x1,y1,x2,y2,confidence,foot_x_px,foot_y_px
19630,0,1054.5,613.5,1185.0,865.5,0.77392578125,1119,865
19630,1,823.5,546.0,922.5,801.75,0.68408203125,872,801
19630,2,581.25,654.75,687.0,867.75,0.6298828125,634,867
19630,3,331.125,627.0,452.625,876.0,0.57080078125,391,876
19630,4,1440.0,489.0,1521.0,775.5,0.56884765625,1480,775
19630,5,792.0,345.375,862.5,555.375,0.548828125,827,555
19630,6,718.125,637.875,823.5,865.5,0.5078125,770,865
19630,7,1518.0,383.25,1587.0,623.25,0.4736328125,1552,623
19879,0,1140.75,339.0,1272.75,585.75,0.638671875,1206,585
19879,1,573.75,408.0,653.25,651.0,0.57373046875,613,651
19879,2,844.5,527.25,931.5,781.5,0.57080078125,887,781
19879,3,1249.5,576.0,1345.5,795.0,0.5302734375,1297,795
19879,4,378.0,883.5,465.75,975.0,0.419677734375,421,975
19879,5,728.625,342.0,816.0,577.5,0.359375,772,577
19879,6,1419.0,210.75,1486.5,392.25,0.323486328125,1452,392
20190,0,1839.0,863.25,1920.0,972.75,0.529296875,1879,972
20190,1,1002.0,264.0,1092.0,427.5,0.4619140625,1047,427
20190,2,375.75,537.0,479.25,768.0,0.439697265625,427,768
20440,0,1293.75,498.75,1455.75,734.25,0.75830078125,1374,734
20440,1,1468.5,349.5,1599.0,611.25,0.65673828125,1533,611
20440,2,358.125,376.875,472.875,590.625,0.64794921875,415,590
20440,3,1.3125,882.0,129.9375,972.0,0.5546875,65,972
20440,4,287.25,870.0,407.25,975.0,0.544921875,347,975
20440,5,540.75,786.0,651.75,862.5,0.4755859375,595,862
20440,6,640.5,625.5,753.75,841.5,0.42333984375,696,841
20440,7,661.5,781.5,753.0,862.5,0.367431640625,707,862
20440,8,769.5,777.0,861.0,864.0,0.35498046875,815,864
20440,9,945.75,222.375,993.75,409.5,0.35400390625,969,409
20440,10,1208.25,578.25,1298.25,763.5,0.3056640625,1253,763
20689,0,999.75,241.5,1158.75,476.25,0.65380859375,1078,476
20689,1,88.3125,840.0,226.875,975.0,0.61865234375,157,975
20689,2,879.0,287.625,1011.0,514.125,0.61669921875,945,514
20689,3,210.75,436.5,384.75,704.25,0.59619140625,297,704
20689,4,223.125,834.75,365.625,971.25,0.4951171875,294,971
20689,5,1735.5,819.0,1864.5,955.5,0.4892578125,1799,955
20689,6,1176.0,448.125,1383.0,691.125,0.4765625,1279,691
20689,7,1176.0,253.125,1306.5,466.875,0.4638671875,1241,466
20689,8,1.40625,841.5,108.0,973.5,0.316650390625,54,973
20689,9,113.625,360.0,222.0,610.5,0.31494140625,167,610
20938,0,786.0,128.25,1281.0,876.0,0.8935546875,1033,876
20938,1,1396.5,27.0,1681.5,969.0,0.86572265625,1538,969
20938,2,147.375,547.125,481.125,973.5,0.80810546875,314,973
20938,3,1669.5,2.25,1918.5,297.0,0.72119140625,1793,297
20938,4,921.0,3.0,1279.5,384.375,0.68505859375,1100,384
20938,5,0.0,46.5,323.25,957.0,0.6767578125,161,957
20938,6,1211.25,3.28125,1394.25,367.125,0.5068359375,1302,367
20938,7,5.625,12.0,325.6875,576.0,0.408203125,165,576
20938,8,235.125,2.7890625,396.375,93.9375,0.3896484375,315,93
21187,0,714.75,364.5,915.75,744.75,0.86279296875,814,744
21187,1,1143.0,467.25,1389.0,859.5,0.7470703125,1266,859
21187,2,1365.0,367.5,1533.0,660.0,0.73779296875,1449,660
21187,3,598.5,321.0,658.5,477.75,0.64697265625,628,477
21187,4,1068.0,262.5,1117.5,404.25,0.408203125,1092,404
21499,0,1134.0,385.5,1266.0,618.0,0.82421875,1200,618
21499,1,984.0,383.25,1075.5,603.75,0.69189453125,1029,603
21499,2,1312.5,588.0,1387.5,822.75,0.59375,1349,822
21499,3,955.5,285.0,1018.5,480.75,0.517578125,986,480
21499,4,587.25,721.125,692.25,862.5,0.5087890625,639,862
21499,5,1830.0,834.0,1920.0,963.0,0.406494140625,1875,963
21499,6,493.5,452.25,615.0,658.5,0.404541015625,554,658
21499,7,603.0,322.5,703.5,501.0,0.394287109375,653,501
21499,8,1581.0,819.0,1701.0,966.0,0.350341796875,1641,966
21499,9,111.9375,783.0,214.6875,900.0,0.301513671875,162,900
21686,0,1704.0,843.0,1830.0,973.5,0.5830078125,1767,973
21686,1,183.1875,516.0,277.6875,729.0,0.54296875,230,729
21686,2,1014.0,576.0,1146.0,837.0,0.51953125,1080,837
21686,3,1836.0,855.75,1920.0,966.75,0.48828125,1878,966
21686,4,667.5,744.0,765.0,864.0,0.4833984375,716,864
21686,5,1524.0,817.5,1662.0,970.5,0.46875,1593,970
21686,6,1459.5,896.25,1533.0,971.25,0.4072265625,1496,971
21686,7,392.25,445.5,464.25,648.0,0.391357421875,428,648
21686,8,955.5,511.875,1039.5,656.625,0.342529296875,997,656
21686,9,812.25,258.375,890.25,428.25,0.32421875,851,428
21686,10,29.34375,386.25,133.875,595.5,0.320068359375,81,595
21935,0,802.5,167.0625,865.5,338.0625,0.6083984375,833,338
21935,1,584.25,308.0625,650.25,462.75,0.49609375,617,462
21935,2,948.0,382.5,1023.0,580.5,0.4814453125,985,580
21935,3,687.75,487.125,771.75,676.875,0.445556640625,729,676
21935,4,1477.5,406.5,1545.0,572.25,0.3857421875,1511,572
21935,5,1854.0,389.25,1920.0,615.0,0.35498046875,1887,615
21935,6,1253.25,331.6875,1334.25,537.0,0.3388671875,1293,537
21935,7,1339.5,480.0,1417.5,685.5,0.3056640625,1378,685
22247,0,589.875,410.25,682.875,599.25,0.6396484375,635,599
22247,1,1378.5,278.625,1453.5,457.125,0.4970703125,1415,457
22247,2,1078.5,371.25,1170.0,582.75,0.43212890625,1124,582
22247,3,81.28125,350.25,143.71875,533.25,0.3896484375,112,533
22247,4,1515.0,293.8125,1587.0,480.0,0.32177734375,1551,480
22496,0,619.875,468.75,713.625,713.25,0.7548828125,666,713
22496,1,871.5,376.5,976.5,597.0,0.69921875,923,597
22496,2,382.5,308.4375,455.25,501.75,0.5849609375,418,501
22496,3,305.625,600.0,400.125,857.25,0.56787109375,352,857
22496,4,372.0,870.0,466.5,970.5,0.46484375,419,970
22496,5,870.0,179.25,927.0,339.375,0.309814453125,898,339
22683,0,1216.5,108.75,1731.0,969.0,0.66259765625,1473,969
22683,1,720.75,88.5,1508.25,881.25,0.6533203125,1114,881
22683,2,486.0,195.0,957.0,873.0,0.6103515625,721,873
22683,3,371.8125,4.125,828.0,164.25,0.53125,599,164
22683,4,2.25,137.25,489.0,966.75,0.529296875,245,966
22683,5,294.75,175.5,720.0,963.0,0.517578125,507,963
22683,6,46.5,168.0,725.25,972.0,0.318359375,385,972
22994,0,1662.0,153.0,1920.0,970.5,0.90087890625,1791,970
22994,1,0.0,283.5,279.9375,934.5,0.857421875,139,934
22994,2,855.0,59.25,1167.0,855.0,0.8056640625,1011,855
22994,3,684.0,533.25,795.0,692.25,0.400634765625,739,692
23368,0,355.875,792.0,487.875,973.5,0.794921875,421,973
23368,1,800.25,73.40625,876.75,254.25,0.78857421875,838,254
23368,2,1133.25,94.40625,1254.75,281.25,0.77392578125,1193,281
23368,3,950.25,273.0,1031.25,451.5,0.751953125,990,451
23368,4,588.75,115.78125,696.75,296.625,0.75,642,296
23368,5,1304.25,204.75,1394.25,336.0,0.6611328125,1349,336
23368,6,380.625,603.0,577.875,828.0,0.63525390625,478,828
23368,7,1330.5,648.0,1510.5,825.0,0.4111328125,1420,825
