track_id,observation_count,step_count,first_frame,last_frame,min_x_px,max_x_px,min_y_px,max_y_px,path_length_px,footpoint_bbox_diagonal_px,median_step_displacement_px,eligible,observations_top_strip_0_89,observations_score_bug_90_300,observations_lower_third_850_980,observations_bottom_strip_990_1079,observations_other
1,942,941,19599,21065,30.3046875,1899.0,96.5625,976.5,40548.30438134987,2065.505307392291,8.25,True,0,70,340,0,532
2,1139,1138,19599,21065,26.90625,1896.0,123.375,982.5,44834.98952957355,2057.087069599647,7.501171691951729,True,0,25,280,0,834
3,73,72,19599,19671,1351.5,1896.0,752.25,858.0,629.9175122636066,554.674059696323,6.408002808988148,True,0,0,2,0,71
4,364,363,19599,20123,41.0859375,1899.0,392.25,979.5,14284.690922282423,1948.514107245635,6.826752758277998,True,0,0,185,0,179
5,129,128,19599,19825,27.984375,1698.0,358.875,976.5,11188.162280960827,1780.5653114584538,20.80863089077325,True,0,0,73,0,56
6,160,159,19599,19864,40.96875,1893.0,331.875,975.0,11299.758567670542,1960.5176654653135,9.382497002397603,True,0,0,72,0,88
7,1295,1294,19599,21491,37.265625,1890.0,227.625,979.5,55701.518286337545,1999.4851037033611,6.10455772353739,True,0,23,314,0,958
8,398,397,19599,20095,25.7578125,1194.0,382.125,978.0,13757.971101735868,1311.4331184928133,8.284020762890446,True,0,0,25,0,373
9,13,12,19599,19613,651.75,1674.0,481.5,805.5,1358.9805624106998,1072.3670372125396,1.5885254915624212,False,0,0,0,0,13
10,125,124,19606,19847,37.3359375,1705.5,390.375,969.0,7495.594160653723,1765.666511559163,9.675771404489783,True,0,0,74,0,51
11,177,176,19608,19841,1083.0,1881.0,476.25,975.0,4398.208667140548,941.0396179226462,10.459666496043678,True,0,0,31,0,146
12,1,0,19609,19609,238.5,238.5,975.0,975.0,0.0,0.0,,False,0,0,1,0,0
13,108,107,19671,19834,234.9375,1893.0,510.0,973.5,4735.778094646915,1721.6281549470111,12.023414656411049,True,0,0,40,0,68
14,247,246,19727,20164,35.3671875,1897.5,335.25,977.25,15168.1262677741,1969.6960708162974,10.945135560783509,True,0,0,93,0,154
15,1551,1550,19728,21954,16.734375,1896.0,74.4375,978.0,58983.425399738866,2085.201304601762,6.37519387048287,True,6,33,325,0,1187
16,245,244,19729,20104,33.984375,1584.0,392.25,978.0,11176.580132732253,1657.0007544488749,11.71837460996291,True,0,0,110,0,135
17,228,227,19729,20172,32.109375,1140.0,333.0,985.5,10965.372935411971,1285.759653653392,10.00624804809475,True,0,0,95,0,133
18,739,738,19729,20812,18.9609375,1899.0,320.25,978.75,31301.34102645796,1992.026387005423,6.81732335009428,True,0,0,323,0,416
19,31,30,19787,19848,1410.0,1794.0,391.5,881.25,1941.0549333751753,622.3432031443743,10.543423757980097,True,0,0,3,0,28
20,717,716,19787,21061,30.0234375,1884.0,188.8125,979.5,43575.41758704402,2015.5435537233043,9.0,True,0,19,274,0,424
21,1,0,19901,19901,127.875,127.875,972.0,972.0,0.0,0.0,,False,0,0,1,0,0
22,499,498,19901,20493,33.75,1641.0,373.125,975.0,11640.59057780112,1716.2476738877172,6.237016334191481,True,0,0,90,0,409
23,100,99,19996,20168,1003.5,1873.5,340.6875,963.0,5194.083122457485,1069.6601552157815,13.52081728298996,True,0,0,7,0,93
24,815,814,20000,21065,240.1875,1879.5,97.875,973.5,28069.625823634695,1858.5113971351507,8.016584372411982,True,0,105,102,0,608
25,1250,1249,20000,21615,44.8125,1885.5,260.0625,1063.5,31518.57974751155,2008.3929618136237,4.875,True,0,3,492,9,746
26,116,115,20000,20171,52.359375,1659.0,269.25,871.5,8628.398811474985,1715.8086024963247,12.052619009991147,True,0,1,2,0,113
27,9,8,20161,20173,328.875,1749.0,357.0,900.75,1564.6524336388752,1520.6640253931832,6.292241899252228,False,0,0,7,0,2
28,10,9,20161,20181,1491.0,1671.0,970.5,975.0,355.9532114272656,180.05624121368302,15.538762016325496,False,0,0,10,0,0
29,446,445,20226,20897,328.3125,1893.0,284.625,976.5,23316.42154093435,1710.8296198865771,7.389022685714262,True,0,7,114,0,325
30,26,25,20236,20270,399.65625,936.0,419.625,865.5,1724.619261962497,697.4733928896948,6.914658342969665,True,0,0,1,0,25
31,628,627,20239,21065,31.3828125,1884.0,124.125,978.0,22716.554879163734,2039.9247434759475,4.5,True,0,41,333,0,254
32,1200,1199,20334,21971,40.359375,1855.5,106.78125,980.25,34678.34445032969,2014.3691681893747,3.092329219213245,True,0,19,547,0,634
33,1073,1072,20336,21814,25.359375,1878.0,135.84375,982.5,33423.75247542634,2036.9349746775063,4.802343178074636,True,0,26,266,0,781
34,603,602,20379,21227,26.625,1890.0,73.5,976.5,28163.69302981163,2070.6461287784064,9.031195934094221,True,2,8,124,0,469
35,529,528,20387,21066,33.8671875,1890.0,196.5,978.75,18650.17612402078,2014.235358675634,6.914658342969665,True,0,15,275,0,239
36,303,302,20613,21066,44.203125,1854.0,58.59375,978.75,16607.7399739012,2030.2837863643172,7.657997772180652,True,7,68,75,0,153
37,528,527,20621,21293,32.6484375,1553.625,50.390625,979.5,19620.129227517416,1782.3057914923597,6.046693311223912,True,5,0,208,0,315
38,104,103,20745,20889,1176.0,1566.375,864.0,973.5,770.7925893865262,405.44159952451844,1.0606601717798212,True,0,0,104,0,0
39,86,85,21109,21294,135.9375,1209.75,376.875,854.25,5231.581267329461,1175.142619336585,9.06228448019593,True,0,0,1,0,85
40,329,328,21132,21511,74.25,1431.75,306.75,903.0,6194.611698970006,1482.6733667601911,4.5,True,0,0,8,0,321
41,710,709,21203,22190,431.625,1897.5,297.0,975.0,16893.210821991896,1615.0769379893331,3.3541019662496847,True,0,1,276,0,433
42,1639,1638,21203,23396,24.9140625,1896.0,151.3125,988.5,57125.68143886552,2049.8403585807614,4.8332569211134775,True,0,116,734,0,789
43,2,1,21203,21212,1009.5,1021.5,511.5,745.5,234.30749027719963,234.30749027719963,234.30749027719963,False,0,0,0,0,2
44,615,614,21334,22279,47.953125,1758.0,339.75,979.5,24702.90837378006,1825.7985587674414,7.462310601229374,True,0,0,42,0,573
45,1002,1001,21378,22722,22.9453125,1743.0,162.0,975.0,32534.953085128265,1902.5133713040555,4.743416490252569,True,0,21,110,0,871
46,402,401,21378,21952,177.5625,1879.5,328.875,970.5,12411.43725148822,1818.8661013200642,3.204001404494074,True,0,0,102,0,300
47,692,691,21378,22532,31.21875,1896.0,336.75,975.0,30296.05410943014,1970.9825399661872,6.708203932499369,True,0,0,188,0,504
48,334,333,21385,21838,522.75,1797.0,339.75,975.0,8403.963192755156,1423.8172723351827,4.802343178074636,True,0,0,35,0,299
49,904,903,21447,22686,344.625,1894.5,275.0625,1001.25,32050.24767857982,1711.5667678420407,3.3541019662496847,True,0,49,532,1,322
50,2,1,21467,21468,862.5,1030.5,342.375,711.0,405.10293830704313,405.10293830704313,405.10293830704313,False,0,0,0,0,2
51,8,7,21552,21565,849.0,1899.0,859.5,966.0,1065.637111670358,1055.3872512021358,1.6770509831248424,False,0,0,8,0,0
52,32,31,21614,21694,907.5,1498.5,357.75,971.25,1692.656489394636,851.8587030722877,1.0606601717798212,True,0,0,21,0,11
53,47,46,21677,21766,226.828125,1833.0,360.75,976.5,2961.124751311859,1720.1558518172171,1.4947754915624212,True,0,0,17,0,30
