locator_name,row_id,source_id,arena,classification,negative_category,unresolved_reason,court_end,record_type,landmark_name,x,y,visible,confidence,note
gpt-5.6-sol,wnba_01_e01,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,CORNER_FAR_L,674,411,TRUE,0.91,clear
gpt-5.6-sol,wnba_01_e01,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,LANE_BASE_L,599,468,TRUE,0.85,clear
gpt-5.6-sol,wnba_01_e01,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,LANE_BASE_R,280,635,TRUE,0.72,player-occlusion
gpt-5.6-sol,wnba_01_e01,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,FT_LINE_L,1096,556,TRUE,0.88,clear
gpt-5.6-sol,wnba_01_e01,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,FT_LINE_R,945,692,TRUE,0.70,player-occlusion
gpt-5.6-sol,wnba_01_e01,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,KEY_TOP,1242,622,TRUE,0.86,clear
gpt-5.6-sol,wnba_01_e02,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,CORNER_FAR_L,490,305,TRUE,0.92,clear
gpt-5.6-sol,wnba_01_e02,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,LANE_BASE_L,408,383,TRUE,0.88,clear
gpt-5.6-sol,wnba_01_e02,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,LANE_BASE_R,1,548,TRUE,0.71,frame-boundary
gpt-5.6-sol,wnba_01_e02,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,FT_LINE_L,850,422,TRUE,0.89,clear
gpt-5.6-sol,wnba_01_e02,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,FT_LINE_R,735,554,TRUE,0.84,clear
gpt-5.6-sol,wnba_01_e02,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,KEY_TOP,981,486,TRUE,0.86,clear
gpt-5.6-sol,wnba_01_e05,wnba_01,Gateway Center Arena,ELIGIBLE,,,RIGHT_BASKET,LANDMARK,CENTER_SIDELINE_FAR,493,338,TRUE,0.91,clear
gpt-5.6-sol,wnba_01_e05,wnba_01,Gateway Center Arena,ELIGIBLE,,,RIGHT_BASKET,LANDMARK,CENTER_CIRCLE_TOP,493,468,TRUE,0.84,clear
gpt-5.6-sol,wnba_01_e05,wnba_01,Gateway Center Arena,ELIGIBLE,,,RIGHT_BASKET,LANDMARK,CENTER_CIRCLE_BOTTOM,493,704,TRUE,0.78,player-occlusion
gpt-5.6-sol,wnba_01_e05,wnba_01,Gateway Center Arena,ELIGIBLE,,,RIGHT_BASKET,LANDMARK,FT_LINE_L,1428,458,TRUE,0.82,clear
gpt-5.6-sol,wnba_01_e05,wnba_01,Gateway Center Arena,ELIGIBLE,,,RIGHT_BASKET,LANDMARK,FT_LINE_R,1577,609,TRUE,0.74,player-occlusion
gpt-5.6-sol,wnba_01_e05,wnba_01,Gateway Center Arena,ELIGIBLE,,,RIGHT_BASKET,LANDMARK,KEY_TOP,1183,526,TRUE,0.83,clear
gpt-5.6-sol,wnba_01_e06,wnba_01,Gateway Center Arena,ELIGIBLE,,,RIGHT_BASKET,LANDMARK,CORNER_FAR_R,1177,473,TRUE,0.87,clear
gpt-5.6-sol,wnba_01_e06,wnba_01,Gateway Center Arena,ELIGIBLE,,,RIGHT_BASKET,LANDMARK,LANE_BASE_L,1230,604,TRUE,0.82,clear
gpt-5.6-sol,wnba_01_e06,wnba_01,Gateway Center Arena,ELIGIBLE,,,RIGHT_BASKET,LANDMARK,LANE_BASE_R,1788,790,TRUE,0.78,clear
gpt-5.6-sol,wnba_01_e06,wnba_01,Gateway Center Arena,ELIGIBLE,,,RIGHT_BASKET,LANDMARK,FT_LINE_L,912,637,TRUE,0.84,clear
gpt-5.6-sol,wnba_01_e06,wnba_01,Gateway Center Arena,ELIGIBLE,,,RIGHT_BASKET,LANDMARK,FT_LINE_R,699,843,TRUE,0.56,graphic-occlusion
