game_id,sport,source_resolution,ledger_source_height,table_source_height,height_disagrees,rows_total,rows_valid,rows_bad,n_gt50,share_gt50,n_gt33,share_gt33,n_gt25,share_gt25,n_gt50_posttopcut,share_gt50_posttopcut,n_gt50_padremoved,share_gt50_padremoved,n_matched,n_gt50_matched,share_gt50_matched,n_coasting,n_gt50_coasting,share_gt50_coasting,max_bbox_y2,max_box_h,table_bytes,table_sha256
0022400909_s1015,nba,1280x720,720,720.0,0,6030,6030,0,1,1/6030 (~1.6584e-4),224,224/6030 (~3.7148e-2),2780,2780/6030 (~4.6103e-1),9,9/6030 (~1.4925e-3),0,0/6030 (~0.0000e0),3775,1,1/3775 (~2.6490e-4),2255,0,0/2255 (~0.0000e0),1647.5399,364.0,2345160,34d07939c5d2f7e33a1680596ad2ed2b4061527196f82a72b8a23981bf8d4d3c
0022400909_s1397,nba,1280x720,720,720.0,0,1956,1956,0,0,0/1956 (~0.0000e0),182,182/1956 (~9.3047e-2),482,482/1956 (~2.4642e-1),1,1/1956 (~5.1125e-4),0,0/1956 (~0.0000e0),894,0,0/894 (~0.0000e0),1062,0,0/1062 (~0.0000e0),473.18994,338.0,754773,9eba7dfafa748874f148ec2d7a04c06250fef875cd548ea24025fbb5439d60ae
0022400909_s1588,nba,1280x720,720,720.0,0,5826,5826,0,1133,1133/5826 (~1.9447e-1),2025,2025/5826 (~3.4758e-1),3815,3815/5826 (~6.5482e-1),1312,1312/5826 (~2.2520e-1),990,990/5826 (~1.6993e-1),4289,825,825/4289 (~1.9235e-1),1537,308,308/1537 (~2.0039e-1),1469.7346,684.0,2323673,ec555ba307502e9139abdcbf6459b2b9965ce2c77da32e59e694667213bb12e4
0022400909_s1779,nba,1280x720,720,720.0,0,4928,4928,0,1014,1014/4928 (~2.0576e-1),1570,1570/4928 (~3.1859e-1),3120,3120/4928 (~6.3312e-1),1099,1099/4928 (~2.2301e-1),959,959/4928 (~1.9460e-1),2524,495,495/2524 (~1.9612e-1),2404,519,519/2404 (~2.1589e-1),2189.5188,690.0,1943035,37eebd7d2bb3402979501a3e4d4fce4f4e6aaf9b3a3d9356c584845a73db5426
0022400909_s1970,nba,1280x720,720,720.0,0,4371,4371,0,852,852/4371 (~1.9492e-1),1281,1281/4371 (~2.9307e-1),3005,3005/4371 (~6.8749e-1),880,880/4371 (~2.0133e-1),829,829/4371 (~1.8966e-1),2877,499,499/2877 (~1.7344e-1),1494,353,353/1494 (~2.3628e-1),2173.457,687.0,1752140,9c9945555168810533183322a06cd975d06758cdd2bd22a8df797f254b69d143
0022400909_s2161,nba,1280x720,720,720.0,0,5877,5877,0,2094,2094/5877 (~3.5630e-1),3166,3166/5877 (~5.3871e-1),4454,4454/5877 (~7.5787e-1),2369,2369/5877 (~4.0310e-1),1846,1846/5877 (~3.1411e-1),4123,1464,1464/4123 (~3.5508e-1),1754,630,630/1754 (~3.5918e-1),1449.3882,686.0,2384295,735c19f335f6b72a16f1f5c2051318801be526fb3b0de16f51e897007ee78a81
0022400909_s2352,nba,1280x720,720,720.0,0,5226,5226,0,1206,1206/5226 (~2.3077e-1),1966,1966/5226 (~3.7620e-1),3493,3493/5226 (~6.6839e-1),1309,1309/5226 (~2.5048e-1),1071,1071/5226 (~2.0494e-1),2728,565,565/2728 (~2.0711e-1),2498,641,641/2498 (~2.5661e-1),1669.9642,689.0,2091020,3fe19d44e542cf92dc2237cc9b0f0ed6b877a9d34827747898530c844776c09b
0022400909_s251,nba,1280x720,720,720.0,0,4394,4394,0,1083,1083/4394 (~2.4647e-1),1735,1735/4394 (~3.9486e-1),3305,3305/4394 (~7.5216e-1),1197,1197/4394 (~2.7242e-1),973,973/4394 (~2.2144e-1),1351,286,286/1351 (~2.1170e-1),3043,797,797/3043 (~2.6191e-1),1304.773,684.0,1738798,5971de7aa6f288f49a95884699902da36ec489f59b11e218834aebd0f3c2b406
0022400909_s2734,nba,1280x720,720,720.0,0,4334,4334,0,1086,1086/4334 (~2.5058e-1),1377,1377/4334 (~3.1772e-1),2108,2108/4334 (~4.8639e-1),1203,1203/4334 (~2.7757e-1),924,924/4334 (~2.1320e-1),2726,643,643/2726 (~2.3588e-1),1608,443,443/1608 (~2.7550e-1),1339.4193,684.0,1723136,349c2c9c8611042cd7279c47216bdb92b34ab9b189b03a0ce2d7d2676a387b2e
0022400909_s2925,nba,1280x720,720,720.0,0,4251,4251,0,1052,1052/4251 (~2.4747e-1),1799,1799/4251 (~4.2319e-1),2836,2836/4251 (~6.6714e-1),1263,1263/4251 (~2.9711e-1),824,824/4251 (~1.9384e-1),3437,825,825/3437 (~2.4003e-1),814,227,227/814 (~2.7887e-1),1242.0284,685.0,1682866,9f8b67eee871ea24eb62ff12c7a9bd828ef7498407dc1dd052b85be1f432f0df
