panel_id,cell,tercile,region,game_id,source_resolution,frame,player_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,box_h,source_height,post_topcut_h,ratio,centre_y,key
P01,T1-UPPER,T1,UPPER,wnba_06,1920x1080,1371,5,1171.0,298.0,1252.0,478.0,180.0,1080.0,1020.0,0.17647058823529413,388.0,008e4e148edf1359999d364ed7fb1f5af4312e63130a51d7d8f3ec7b0c375ba0
P02,T1-UPPER,T1,UPPER,wnba_04,1280x720,3333,8,817.814,105.02465,914.4931,199.84344,94.81878999999999,720.0,660.0,0.14366483333333332,152.434045,001bea4648d616328e34482e23cb3f24a212c8baa3394dbdc0bccc7c9aaa5b8e
P03,T1-UPPER,T1,UPPER,0022500575_s7200,640x360,780,3,309.0,38.0,379.0,129.0,91.0,360.0,300.0,0.30333333333333334,83.5,0028cbe306cf7bd8f71ead305b933ab91dde2624e345e5fc9229142ec63a185d
P04,T1-UPPER,T1,UPPER,wnba_06,1920x1080,1224,1,213.35715,251.74405,388.35715,474.82736,223.08331,1080.0,1020.0,0.2187091274509804,363.285705,0167de8464e2141ba764a7d94e866f93c17acc42fe636ad4bc93f66ef9d83904
P05,T1-UPPER,T1,UPPER,wnba_04,1280x720,2535,1,672.0,84.0,808.0,283.0,199.0,720.0,660.0,0.3015151515151515,183.5,0047bdd7c8f2949f4a0b34066652a91a99c425457b414a11c21497edf7def9ac
P06,T1-UPPER,T1,UPPER,0022500575_s7200,640x360,1290,9,200.86224,73.23406,252.1517,160.99817,87.76410999999999,360.0,300.0,0.2925470333333333,117.116115,01440886efd1a8769635df7a324d4b1f83173280a8fc52f644665412b9bb101c
P07,T1-UPPER,T1,UPPER,wnba_06,1920x1080,636,5,1494.6978,301.95947,1593.3557,515.65436,213.69489,1080.0,1020.0,0.20950479411764705,408.806915,02581341dc1eef2d98114d220760219ffb13d16889eb53329e34a5b2a501cfff
P08,T1-UPPER,T1,UPPER,wnba_04,1280x720,864,9,660.0,113.0,776.0,310.0,197.0,720.0,660.0,0.29848484848484846,211.5,006737a57d44d38fa5f8a80952320e68df6265bc7ce95fc23ab06d6788001a11
P09,T1-UPPER,T1,UPPER,0022500575_s7200,640x360,897,7,206.0,68.0,276.0,165.0,97.0,360.0,300.0,0.3233333333333333,116.5,015984ae3381f7194705c29990b473b0f1839bdb91fad272d694fbae29811739
P10,T1-UPPER,T1,UPPER,wnba_06,1920x1080,2916,2,814.6917,92.67044,923.78534,273.19754,180.52710000000002,1080.0,1020.0,0.17698735294117648,182.93399,02bed2e56bcea012d33d68d6f031ec0a8b21e319cc7aab3750695958d14486bd
