run_id,person_rows,stride,denominator_EMITTED,rows_per_frame_EMITTED,denominator_PROCESSED_RECON,rows_per_frame_PROCESSED_RECON,denominator_DELIVERED_IN_SPAN_RECON,rows_per_frame_DELIVERED_IN_SPAN_RECON,denominator_EVALUATED_route,denominator_DECODED_route,denominator_SOURCE,inflation_EMITTED_over_PROCESSED_RECON,step_pairs_n
pilot__ncaa_basketball_IB-_u4gW3ds_1080p_armN,002349,000003,000487,4.823409,000500,4.698000,000530,4.432075,NOT KNOWABLE,NOT KNOWABLE,018115,1.026694,002014
pilot__ncaa_basketball_IB-_u4gW3ds_1080p_armP,001953,000003,000470,4.155319,000500,3.906000,000500,3.906000,NOT KNOWABLE,NOT KNOWABLE,018115,1.063830,001691
pilot__ncaa_basketball_mRkuGgeECak_armN,000001,NOT KNOWABLE,000001,1.000000,000001,1.000000,NOT KNOWABLE,NOT KNOWABLE,NOT KNOWABLE,NOT KNOWABLE,028905,1.000000,000000
pilot__ncaa_basketball_mRkuGgeECak_armP,000001,NOT KNOWABLE,000001,1.000000,000001,1.000000,NOT KNOWABLE,NOT KNOWABLE,NOT KNOWABLE,NOT KNOWABLE,028905,1.000000,000000
pilot__wnba_01_1080p_armN,002994,000003,000470,6.370213,000500,5.988000,000530,5.649057,NOT KNOWABLE,NOT KNOWABLE,018060,1.063830,002458
pilot__wnba_01_1080p_armP,002116,000003,000470,4.502128,000500,4.232000,000530,3.992453,NOT KNOWABLE,NOT KNOWABLE,018060,1.063830,001714
pilot__wnba_01_1080p_armP_repeat,002185,000003,000470,4.648936,000500,4.370000,000530,4.122642,NOT KNOWABLE,NOT KNOWABLE,018060,1.063830,001763
postprereg__ncaa_basketball_IB-_u4gW3ds_1080p_armP,000000,NOT KNOWABLE,NOT KNOWABLE,NOT KNOWABLE,NOT KNOWABLE,NOT KNOWABLE,NOT KNOWABLE,NOT KNOWABLE,NOT KNOWABLE,NOT KNOWABLE,018115,NOT KNOWABLE,000000
postprereg__wnba_01_1080p_armN,002940,000003,000469,6.268657,000500,5.880000,000530,5.547170,NOT KNOWABLE,NOT KNOWABLE,018060,1.066098,002381
postprereg__wnba_01_1080p_armP,001433,000003,000458,3.128821,000500,2.866000,000530,2.703774,NOT KNOWABLE,NOT KNOWABLE,018060,1.091703,001299
