section,stem,arm,n_frames,valid_frames,valid_share,feet_total,feet_evaluated,feet_inside,feet_inside_share,heldout_forward_px,n_forward_points,heldout_reverse_px,n_reverse_points,n_heldout_segments,nn_median_ft,n_nn_pairs,n_hypotheses,bucket_valid,bucket_too_few_groups,bucket_no_valid_h,bucket_implausible_scale
S1,basketball__nbl-WTEUwPcy7X8_s90,G334A,000040,000017,17/40,000408,000187,000010,10/187,3.694,001472,447.851,495460,022174,12.048,000187,20793408,000017,000000,000017,000006
S1,basketball__nbl-WTEUwPcy7X8_s90,G334B,000040,000009,9/40,000408,000110,000004,4/110,1.640,000661,418.065,409200,048070,11.004,000110,63384876,000009,000000,000025,000006
S1,basketball__nbl-WTEUwPcy7X8_s90,ROUTEA,000040,000040,40/40,000408,000408,000000,0/408,10.315,013809,426.759,1065731,022174,6.183,000406,000000,000040,000000,000000,000000
S1,basketball__nbl-WTEUwPcy7X8_s90,ROUTEB,000040,000040,40/40,000408,000408,000000,0/408,5.730,013809,419.612,1625569,048070,6.183,000406,000000,000040,000000,000000,000000
S2,nba__0022500081_s4812,G334A,000040,000007,7/40,000149,000025,000006,6/25,8.469,000836,404.921,101236,010831,22.372,000024,18843076,000007,000001,000028,000004
S2,nba__0022500081_s4812,G334B,000040,000006,6/40,000149,000025,000002,2/25,2.698,000528,428.149,127705,021408,58.975,000024,57299564,000006,000001,000032,000001
S2,nba__0022500081_s4812,ROUTEA,000040,000040,40/40,000149,000149,000000,0/149,15.226,008404,297.626,601869,010831,88.517,000146,000000,000040,000000,000000,000000
S2,nba__0022500081_s4812,ROUTEB,000040,000040,40/40,000149,000149,000000,0/149,8.644,008404,291.467,833916,021408,88.517,000146,000000,000040,000000,000000,000000
S3,nba__0022401198_s2784,G334A,000040,000018,18/40,000313,000121,000014,14/121,2.387,001336,384.837,228014,008663,21.254,000117,20142280,000018,000000,000018,000004
S3,nba__0022401198_s2784,G334B,000040,000021,21/40,000313,000172,000006,6/172,1.910,001634,463.565,420910,019404,23.733,000169,61809764,000021,000000,000016,000003
S3,nba__0022401198_s2784,ROUTEA,000040,000040,40/40,000313,000313,000002,2/313,21.045,011925,407.657,527133,008663,148.715,000307,000000,000040,000000,000000,000000
S3,nba__0022401198_s2784,ROUTEB,000040,000040,40/40,000313,000313,000002,2/313,13.100,011925,406.270,792061,019404,148.715,000307,000000,000040,000000,000000,000000
S4,nba__RIrGQJ_jsGQ_s6690,G334A,000039,000010,10/39,000000,000000,000000,0/0,0.955,000846,246.295,130060,008928,-,000000,22245020,000010,000000,000022,000007
S4,nba__RIrGQJ_jsGQ_s6690,G334B,000039,000007,7/39,000000,000000,000000,0/0,0.955,000581,326.539,121093,016393,-,000000,65707744,000007,000000,000023,000009
S4,nba__RIrGQJ_jsGQ_s6690,ROUTEA,000039,000039,39/39,000000,000000,000000,0/0,13.784,015522,484.646,507305,008928,-,000000,000000,000039,000000,000000,000000
S4,nba__RIrGQJ_jsGQ_s6690,ROUTEB,000039,000039,39/39,000000,000000,000000,0/0,13.531,015522,468.440,685159,016393,-,000000,000000,000039,000000,000000,000000
S5,nba__m7K0J4wzDn4_s2070,G334A,000040,000025,25/40,000040,000025,000003,3/25,0.955,001879,305.600,217359,006289,-,000000,22680756,000025,000000,000014,000001
S5,nba__m7K0J4wzDn4_s2070,G334B,000040,000023,23/40,000040,000023,000001,1/23,0.955,001680,309.574,307777,014374,-,000000,67044956,000023,000000,000013,000004
S5,nba__m7K0J4wzDn4_s2070,ROUTEA,000040,000040,40/40,000040,000040,000000,0/40,9.171,015920,327.764,349546,006289,-,000000,000000,000040,000000,000000,000000
S5,nba__m7K0J4wzDn4_s2070,ROUTEB,000040,000040,40/40,000040,000040,000000,0/40,8.469,015920,328.200,543888,014374,-,000000,000000,000040,000000,000000,000000
S6,nba__4PH6yOSvcs4_s2932,G334A,000040,000007,7/40,000040,000007,000000,0/7,12.162,000572,290.172,058881,008287,-,000000,23686504,000007,000000,000028,000005
S6,nba__4PH6yOSvcs4_s2932,G334B,000040,000002,2/40,000040,000002,000000,0/2,2.117,000180,638.875,045021,030558,-,000000,71141812,000002,000000,000032,000006
S6,nba__4PH6yOSvcs4_s2932,ROUTEA,000040,000040,40/40,000040,000040,000000,0/40,24.811,015920,301.848,350566,008287,-,000000,000000,000040,000000,000000,000000
S6,nba__4PH6yOSvcs4_s2932,ROUTEB,000040,000040,40/40,000040,000040,000000,0/40,14.811,015920,362.709,867945,030558,-,000000,000000,000040,000000,000000,000000
