section,arm,eval_index,reason,score,n_scored,n_hypotheses,n_fit_segments,n_heldout_segments,forward_px,n_forward,reverse_px,n_reverse,feet,feet_inside,nn_median_ft
S1,G334A,000081,no_valid_h,0.209,000184,570764,000648,000648,-,000000,-,000000,000005,000000,-
S1,G334B,000081,no_valid_h,-1.000,000000,1643768,001374,001374,-,000000,-,000000,000005,000000,-
S1,ROUTEA,000081,valid,-,000000,000000,000648,000648,8.595,000398,376.686,033502,000005,000000,3.207
S1,ROUTEB,000081,valid,-,000000,000000,001374,001374,8.595,000398,371.564,050705,000005,000000,3.207
S1,G334A,000244,no_valid_h,-1.000,000000,195780,000200,000200,-,000000,-,000000,000006,000000,-
S1,G334B,000244,no_valid_h,-1.000,000000,733652,000458,000458,-,000000,-,000000,000006,000000,-
S1,ROUTEA,000244,valid,-,000000,000000,000200,000200,11.460,000398,424.789,011906,000006,000000,4.518
S1,ROUTEB,000244,valid,-,000000,000000,000458,000458,11.460,000398,397.017,018147,000006,000000,4.518
S1,G334A,000407,no_valid_h,-1.000,000000,527544,000250,000250,-,000000,-,000000,000010,000000,-
S1,G334B,000407,valid,0.727,000088,1513340,000564,000564,1.910,000088,280.770,019926,000010,000000,62.703
S1,ROUTEA,000407,valid,-,000000,000000,000250,000250,17.099,000398,384.849,013442,000010,000000,0.712
S1,ROUTEB,000407,valid,-,000000,000000,000564,000564,17.099,000398,443.138,019926,000010,000000,0.712
S1,G334A,000570,no_valid_h,0.095,000069,517472,000277,000276,-,000000,-,000000,000001,000000,-
S1,G334B,000570,implausible_scale,-1.000,000000,1581212,000521,000521,-,000000,-,000000,000001,000000,-
S1,ROUTEA,000570,valid,-,000000,000000,000277,000276,6.432,000398,446.400,015188,000001,000000,-
S1,ROUTEB,000570,valid,-,000000,000000,000521,000521,6.432,000398,410.719,020644,000001,000000,-
S1,G334A,000733,implausible_scale,-1.000,000000,576908,000539,000538,-,000000,-,000000,000015,000000,-
S1,G334B,000733,no_valid_h,-1.000,000000,1408664,001193,001193,-,000000,-,000000,000015,000000,-
S1,ROUTEA,000733,valid,-,000000,000000,000539,000538,0.000,000398,351.134,027498,000015,000000,3.774
S1,ROUTEB,000733,valid,-,000000,000000,001193,001193,17.351,000398,347.001,043601,000015,000000,3.774
S1,G334A,000896,no_valid_h,-1.000,000000,525964,000516,000515,-,000000,-,000000,000010,000000,-
S1,G334B,000896,implausible_scale,-1.000,000000,1607716,001154,001153,-,000000,-,000000,000010,000000,-
S1,ROUTEA,000896,valid,-,000000,000000,000516,000515,5.730,000398,308.843,025539,000010,000000,6.596
S1,ROUTEB,000896,valid,-,000000,000000,001154,001153,4.775,000398,324.147,040678,000010,000000,6.596
S1,G334A,001059,no_valid_h,-1.000,000000,565220,000492,000491,-,000000,-,000000,000017,000000,-
S1,G334B,001059,valid,0.625,000060,1797948,001137,001137,0.955,000060,669.643,039672,000017,000000,37.167
S1,ROUTEA,001059,valid,-,000000,000000,000492,000491,29.605,000398,508.177,024609,000017,000000,2.180
S1,ROUTEB,001059,valid,-,000000,000000,001137,001137,20.055,000398,520.830,039672,000017,000000,2.180
S1,G334A,001222,implausible_scale,-1.000,000000,572812,000723,000722,-,000000,-,000000,000015,000000,-
