tick_key,baseline_loss,candidate_loss,n_train
nba_0081:1002,000000,000000,000178
nba_0081:1005,000000,000000,000178
nba_0081:1008,000000,0.1,000178
nba_0081:1011,000000,000000,000178
nba_0081:1014,000000,000000,000178
nba_0081:1017,000000,000000,000178
nba_0081:1020,000000,000000,000178
nba_0081:1023,000000,000000,000178
nba_0081:1026,000000,000000,000178
nba_0081:1029,000000,000000,000178
nba_0081:1032,000000,000000,000178
nba_0081:1035,0.3,0.2,000178
nba_0081:1038,0.1,000000,000178
nba_0081:1041,000000,000000,000178
nba_0081:1044,0.1,0.1,000178
nba_0081:1047,0.1,000000,000178
nba_0081:1050,000000,000000,000178
nba_0081:1053,000000,000000,000178
nba_0081:1056,0.2,000000,000178
nba_0081:1059,000000,000000,000178
nba_0081:1062,000000,000000,000178
nba_0081:1065,000000,000000,000178
nba_0081:1068,0.1,000000,000178
nba_0081:1071,0.2,000000,000178
nba_0081:1074,000000,000000,000178
nba_0081:1077,0.1,000000,000178
nba_0081:540,0.4,0.4,000178
nba_0081:543,000000,000000,000178
nba_0081:546,000000,000000,000178
nba_0081:549,0.2,0.2,000178
nba_0081:552,000000,000000,000178
nba_0081:555,000000,000000,000178
nba_0081:558,000000,000000,000178
nba_0081:561,000000,000000,000178
nba_0081:564,000000,000000,000178
nba_0081:567,000000,000000,000178
nba_0081:570,000000,000000,000178
nba_0081:573,000000,000000,000178
nba_0081:576,000000,000000,000178
nba_0081:579,000000,0.1,000178
nba_0081:582,000000,000000,000178
nba_0081:585,0.1,000000,000178
nba_0081:588,000000,000000,000178
nba_0081:591,0.1,000000,000178
nba_0081:594,0.1,0.1,000178
nba_0081:597,000000,000000,000178
nba_0081:600,000000,000000,000178
nba_0081:603,000000,000000,000178
nba_0081:606,000000,000000,000178
nba_0081:609,000000,000000,000178
nba_0081:612,000000,000000,000178
nba_0081:615,000000,000000,000178
nba_0081:618,000000,000000,000178
nba_0081:621,000000,000000,000178
nba_0081:624,000000,000000,000178
nba_0081:627,000000,000000,000178
nba_0081:630,0.3,0.3,000178
nba_0081:633,0.1,000000,000178
nba_0081:636,0.1,000000,000178
nba_0081:639,000000,000000,000178
nba_0081:642,0.1,0.1,000178
nba_0081:645,000000,000000,000178
nba_0081:648,000000,000000,000178
nba_0081:651,0.1,000000,000178
nba_0081:654,000000,000000,000178
nba_0081:657,000000,000000,000178
nba_0081:660,000000,000000,000178
nba_0081:663,0.1,000000,000178
nba_0081:666,0.1,0.1,000178
nba_0081:669,0.1,000000,000178
nba_0081:672,000000,000000,000178
nba_0081:675,000000,000000,000178
nba_0081:678,000000,000000,000178
nba_0081:681,000000,000000,000178
nba_0081:684,000000,000000,000178
nba_0081:687,0.1,000000,000178
nba_0081:690,0.1,0.1,000178
nba_0081:693,000000,000000,000178
nba_0081:696,000000,000000,000178
nba_0081:699,0.1,0.1,000178
nba_0081:702,000000,000000,000178
nba_0081:705,000000,000000,000178
nba_0081:708,000000,000000,000178
nba_0081:711,0.1,0.1,000178
nba_0081:714,000000,000000,000178
nba_0081:717,000000,000000,000178
nba_0081:720,0.1,000000,000178
nba_0081:723,000000,000000,000178
nba_0081:726,000000,0.1,000178
nba_0081:729,000000,000000,000178
nba_0081:732,000000,000000,000178
nba_0081:735,000000,000000,000178
nba_0081:738,000000,000000,000178
nba_0081:741,000000,000000,000178
nba_0081:744,0.1,0.1,000178
nba_0081:747,000000,000000,000178
nba_0081:750,000000,000000,000178
nba_0081:753,000000,000000,000178
nba_0081:756,000000,000000,000178
nba_0081:759,000000,000000,000178
nba_0081:762,000000,000000,000178
nba_0081:765,000000,000000,000178
nba_0081:768,000000,000000,000178
nba_0081:771,000000,000000,000178
nba_0081:774,000000,000000,000178
nba_0081:777,0.1,0.1,000178
nba_0081:780,000000,000000,000178
nba_0081:783,000000,000000,000178
nba_0081:786,000000,000000,000178
nba_0081:789,000000,000000,000178
nba_0081:792,000000,000000,000178
nba_0081:795,000000,000000,000178
nba_0081:798,000000,000000,000178
nba_0081:801,0.1,000000,000178
nba_0081:804,0.1,000000,000178
nba_0081:807,0.1,000000,000178
nba_0081:810,0.1,000000,000178
nba_0081:813,000000,000000,000178
nba_0081:816,000000,0.1,000178
nba_0081:819,0.1,000000,000178
nba_0081:822,0.1,000000,000178
nba_0081:825,000000,000000,000178
nba_0081:828,0.1,000000,000178
nba_0081:831,000000,000000,000178
nba_0081:834,000000,000000,000178
nba_0081:837,000000,000000,000178
nba_0081:840,000000,000000,000178
nba_0081:843,000000,000000,000178
nba_0081:846,000000,000000,000178
nba_0081:849,000000,000000,000178
nba_0081:852,000000,000000,000178
nba_0081:855,000000,000000,000178
nba_0081:858,000000,000000,000178
nba_0081:861,0.1,0.1,000178
nba_0081:864,000000,000000,000178
nba_0081:867,000000,000000,000178
nba_0081:870,000000,000000,000178
nba_0081:873,000000,000000,000178
nba_0081:876,0.2,000000,000178
nba_0081:879,000000,000000,000178
nba_0081:882,000000,000000,000178
nba_0081:885,000000,000000,000178
nba_0081:888,0.3,000000,000178
nba_0081:891,0.1,000000,000178
nba_0081:894,0.1,000000,000178
nba_0081:897,000000,000000,000178
nba_0081:900,000000,000000,000178
nba_0081:903,000000,000000,000178
nba_0081:906,0.2,000000,000178
nba_0081:909,000000,000000,000178
nba_0081:912,000000,000000,000178
nba_0081:915,000000,000000,000178
nba_0081:918,000000,000000,000178
nba_0081:921,000000,000000,000178
nba_0081:924,000000,000000,000178
nba_0081:927,0.2,000000,000178
nba_0081:930,0.1,0.1,000178
nba_0081:933,000000,000000,000178
nba_0081:936,000000,000000,000178
nba_0081:939,000000,000000,000178
nba_0081:942,000000,000000,000178
nba_0081:945,0.1,000000,000178
nba_0081:948,000000,000000,000178
nba_0081:951,000000,000000,000178
nba_0081:954,000000,000000,000178
nba_0081:957,000000,000000,000178
nba_0081:960,000000,000000,000178
nba_0081:963,0.2,0.2,000178
nba_0081:966,0.1,000000,000178
nba_0081:969,0.1,0.1,000178
nba_0081:972,0.2,0.1,000178
nba_0081:975,000000,000000,000178
nba_0081:978,0.1,000000,000178
nba_0081:981,0.1,000000,000178
nba_0081:984,0.1,000000,000178
nba_0081:987,000000,000000,000178
nba_0081:990,000000,000000,000178
nba_0081:993,000000,000000,000178
nba_0081:996,000000,000000,000178
nba_0081:999,000000,000000,000178
wnba_5l4:102,000000,000000,000180
wnba_5l4:105,000000,000000,000180
wnba_5l4:108,000000,000000,000180
wnba_5l4:111,0.1,000000,000180
wnba_5l4:114,0.1,0.1,000180
wnba_5l4:117,000000,000000,000180
wnba_5l4:120,000000,000000,000180
wnba_5l4:123,000000,000000,000180
wnba_5l4:126,000000,000000,000180
wnba_5l4:129,0.1,0.1,000180
wnba_5l4:132,000000,000000,000180
wnba_5l4:135,0.1,0.1,000180
wnba_5l4:138,000000,000000,000180
wnba_5l4:141,0.1,0.1,000180
wnba_5l4:144,0.1,000000,000180
wnba_5l4:147,000000,000000,000180
wnba_5l4:150,000000,000000,000180
wnba_5l4:153,000000,000000,000180
wnba_5l4:156,000000,000000,000180
wnba_5l4:159,0.1,0.1,000180
wnba_5l4:162,000000,000000,000180
wnba_5l4:165,0.1,0.1,000180
wnba_5l4:168,000000,000000,000180
wnba_5l4:171,0.2,0.1,000180
wnba_5l4:174,000000,000000,000180
wnba_5l4:177,000000,000000,000180
wnba_5l4:180,0.1,0.1,000180
wnba_5l4:183,0.1,0.1,000180
wnba_5l4:186,0.1,000000,000180
wnba_5l4:189,000000,000000,000180
wnba_5l4:192,000000,000000,000180
wnba_5l4:195,000000,0.1,000180
