arm,true_template,frame_id,shot_id,scored_template,h00,h01,h02,h10,h11,h12,h20,h21,h22,cost,h00_repr,h01_repr,h02_repr,h10_repr,h11_repr,h12_repr,h20_repr,h21_repr,h22_repr,cost_repr
a,NBA,000000,000000,NBA,13.426634,0.000000,-89.466797,0.000000,13.425546,25.136757,0.000156,0.000250,0.985289,1.030011,13.426633834838867,0.0,-89.466796875,0.0,13.425545692443848,25.136756896972656,0.0001558664080221206,0.0002503087162040174,0.9852885603904724,1.0300105880304602
a,NBA,000001,000000,NBA,14.399770,0.000000,11.827403,0.000000,13.839004,78.066780,-0.000059,-0.000281,1.008289,1.033224,14.39976978302002,0.0,11.82740306854248,0.0,13.839003562927246,78.06678009033203,-5.882908226340078e-05,-0.0002809186407830566,1.0082893371582031,1.0332243436574535
a,NBA,000002,000000,NBA,15.344806,0.000000,125.334602,0.000000,15.194374,-95.724640,-0.000294,-0.000009,1.010112,1.031569,15.344805717468262,0.0,125.33460235595703,0.0,15.194374084472656,-95.72463989257812,-0.0002936910022981465,-8.722259735804982e-06,1.0101120471954346,1.0315693369029832
a,NBA,000003,000000,NBA,14.376543,0.000000,-38.277779,0.000000,14.192141,101.769608,-0.000259,-0.000287,1.017463,1.032383,14.376543045043945,0.0,-38.27777862548828,0.0,14.192140579223633,101.76960754394531,-0.00025938093313016,-0.0002871776232495904,1.0174627304077148,1.0323831332913784
a,NBA,000004,000000,NBA,12.778380,0.000000,100.122520,0.000000,12.186312,17.150309,-0.000177,-0.000039,1.008571,1.039668,12.778380393981934,0.0,100.12252044677734,0.0,12.186311721801758,17.15030860900879,-0.0001767023204592988,-3.928209844161756e-05,1.008570671081543,1.0396681432416643
a,NBA,000005,000001,NBA,14.868392,0.000000,-126.852623,0.000000,14.377352,-55.253277,0.000302,0.000103,0.981454,1.050452,14.868391990661621,0.0,-126.85262298583984,0.0,14.377351760864258,-55.25327682495117,0.0003016497357748449,0.00010344024485675618,0.9814544916152954,1.0504524274094282
a,NBA,000006,000001,NBA,12.840196,0.000000,-0.609078,0.000000,12.492356,118.601120,-0.000210,-0.000038,1.011205,1.034000,12.840195655822754,0.0,-0.609078049659729,0.0,12.492356300354004,118.60111999511719,-0.00020983736612834036,-3.806570384767838e-05,1.0112046003341675,1.0340004511613041
a,NBA,000007,000001,NBA,9.899803,0.000000,125.198807,0.000000,9.896983,41.869911,-0.000070,-0.000104,1.006993,1.037678,9.899803161621094,0.0,125.19880676269531,0.0,9.89698314666748,41.869911193847656,-7.029065454844385e-05,-0.00010384224151493981,1.0069931745529175,1.037678215658724
a,NBA,000008,000001,NBA,12.979032,0.000000,-82.663338,0.000000,12.975321,-57.677025,-0.000115,0.000183,1.000509,1.032888,12.979031562805176,0.0,-82.66333770751953,0.0,12.975320816040039,-57.677024841308594,-0.00011495684157125652,0.00018302984244655818,1.0005090236663818,1.0328882566223412
a,NBA,000009,000001,NBA,13.148966,0.000000,41.327396,0.000000,13.116559,6.544954,0.000219,0.000142,0.986213,1.041115,13.148965835571289,0.0,41.327396392822266,0.0,13.116559028625488,6.5449538230896,0.0002188140497310087,0.0001419226755388081,0.986212968826294,1.041114748904096
a,NBA,000010,000002,NBA,15.603357,0.000000,-101.088120,0.000000,15.603069,-84.970337,-0.000006,-0.000310,1.009150,1.034202,15.603357315063477,0.0,-101.08811950683594,0.0,15.603069305419922,-84.9703369140625,-6.2242988860816695e-06,-0.0003104963107034564,1.0091503858566284,1.0342021899297178
