section_path,sha256,bytes,game_id,ledger_rows,ledger_entry_present,width,height,frame_count,valid_frames,bytes_per_frame,mean_abs_delta,near_identical_share,liveness,error
/workspace/nba-ai-system/data/footage_corpus/basketball__acb-DCA1PAsKVJs_s2840.mp4,d6fd6cb813ff7b7710d56a2aaf956b5305c0d69e6cf8d2c1ef45c31a6b3a3092,54939520,acb-DCA1PAsKVJs,000001,True,001920,001080,003981,000058,13800.432052,39.896827,0.000000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/basketball__acb-DCA1PAsKVJs_s4215.mp4,eb31e53910861f686aac6cf82671bbdda83e655e802b45bf8793afd99ab7a3fb,64288855,acb-DCA1PAsKVJs,000000,True,001920,001080,003951,000059,16271.540116,54.214908,0.000000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/basketball__acb-DCA1PAsKVJs_s90.mp4,8bc44ff72508fa9fc27f60183711179caf84d40120840d72e12b36d63420215b,46403023,acb-DCA1PAsKVJs,000000,True,001920,001080,004041,000057,11483.054442,29.991471,0.000000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/basketball__acb-IZW8vZFesBI_s6755.mp4,eaa4297d17ad540f565083a515a8952f8bcb6cc1d3b101811dfcae3902fec474,72082546,acb-IZW8vZFesBI,000000,True,001920,001080,003294,000059,21882.982999,56.065648,0.000000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/basketball__acb-_a72WK36Its_s6520.mp4,4eb9ea6adc7bd948c53eb585cc5a819adcc1140f9b81468b439c4ec8a107fe08,2328308,acb-_a72WK36Its,000000,True,001920,001080,003981,000058,584.855062,0.217162,1.000000,FROZEN,
/workspace/nba-ai-system/data/footage_corpus/basketball__cba-FaMCJR6tFm0_s5062.mp4,c15d55286677f04336d15bf91341cbf67f331a48d9a8b2bef1be357c537d76cb,94601410,cba-FaMCJR6tFm0,000000,True,001920,001080,006601,000059,14331.375549,39.342270,0.000000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/basketball__eurocup-RuYvEezE47Y_s90.mp4,5d1d0dda16af94b52c26b4e59360c3f901585b23e04b0248cd740c7c51e91d0d,3306140,eurocup-RuYvEezE47Y,000000,True,001920,001080,004041,000057,818.148973,0.120444,1.000000,FROZEN,
/workspace/nba-ai-system/data/footage_corpus/basketball__eurocup-mhi_fuXUPRE_s90.mp4,a32cefcd269c30ddf3a6dd9d6e6dc8d585bf2214d9e8c7715f591c9f8886d250,37599048,eurocup-mhi_fuXUPRE,000000,True,001920,001080,004041,000057,9304.391982,35.609628,0.125000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/basketball__eurocup-qrWmO434a0k_s90.mp4,ab1d64b4488c75b3f4410d6df5210e8bf225487678adc3e0688dbc21495e76b1,4894298,eurocup-qrWmO434a0k,000000,True,001920,001080,004051,000057,1208.170328,5.332596,0.821429,FROZEN,
/workspace/nba-ai-system/data/footage_corpus/basketball__euroleague-a_GxgklBtEs_s6660.mp4,6269deab23d6413ba0bf88c7e59f33135c5d6b7dc3e022cfcc70b493db5d40d0,3079137,euroleague-a_GxgklBtEs,000000,True,001920,001080,007945,000058,387.556576,0.260583,1.000000,FROZEN,
/workspace/nba-ai-system/data/footage_corpus/basketball__euroleague-xyoAURYLnQM_s90.mp4,764b9e17bfcf613ed84ea91e19ed35e1d938850c41ab6f9c9b24f07dbae03ed1,80338535,euroleague-xyoAURYLnQM,000000,True,001920,001080,008033,000058,10001.062492,48.102215,0.000000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/basketball__fiba-58p-Cj2gY7I_s2710.mp4,2ac4360d250a9a4cae7ffec3726b691acf56f32c8df36e9fbf4f8a73de1ba534,91032577,fiba-58p-Cj2gY7I,000000,True,001920,001080,006577,000059,13841.048654,54.048716,0.000000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/basketball__fiba-A2W5ZjAgr7M_s90.mp4,4c4a02a8c937bb335284477bc4c5bed0175236091d51106511cb72e4ab3798ea,72089735,fiba-A2W5ZjAgr7M,000000,True,001920,001080,004051,000057,17795.540607,48.315820,0.000000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/basketball__fiba-Y1cgaIWW8gk_s6825.mp4,fb064e5424c8075afb011a2d64310b6ca6a390adb5670413f9de5e485e5ef505,55815234,fiba-Y1cgaIWW8gk,000000,True,001920,001080,004051,000057,13778.137250,27.825612,0.017857,LIVE,
/workspace/nba-ai-system/data/footage_corpus/basketball__fiba-Y1cgaIWW8gk_s90.mp4,b5cac62e947864dad1786fd27f86be46c8accd5058b3ca94a29dc26dddaea417,58883653,fiba-Y1cgaIWW8gk,000000,True,001920,001080,004051,000057,14535.584547,33.288487,0.000000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/basketball__fiba-fyp4VsE-8Fc_s90.mp4,76145474658133c559b070f0f76fd924bb87daa107686b83887867bc6fc85503,85266665,fiba-fyp4VsE-8Fc,000000,True,001920,001080,008033,000058,10614.548114,29.381893,0.000000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/basketball__fiba-ignUn4xeR90_s5454.mp4,44952043ebfd53db2e691c88f083b29d9b25ac7f6b60256234609bb932e7161b,66365190,fiba-ignUn4xeR90,000000,True,001920,001080,007937,000058,8361.495527,34.142895,0.000000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/basketball__fiba-tZeqmc_-_sA_s5058.mp4,bdaf9de0f739c9852ca657f022a328991fe254b87f97d98da542400be26edc75,64538815,fiba-tZeqmc_-_sA,000000,True,001920,001080,003991,000058,16171.088700,43.980701,0.000000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/basketball__fiba-tZeqmc_-_sA_s90.mp4,755d6e92d1f819a1c58600d9bcf4772f0846b1e6bed09840c100cbec4c8461d6,58196753,fiba-tZeqmc_-_sA,000000,True,001920,001080,004051,000057,14366.021476,23.448979,0.000000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/basketball__lnb-3_eNM4ikjzY_s1434.mp4,dc62cac43271ee20cbc8d86be64e1915245184062fa0be2f77310152fcbfc6ba,73539051,lnb-3_eNM4ikjzY,000000,True,001920,001080,003995,000058,18407.772466,50.881050,0.000000,LIVE,
/workspace/nba-ai-system/data/footage_corpus/basketball__lnb-oNjFF2XRKgA_s90.mp4,628a93cd7af72535efd9191591832c54032ef209eeb14079023dcc362c92e0d6,44869160,lnb-oNjFF2XRKgA,000000,True,001920,001080,008074,000057,5557.240525,10.550351,0.000000,LIVE,
