arm,gate,status,reason_class,n,reached_n,evaluated_n,rejected_n,refused_n,rejection_share,rejection_permille
A0,any_gate,REJECT,ONE,000030,000030,000030,000030,000000,1.000000,1000
A0,attempted_frames,NOT_APPLICABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A0,ball_detected_share,NOT_APPLICABLE,NOT,000030,000000,000000,000000,000000,0.000000,0000
A0,ball_valid_attempted_frames,NOT_APPLICABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A0,coordinate_contract,REJECT,COORDINATE_CONTRACT,000030,000030,000030,000030,000000,1.000000,1000
A0,coverage_attempted_frames,NOT_APPLICABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A0,distinct_position_ratio,NOT_APPLICABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A0,duplicate_frame_identity,NOT_APPLICABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A0,g325_wholly_off_frame,NOT_APPLICABLE,NOT,000030,000000,000000,000000,000000,0.000000,0000
A0,insufficient_data,NOT_APPLICABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A0,jump_max,NOT_APPLICABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A0,jump_p95,NOT_APPLICABLE,NOT,000030,000000,000000,000000,000000,0.000000,0000
A0,liveness_frozen,NOT_APPLICABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A0,median_step_distance,NOT_APPLICABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A0,median_track_len,NOT_APPLICABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A0,oob,NOT_APPLICABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A0,stationary_track_share,NOT_APPLICABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A0,zero_step_share,NOT_APPLICABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A1_FROZEN,any_gate,UNIDENTIFIABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A1_FROZEN,attempted_frames,UNIDENTIFIABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A1_FROZEN,ball_valid_attempted_frames,UNIDENTIFIABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A1_FROZEN,coordinate_contract,UNIDENTIFIABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A1_FROZEN,coverage_attempted_frames,UNIDENTIFIABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A1_FROZEN,distinct_position_ratio,UNIDENTIFIABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A1_FROZEN,duplicate_frame_identity,UNIDENTIFIABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A1_FROZEN,insufficient_data,UNIDENTIFIABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A1_FROZEN,jump_max,UNIDENTIFIABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A1_FROZEN,liveness_frozen,UNIDENTIFIABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A1_FROZEN,median_step_distance,UNIDENTIFIABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A1_FROZEN,median_track_len,UNIDENTIFIABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
A1_FROZEN,oob,UNIDENTIFIABLE,COORDINATE_CONTRACT,000030,000000,000000,000000,000000,0.000000,0000
