section,arm,sealed_rank,actual_rank,frame,fraction_of_set,reason,rendered,file
S3,ROUTE,20,20,1306,0.333,valid,1,S3_ROUTE_rank20.jpg
S3,G352B,20,21,1373,0.350,valid,1,S3_G352B_rank21.jpg
S3,G352A,20,21,1373,0.350,valid,1,S3_G352A_rank21.jpg
S3,ROUTE,40,40,2646,0.667,valid,1,S3_ROUTE_rank40.jpg
S3,G352B,40,41,2713,0.683,valid,1,S3_G352B_rank41.jpg
S3,G352A,40,41,2713,0.683,valid,1,S3_G352A_rank41.jpg
S3,G352B,60,51,3383,0.850,valid,1,S3_G352B_rank51.jpg
S3,G352A,60,57,3785,0.950,valid,1,S3_G352A_rank57.jpg
S3,ROUTE,60,58,3852,0.967,valid,1,S3_ROUTE_rank58.jpg
S4,ROUTE,20,20,1092,0.333,valid,1,S4_ROUTE_rank20.jpg
S4,G352A,20,21,1148,0.350,valid,1,S4_G352A_rank21.jpg
S4,G352B,20,21,1148,0.350,valid,1,S4_G352B_rank21.jpg
S4,ROUTE,40,40,2212,0.667,valid,1,S4_ROUTE_rank40.jpg
S4,G352A,40,41,2268,0.683,valid,1,S4_G352A_rank41.jpg
S4,G352B,40,41,2268,0.683,valid,1,S4_G352B_rank41.jpg
S4,G352B,60,51,2828,0.850,valid,1,S4_G352B_rank51.jpg
S4,G352A,60,57,3164,0.950,valid,1,S4_G352A_rank57.jpg
S4,ROUTE,60,58,3220,0.967,valid,1,S4_ROUTE_rank58.jpg
